lsoa,cluster,population,area_km2,imd_income,imd_employment,imd_education,imd_health,imd_living_env,population_density,no_car_household_share,deprived_1plus_share,deprived_2plus_share,private_rented_share,social_rented_share,asian_share,black_share,dependent_children_share,lone_parent_dependent_share,one_person_share,age_0_19_share,age_20_34_share,age_35_64_share,age_65plus_share,self_employed_share,part_time_employee_share,unemployed_share,hospitality_industry_share,shiftwork_industry_share,accom_food_share,transport_storage_share,admin_support_share,wholesale_retail_share,health_social_share,manufacturing_share,public_admin_share,bres_manufacturing_share,bres_wholesale_retail_share,bres_transport_storage_share,bres_accom_food_share,bres_info_comms_share,bres_professional_sci_share,bres_education_share,bres_health_social_share,bres_admin_support_share,poi_count,shannon_group,bres_total_jobs,bres_manufacturing_per_km2,bres_wholesale_retail_per_km2,bres_transport_storage_per_km2,bres_accom_food_per_km2,bres_info_comms_per_km2,bres_professional_sci_per_km2,bres_education_per_km2,bres_health_social_per_km2,bres_admin_support_per_km2,cluster_name,log1p_poi_count
E01000001,1,1795,0.15780087004170498,0.013,0.014,0.004,-1.771,69.345,11375.09571097803,0.6630824372759857,0.3460620525059666,0.0441527446300716,0.3930704898446834,0.026284348864994,0.10719131614654,0.0074626865671641,0.1093935790725326,0.0118906064209274,0.4435196195005945,0.0944935418082936,0.2590074779061863,0.3949694085656016,0.2515295717199184,0.1509992598075499,0.0562546262028127,0.0236861584011843,0.0127167630057803,0.0716763005780346,0.0127167630057803,0.0057803468208092,0.0196531791907514,0.0462427745664739,0.0624277456647398,0.0289017341040462,0.0473988439306358,0.0019230769230769,0.0573076923076923,0.0,0.0376923076923076,0.0884615384615384,0.2661538461538461,0.0034615384615384,0.0076923076923076,0.1169230769230769,299.0,1.6517241303619175,13000,158.42751686598928,4721.140002606481,0.0,3105.17933057339,7287.665775835508,21926.36833425292,285.1695303587807,633.7100674639571,9632.39302545215,"C1 relatively high activity, stronger night-persistence",5.703782474656201
E01000005,1,1737,0.2127080355865026,0.211,0.104,17.852,0.436,38.695,8166.123086090977,0.7828810020876826,0.6597077244258872,0.290187891440501,0.2175732217573222,0.696652719665272,0.3215258855585831,0.1080835603996367,0.2264150943396226,0.060796645702306,0.4591194968553459,0.1996370235934664,0.3030852994555354,0.4019963702359346,0.0952813067150635,0.0541666666666666,0.1,0.0625,0.0766129032258064,0.2540322580645161,0.0766129032258064,0.0463709677419354,0.1169354838709677,0.0907258064516129,0.1129032258064516,0.0060483870967741,0.0625,0.0016666666666666,0.0145833333333333,0.0116666666666666,0.05625,0.16,0.22,0.0416666666666666,0.0360416666666666,0.1264583333333333,535.0,1.5386230154247418,24000,188.05119369236564,1645.4479448081993,1316.358355846559,6346.72778711734,18052.9145944671,24822.757567392266,4701.279842309141,4066.607063597407,14268.384321408244,"C1 relatively high activity, stronger night-persistence",6.284134161070802
E01000008,0,1761,0.16920008668715358,0.51,0.192,26.991,0.372,24.374,10407.796086157105,0.5137111517367459,0.7522768670309654,0.3351548269581056,0.2682481751824817,0.5656934306569343,0.2561247216035635,0.3986636971046771,0.5208711433756806,0.1524500907441016,0.2431941923774954,0.3818283166109253,0.2034559643255295,0.3784838350055741,0.036231884057971,0.1046788263283108,0.1451229183187946,0.0531324345757335,0.0736196319018405,0.3404907975460123,0.0736196319018405,0.0797546012269938,0.111963190184049,0.1487730061349693,0.1533742331288343,0.058282208588957,0.0383435582822085,0.056,0.164,0.008,0.0,0.012,0.072,0.016,0.104,0.552,85.0,1.5339998993527229,1250,413.7113719653591,1211.5833036128374,59.10162456647987,0.0,88.6524368497198,531.9146210983189,118.20324913295974,768.3211193642384,4078.012095087111,"C0 low activity, weak night-persistence",4.454347296253507
E01000009,1,1859,0.1390961928506657,0.403,0.176,36.999,0.29,45.999,13364.851775604173,0.505,0.6505823627287853,0.2828618968386023,0.4682274247491639,0.1939799331103679,0.4897506925207756,0.1119113573407202,0.3710482529118136,0.0549084858569051,0.2878535773710483,0.259567387687188,0.2423738214087631,0.408763172490294,0.0892956184137548,0.1441761363636363,0.1164772727272727,0.0582386363636363,0.0585241730279898,0.3575063613231551,0.0585241730279898,0.0865139949109414,0.1005089058524173,0.1704834605597964,0.0865139949109414,0.0241730279898218,0.0407124681933842,0.0,0.0971428571428571,0.0,0.0714285714285714,0.0142857142857142,0.0228571428571428,0.0285714285714285,0.0514285714285714,0.6571428571428571,136.0,1.6638123660829913,1750,0.0,1222.175794433948,0.0,898.6586723779029,179.7317344755806,287.5707751609289,359.4634689511612,647.03424411209,8267.659785876707,"C1 relatively high activity, stronger night-persistence",4.919980925828125
E01000011,2,1719,0.09377813318318416,0.421,0.148,43.793,0.176,56.51,18330.499250205194,0.4578059071729958,0.6469344608879493,0.2367864693446088,0.5221987315010571,0.0591966173361522,0.5481220657276995,0.1009389671361502,0.4767932489451477,0.0527426160337552,0.2025316455696202,0.2863849765258216,0.2394366197183098,0.3967136150234742,0.0774647887323943,0.1613636363636363,0.1227272727272727,0.0515151515151515,0.0759837177747625,0.2985074626865671,0.0759837177747625,0.0746268656716417,0.1004070556309362,0.1234735413839891,0.0949796472184531,0.039348710990502,0.0691994572591587,0.0,0.0666666666666666,0.0333333333333333,0.0,0.0,0.0,0.2,0.0,0.1333333333333333,35.0,1.7375111592179302,150,0.0,106.63466695872712,53.31733347936356,0.0,0.0,0.0,319.9040008761814,0.0,213.26933391745425,"C2 moderate activity and persistence, transitional",3.58351893845611
E01000013,3,1869,0.22850986615450122,0.387,0.178,26.131,0.19,30.037,8179.077916645938,0.3489499192245557,0.6726094003241491,0.299837925445705,0.2794830371567043,0.3053311793214863,0.1685393258426966,0.1803103263777421,0.4659090909090909,0.1347402597402597,0.1866883116883116,0.3028846153846153,0.2120726495726495,0.3942307692307692,0.0908119658119658,0.1193709792709077,0.1250893495353824,0.0543245175125089,0.0551378446115288,0.3182957393483709,0.0551378446115288,0.0839598997493734,0.0927318295739348,0.1416040100250626,0.1679197994987468,0.0263157894736842,0.043859649122807,0.0,0.28,0.03,0.15,0.06,0.02,0.1,0.07,0.13,104.0,1.6864837682726956,500,0.0,612.6650124828418,65.6426799088759,328.2133995443795,131.2853598177518,43.76178660591727,218.80893302958637,153.16625312071045,284.4516129384623,C3 moderate activity with destination characteristics,4.653960350157523
E01000017,3,1724,0.1840739577062919,0.4,0.191,30.763,0.584,24.111,9365.800689475105,0.3127090301003344,0.7040133779264214,0.3327759197324414,0.1742043551088777,0.355108877721943,0.2119628339140534,0.2038327526132404,0.3996655518394649,0.1120401337792642,0.2424749163879598,0.2923433874709977,0.201276102088167,0.410092807424594,0.0962877030162413,0.1243284727551803,0.1181887950882578,0.0521872601688411,0.0481283422459893,0.2713903743315508,0.0481283422459893,0.0601604278074866,0.0788770053475935,0.1323529411764706,0.2032085561497326,0.0414438502673796,0.0441176470588235,0.0,0.0,0.0,0.08,0.0,0.0,0.32,0.2,0.0,14.0,1.4327570529970877,125,0.0,0.0,0.0,54.325990078161865,0.0,0.0,217.30396031264743,135.81497519540466,0.0,C3 moderate activity with destination characteristics,2.70805020110221
E01000019,0,1646,0.20415105499725536,0.414,0.184,26.319,0.223,20.304,8062.657329995816,0.2730923694779116,0.6327345309381237,0.2654690618762475,0.2874251497005988,0.24750499001996,0.3389728096676737,0.1498489425981873,0.536144578313253,0.1405622489959839,0.1465863453815261,0.3411693791440627,0.185051235684147,0.3930078360458107,0.0807715491259795,0.1375212224108658,0.1468590831918506,0.0466893039049236,0.0434153400868306,0.3154848046309696,0.0434153400868306,0.0940665701881331,0.0767004341534008,0.1447178002894356,0.1664254703328509,0.0347322720694645,0.0520984081041968,0.0,0.08,0.0,0.06,0.0,0.04,0.6,0.08,0.0,28.0,1.4884229622788607,250,0.0,97.96667472655912,0.0,73.47500604491935,0.0,48.98333736327957,734.7500604491935,97.96667472655912,0.0,"C0 low activity, weak night-persistence",3.367295829986474
E01000021,0,1696,0.20770854448027395,0.458,0.189,29.484,0.707,33.701,8165.28758719923,0.3519458544839255,0.6548223350253807,0.2825719120135364,0.3671742808798646,0.2690355329949238,0.3156342182890855,0.1581120943952802,0.4571428571428571,0.1226890756302521,0.2705882352941176,0.3242924528301887,0.2181603773584905,0.3761792452830189,0.0813679245283018,0.1084142394822006,0.139967637540453,0.0517799352750809,0.0583090379008746,0.3250728862973761,0.0583090379008746,0.0874635568513119,0.0801749271137026,0.1574344023323615,0.1486880466472303,0.0408163265306122,0.0437317784256559,0.0,0.1222222222222222,0.0,0.0222222222222222,0.0,0.0222222222222222,0.0,0.0222222222222222,0.5666666666666667,72.0,1.7354343766162343,450,0.0,264.79411397167314,0.0,48.14438435848602,0.0,48.14438435848602,0.0,48.14438435848602,1227.6818011413936,"C0 low activity, weak night-persistence",4.290459441148391
E01000024,1,1506,0.13508605916828317,0.371,0.171,26.141,0.277,26.598,11148.448694649562,0.2521739130434782,0.6514161220043573,0.3006535947712418,0.1873638344226579,0.3159041394335512,0.2562373567093728,0.2049898853674983,0.4502164502164502,0.1168831168831168,0.1601731601731601,0.3140161725067385,0.2102425876010781,0.3921832884097035,0.0835579514824797,0.1350626118067978,0.1207513416815742,0.0652951699463327,0.0600315955766192,0.3080568720379147,0.0600315955766192,0.0868878357030015,0.0884676145339652,0.1327014218009478,0.1848341232227488,0.0252764612954186,0.0331753554502369,0.0,0.0666666666666666,0.0,0.0,0.0,0.0333333333333333,0.0,0.1333333333333333,0.1333333333333333,9.0,1.2148896539491203,150,0.0,74.0268837626133,0.0,0.0,0.0,37.01344188130665,0.0,148.0537675252266,148.0537675252266,"C1 relatively high activity, stronger night-persistence",2.302585092994046
