variable,C0 outer arrival-oriented,C1 central departure-oriented,"C2 central interchange, direction-balanced","C3 late-night, extended-duration persistent",C4 inner-middle ring mixed
imd_education,0.029978768577494597,-0.24305997033269755,-0.13095503530286134,0.30564065597404944,0.046393699088309814
imd_health,-0.36484076433121015,0.08984954439499893,0.1732441471571906,0.511443503333934,-0.06996817176457892
deprived_1plus_share,-0.0022929936305732257,-0.29624920534011445,-0.09000371609067259,0.19300774914398988,0.08442574310837792
social_rented_share,-0.46819532908704886,0.033481669845306206,0.2617614269788182,0.4694539556676878,-0.041646436856017655
no_car_household_share,-0.7619532908704884,0.6715405806314898,0.49022668153102944,0.32384213371778703,-0.13972055888223556
age_20_34_share,-0.7536305732484077,0.5708836617927526,0.3684132292827944,0.46206523697963586,-0.072341802880725
dependent_children_share,0.6093418259023355,-0.7404111040474677,-0.4721664808621331,-0.05694719769327805,0.16119113125101148
private_rented_share,-0.6597027600849257,0.6416613689340962,0.28814567075436637,0.054244007929356686,0.030317742892593147
asian_share,-0.005095541401273884,0.20555202373384196,-0.15273132664437017,0.18543881780500993,0.006257754760748746
black_share,-0.09783439490445855,-0.4825174825174825,0.019323671497584627,0.24202559019643188,0.0985056913200626
unemployed_share,-0.2639490445859872,-0.3627887264250901,-0.04585655890003715,0.44764822490538836,0.1593030155904407
accom_food_share,-0.5080254777070063,0.20194956558592914,0.017094017094017033,0.37123806091187594,0.14775853698009378
transport_storage_share,0.41774946921443745,-0.50264886628523,-0.387142326272761,0.11083078032077842,0.1104277930625237
admin_support_share,0.176475583864119,-0.5736384827293919,-0.28732813080639164,0.1524599026851685,0.1968495441549334
wholesale_retail_share,0.28585987261146495,-0.4617503708412799,-0.25522110739502046,-0.036402955487475186,0.13211415007822191
health_social_share,0.32212314225053085,-0.6009747827929646,-0.22006688963210708,-0.016399351234456683,0.11301720882559207
manufacturing_share,0.4261571125265393,-0.36427209154481877,-0.19925678186547757,-0.38835826275004504,0.08291525057992133
log1p_poi_count,-0.3957961783439491,0.7902097902097902,0.39602378298030483,0.10434312488736719,-0.2684361007714301
shannon_group,-0.2732908704883227,0.0881542699724518,0.18766257896692684,0.3973688952964498,-0.10400819981658305
population_density,-0.5927813163481953,-0.3888535706717525,0.33102935711631365,0.388178050099117,0.11905917893941842
