lsoa,self_employed_share,part_time_employee_share,unemployed_share
E01000001,0.15099925980754997,0.056254626202812734,0.023686158401184307
E01000002,0.16486902927580893,0.04699537750385208,0.023112480739599383
E01000003,0.13253810470510272,0.07687210072895957,0.04506295559973492
E01000005,0.05416666666666667,0.1,0.0625
E01000006,0.1638655462184874,0.13585434173669467,0.03991596638655462
E01000007,0.09499536607970342,0.11770157553290084,0.07136237256719184
E01000008,0.10467882632831087,0.14512291831879462,0.05313243457573354
E01000009,0.14417613636363635,0.11647727272727272,0.05823863636363636
E01000011,0.16136363636363638,0.12272727272727273,0.051515151515151514
E01000012,0.12776723592662872,0.1467425679949399,0.07084123972169513
E01000013,0.11937097927090778,0.12508934953538242,0.054324517512508934
E01000014,0.12471655328798185,0.13529856386999245,0.044595616024187455
E01000015,0.1298326601269475,0.13848817080207732,0.05020196191575303
E01000016,0.1346704871060172,0.1167621776504298,0.04011461318051576
E01000017,0.12432847275518036,0.11818879508825787,0.052187260168841135
E01000018,0.13800738007380073,0.13357933579335793,0.04206642066420664
E01000019,0.13752122241086587,0.1468590831918506,0.0466893039049236
E01000020,0.13939016801493467,0.11449906658369632,0.06347230864965775
E01000021,0.10841423948220065,0.13996763754045308,0.05177993527508091
E01000022,0.11446886446886446,0.1510989010989011,0.04487179487179487
E01000024,0.13506261180679785,0.12075134168157424,0.06529516994633273
E01000025,0.11218836565096953,0.12880886426592797,0.04847645429362881
E01000027,0.12491559756920999,0.11546252532072923,0.05266711681296422
E01000028,0.1067457375833951,0.12008895478131949,0.04744255003706449
E01000029,0.12378303198887343,0.11543810848400557,0.03129346314325452
E01000030,0.10716365754222482,0.13861386138613863,0.0529994175888177
E01000031,0.1032258064516129,0.13189964157706094,0.044444444444444446
E01000032,0.12515802781289506,0.11883691529709228,0.05436156763590392
E01000033,0.09033989266547406,0.13416815742397137,0.04025044722719141
E01000034,0.10874704491725769,0.09298660362490149,0.04176516942474389
E01000035,0.12250516173434274,0.11080523055746731,0.04679972470750172
E01000036,0.14125753660637383,0.09991386735572783,0.040482342807924204
E01000037,0.10747330960854093,0.12455516014234876,0.05338078291814947
E01000038,0.11137071651090343,0.12461059190031153,0.040498442367601244
E01000039,0.105379513633014,0.10980103168754606,0.03389830508474576
E01000040,0.11292613636363637,0.12571022727272727,0.05113636363636364
E01000041,0.14026162790697674,0.1184593023255814,0.056686046511627904
E01000042,0.12,0.12226415094339622,0.05358490566037736
E01000043,0.12582236842105263,0.13322368421052633,0.049342105263157895
E01000044,0.14664897146648972,0.12541473125414732,0.0451227604512276
E01000045,0.12392829306313329,0.1332813717848792,0.05300077942322681
E01000046,0.11448275862068966,0.12827586206896552,0.05379310344827586
E01000049,0.10580455547391623,0.12490815576781777,0.06759735488611315
E01000050,0.12463343108504399,0.1217008797653959,0.030791788856304986
E01000051,0.09414758269720101,0.11195928753180662,0.04198473282442748
E01000052,0.15375586854460094,0.12969483568075119,0.04225352112676056
E01000053,0.13670256835128416,0.12427506213753108,0.05219552609776305
E01000054,0.11313868613138686,0.12554744525547445,0.042335766423357665
E01000055,0.11466458658346333,0.13806552262090482,0.039781591263650544
E01000056,0.11899133175728921,0.11899133175728921,0.05200945626477541
E01000057,0.12020905923344948,0.13153310104529617,0.054878048780487805
E01000058,0.12947831552482716,0.12947831552482716,0.06411062225015714
E01000059,0.12191358024691358,0.125,0.04243827160493827
E01000060,0.10803858520900321,0.15112540192926044,0.047588424437299034
E01000061,0.07096307023895727,0.13106444605358436,0.06372194062273714
E01000062,0.14336704342653184,0.13265913146936348,0.034503271861986914
E01000063,0.1140285071267817,0.13953488372093023,0.04426106526631658
E01000064,0.11565017261219793,0.11737629459148446,0.03682393555811277
E01000065,0.13029315960912052,0.11791530944625407,0.054071661237785014
E01000066,0.09848879624804585,0.12350182386659718,0.028139656070870246
E01000067,0.10793082886106142,0.13059033989266547,0.04114490161001789
E01000068,0.13725490196078433,0.12778904665314403,0.028397565922920892
E01000069,0.09957498482088646,0.14207650273224043,0.03764420157862781
E01000070,0.12359550561797752,0.10611735330836454,0.046192259675405745
E01000071,0.15072608913370056,0.11316975463194792,0.04056084126189284
E01000072,0.12435897435897436,0.125,0.05
E01000073,0.12032281731474688,0.12912692589875274,0.02641232575201761
E01000074,0.1293842556508184,0.13250194855806702,0.0475448168355417
E01000075,0.1255663430420712,0.14757281553398058,0.03365695792880259
E01000076,0.11771919068056406,0.11526670754138565,0.05763335377069283
E01000077,0.11901081916537867,0.1275115919629057,0.05023183925811438
E01000078,0.1080680977054034,0.12657290895632864,0.04811250925240563
E01000079,0.12168486739469579,0.12636505460218408,0.0421216848673947
E01000080,0.12874251497005987,0.13023952095808383,0.04341317365269461
E01000081,0.13687707641196012,0.13156146179401992,0.06378737541528239
E01000082,0.1436502428868841,0.11866759195003469,0.041637751561415685
E01000083,0.10442349528643945,0.13343002175489485,0.047860768672951415
E01000084,0.12177121771217712,0.1282287822878229,0.03874538745387454
E01000085,0.12138263665594855,0.12057877813504823,0.06752411575562701
E01000086,0.1070448307410796,0.12442817932296432,0.04391582799634035
E01000087,0.14157119476268412,0.12274959083469722,0.04582651391162029
E01000088,0.10778859527121001,0.14812239221140472,0.04450625869262865
E01000089,0.11598746081504702,0.15047021943573669,0.047021943573667714
E01000090,0.11836734693877551,0.14612244897959184,0.04816326530612245
E01000091,0.07749830047586675,0.15091774303195105,0.05778382053025153
E01000093,0.09487951807228916,0.12349397590361445,0.04292168674698795
E01000094,0.10777385159010601,0.13839811542991756,0.0535924617196702
E01000095,0.10655195234943746,0.1356717405691595,0.04698874917273329
E01000096,0.08514492753623189,0.12590579710144928,0.051630434782608696
E01000097,0.11233631977946244,0.11991729841488628,0.03445899379738112
E01000098,0.10912981455064194,0.1369472182596291,0.03566333808844508
E01000099,0.11281543790202869,0.12320633349826818,0.04403760514596734
E01000100,0.10638297872340426,0.13829787234042554,0.03829787234042553
E01000101,0.12259059367771781,0.13646877409406322,0.047031611410948346
E01000102,0.1176923076923077,0.15846153846153846,0.045384615384615384
E01000103,0.1053030303030303,0.12954545454545455,0.06893939393939394
E01000104,0.11438848920863309,0.12086330935251799,0.04388489208633094
E01000105,0.10601719197707736,0.12206303724928366,0.05329512893982808
E01000106,0.10843373493975904,0.1293595434369055,0.05326569435637286
E01000107,0.1335766423357664,0.11605839416058394,0.04452554744525548
E01000108,0.1401541695865452,0.11913104414856342,0.03854239663629993
E01000110,0.13528932355338225,0.1426242868785656,0.03993480032599837
E01000111,0.14993804213135067,0.10718711276332094,0.042131350681536554
E01000112,0.15036593479707253,0.12109115103127079,0.044577511643379905
E01000113,0.1392904073587385,0.14651773981603153,0.03416557161629435
E01000114,0.1080446271285966,0.14973576042278333,0.03347034644744568
E01000115,0.15515771526001704,0.11253196930946291,0.028985507246376812
E01000116,0.1366642174871418,0.12270389419544453,0.029390154298310066
E01000117,0.1397006414825374,0.1083392729864576,0.019957234497505347
E01000118,0.13746958637469586,0.11374695863746959,0.03223844282238443
E01000119,0.14002732240437157,0.11612021857923498,0.025273224043715847
E01000120,0.13829787234042554,0.09983633387888707,0.046644844517184945
E01000121,0.10835401157981803,0.11910669975186104,0.05128205128205128
E01000122,0.15327257663628832,0.1251035625517813,0.024855012427506214
E01000123,0.17449194113524877,0.13314646110721795,0.030833917309039945
E01000124,0.14246762099522836,0.12951601908657123,0.04294478527607362
E01000126,0.11797133406835722,0.13120176405733186,0.061190738699007714
E01000127,0.14297658862876253,0.13043478260869565,0.04180602006688963
E01000128,0.15970056144728634,0.11104179663131628,0.041796631316281974
E01000129,0.14885193982581155,0.11718131433095803,0.04829770387965162
E01000130,0.13680781758957655,0.15309446254071662,0.0755700325732899
E01000131,0.15480649188514356,0.10486891385767791,0.03870162297128589
E01000132,0.14084507042253522,0.12841756420878211,0.05965202982601491
E01000133,0.11773940345368916,0.14521193092621665,0.03453689167974882
E01000134,0.14487632508833923,0.12226148409893993,0.052296819787985865
E01000135,0.16184971098265896,0.09465317919075145,0.024566473988439308
E01000136,0.1899488926746167,0.07495741056218058,0.02555366269165247
E01000137,0.1332263242375602,0.11637239165329052,0.05698234349919743
E01000138,0.17757712565838976,0.11136192626034612,0.040632054176072234
E01000139,0.18608695652173912,0.09043478260869565,0.04
E01000140,0.14197910264290103,0.1057160417947142,0.03011677934849416
E01000141,0.15369897959183673,0.1211734693877551,0.05612244897959184
E01000142,0.15734072022160664,0.11246537396121883,0.049307479224376734
E01000143,0.09672505712109672,0.13480578827113482,0.044173648134044174
E01000144,0.1475166790214974,0.11267605633802817,0.04670126019273536
E01000145,0.13389830508474576,0.13389830508474576,0.02711864406779661
E01000146,0.1526813880126183,0.10347003154574133,0.03596214511041009
E01000147,0.199502796768179,0.10006215040397763,0.026724673710379118
E01000150,0.1621017328116266,0.12409167132476244,0.041922861934041364
E01000151,0.12096106048053024,0.13256006628003314,0.05716652858326429
E01000152,0.11178553363682348,0.1310065756196257,0.03995953464845726
E01000153,0.1155137676292814,0.14439220953660176,0.042981867024848894
E01000154,0.1272845953002611,0.097911227154047,0.07702349869451697
E01000156,0.20300261096605743,0.09530026109660575,0.043733681462140996
E01000157,0.17530864197530865,0.11604938271604938,0.048559670781893
E01000158,0.15934539190353145,0.1223083548664944,0.028423772609819122
E01000159,0.16076294277929154,0.12193460490463215,0.027247956403269755
