cluster,lnwc_group,enrichment_ratio
0,7,3.0551639804556108
0,6,2.7833365704897486
1,1,4.004165314110252
1,3,1.0509274793630312
2,1,2.024129240480923
2,2,1.327652932931941
3,2,1.5852525970163658
3,3,1.506379037685202
4,4,1.3093123500912958
4,5,1.1406751768896497
