metric,kruskal_h,df,p_value,epsilon_squared,n,p_fdr_bh,mode
imd_score,204.1592413295988,3,5.326236356390392e-44,0.05953218151216301,3383,5.326236356390392e-44,bus
imd_score,26.396219899815232,4,2.6324747377713723e-05,0.05862884790527548,387,2.6324747377713723e-05,rail
