cluster,metric,n,median,q25,q75,mean
0,log_total_activity,604,5.45278281533121,5.055648997693785,6.02640550862408,5.56839966357247
0,direction_balance,604,-0.23613906020217462,-0.3688466131440678,-0.07287384520163948,-0.2157318441372561
0,post_2300_share,604,0.08148509685286787,0.0655260816219051,0.10021390011255994,0.08440679731075783
0,deep_night_share,604,0.0,0.0,0.0,0.0015374813452471547
0,post_midnight_persistence,604,0.028395526127754853,0.016432743898204177,0.040801437955908126,0.0308902309196677
0,weekend_ratio,604,0.7484377650946126,0.6685017988732019,0.8312654602014349,0.7550603904126016
1,log_total_activity,1134,7.831772575375166,7.368916640278451,8.483002489929621,7.97213462269178
1,direction_balance,1134,-0.10730619558408586,-0.23144618498233893,0.037698118054244875,-0.08800379459489385
1,post_2300_share,1134,0.1589886146394473,0.13676527063611224,0.18761157976800485,0.16710586201923047
1,deep_night_share,1134,0.028126772805732947,0.0188139108757783,0.0415709137132889,0.03235045652040085
1,post_midnight_persistence,1134,0.13602873205009192,0.10230310178606043,0.1846640094616673,0.15506283691771056
1,weekend_ratio,1134,0.8213097835734563,0.7707687172525681,0.8752600188534914,0.8284265164129783
2,log_total_activity,1069,6.387352120032704,5.941635312041312,6.853038425635519,6.396761420620349
2,direction_balance,1069,-0.1777643795023281,-0.3161876832701743,-0.0174147428589703,-0.15155288051264135
2,post_2300_share,1069,0.1329477102276079,0.11246717479311558,0.16114061157417395,0.13984864179791248
2,deep_night_share,1069,0.0189556749752522,0.0108534873461145,0.0326378496052234,0.02538975089859718
2,post_midnight_persistence,1069,0.0970957736310952,0.0687376674623065,0.1366694580744689,0.1134027455137987
2,weekend_ratio,1069,0.7857452308388491,0.7208284910425024,0.8517590417532769,0.7993340216289185
3,log_total_activity,576,6.182227597324896,5.621497254911594,6.757287604897373,6.211235466351784
3,direction_balance,576,-0.23239736231135474,-0.37369639025054424,-0.0830746944122506,-0.21746391927149486
3,post_2300_share,576,0.1078473380968746,0.09390181629077801,0.12391178879580825,0.11062254735331317
3,deep_night_share,576,0.0015606541934153,0.0,0.0079246957201657,0.006001792003873986
3,post_midnight_persistence,576,0.05416033165818975,0.04086263207335085,0.0744583374668029,0.06108932469548151
3,weekend_ratio,576,0.7577358956069538,0.7051380103357493,0.8227407651094445,0.7755492838292559
