alpha,K,BIC,AIC,converged,fit_seconds,min_cluster_n,min_cluster_share
5.0,2,-2066653.6071212413,-2100068.2049144413,True,4.635756000000583,1577,0.4389089897021987
5.0,3,-2079512.1085246643,-2129637.098585858,True,1.2340284999991127,494,0.13748956303924298
5.0,4,-2070762.9311709795,-2137598.313500167,True,1.2621579999995447,337,0.09379348733648761
5.0,5,-2053754.9962650463,-2137300.7708622273,True,2.278649000000769,192,0.05343723907598107
5.0,6,-2035985.564580738,-2136241.7314459127,True,2.3164497999996456,170,0.047314222098524907
5.0,7,-2020382.397317834,-2137348.956451002,True,2.7146081999999296,139,0.03868633453938213
5.0,8,-2001357.5985173394,-2135034.549918501,True,4.310875199999828,107,0.02978012802671862
5.0,9,-1985068.533955381,-2135455.8776245364,True,4.290402100000392,83,0.023100473142220985
5.0,10,-1964847.9702200026,-2131945.7061571516,True,6.143354800000452,91,0.025327024770386862
5.0,11,-1948068.2366114722,-2131876.364816615,True,6.1869958999996015,76,0.021152240467575842
5.0,12,-1926927.1891859844,-2127445.7096591205,True,5.638060699999187,68,0.018925688839409965
20.0,2,-2104969.875944081,-2138384.4737372813,True,1.059692100000575,694,0.19315335374338993
20.0,3,-2113126.555884151,-2163251.5459453445,True,1.883625999999822,429,0.11939883106039521
20.0,4,-2102246.796363446,-2169082.1786926333,True,1.6819589999995515,242,0.06735318675201782
20.0,5,-2085332.8110968494,-2168878.5856940304,True,2.078756500000054,146,0.04063456721402728
20.0,6,-2070372.5913533522,-2170628.758218527,True,2.7689368999999715,166,0.04620094628444197
20.0,7,-2051963.7304694254,-2168930.2896025935,True,4.6339318999998795,154,0.04286111884219315
20.0,8,-2033415.4177087035,-2167092.3691098653,True,6.016455200000564,118,0.0328416365154467
20.0,9,-2015167.5836056287,-2165554.927274784,True,6.937259900000754,124,0.03451155023657111
20.0,10,-1995822.7975143695,-2162920.5334515185,True,7.785756099999162,89,0.024770386863345394
20.0,11,-1976606.2986668863,-2160414.426872029,True,8.699819300000854,90,0.025048705816866128
20.0,12,-1958897.466215422,-2159415.986688558,True,8.370672800000648,84,0.02337879209574172
50.0,2,-2163787.1720572454,-2197201.7698504454,True,0.824050599999282,589,0.16392986362371278
50.0,3,-2160808.7863443354,-2210933.776405529,True,1.353806899999654,314,0.08739215140551071
50.0,4,-2149978.3335090587,-2216813.715838246,True,2.879985499999748,248,0.06902310047314222
50.0,5,-2133936.3946157405,-2217482.1692129215,True,2.82896509999955,171,0.04759254105204565
50.0,6,-2116494.2285722885,-2216750.395437463,True,3.2688705999999,156,0.04341775674923462
50.0,7,-2099293.5429220377,-2216260.102055206,True,4.989275099999759,121,0.03367659337600891
50.0,8,-2080148.6601499126,-2213825.6115510743,True,4.62118399999963,134,0.03729473977177846
50.0,9,-2061976.3709577408,-2212363.714626896,True,6.299665200000163,87,0.024213748956303925
50.0,10,-2042387.8653035124,-2209485.6012406615,True,6.277149999999892,85,0.023657111049262453
50.0,11,-2024306.8153761907,-2208114.9435813334,True,9.220156399999723,64,0.017812413025327024
50.0,12,-2005009.3302339958,-2205527.850707132,True,9.730473700000402,75,0.020873921514055108
100.0,2,-2229187.124109865,-2262601.721903065,True,1.1376945000001797,494,0.13748956303924298
100.0,3,-2221326.7984368233,-2271451.788498017,True,1.0094767000000502,335,0.09323684942944614
100.0,4,-2207221.5028221887,-2274056.885151376,True,1.8293995000003633,192,0.05343723907598107
100.0,5,-2190221.3513928554,-2273767.1259900364,True,2.3095035000005737,150,0.041747843028110215
100.0,6,-2173242.850699937,-2273499.0175651116,True,4.2270189000000755,130,0.03618146395769552
100.0,7,-2155952.7486779094,-2272919.3078110777,True,5.301708300000428,140,0.038964653492902866
100.0,8,-2137467.287491341,-2271144.238892503,True,7.04517130000022,123,0.03423323128305038
100.0,9,-2119189.2503014393,-2269576.593970595,True,5.124672999999348,89,0.024770386863345394
100.0,10,-2099263.313941149,-2266361.049878298,True,6.344961200000398,100,0.027831895352073477
100.0,11,-2080447.6235830986,-2264255.7517882413,True,7.772154799999953,70,0.019482326746451433
100.0,12,-2060883.6499745608,-2261402.170447697,True,13.429966099999547,61,0.01697745616476482
200.0,2,-2314178.974654433,-2347593.572447633,True,0.7517548999994688,448,0.12468689117728918
200.0,3,-2303751.274738402,-2353876.264799596,True,0.6938389000006282,336,0.09351516838296688
200.0,4,-2287545.4650469967,-2354380.847376184,True,2.0350564000000304,230,0.064013359309769
200.0,5,-2272263.1422630283,-2355808.9168602093,True,1.655573799999729,151,0.04202616198163095
200.0,6,-2254517.100267465,-2354773.26713264,True,2.7393904000000475,148,0.04119120512106875
200.0,7,-2236713.770125075,-2353680.329258243,True,3.31227299999955,147,0.04091288616754801
200.0,8,-2217816.993617315,-2351493.945018477,True,4.025846000000456,92,0.0256053437239076
200.0,9,-2198807.083730137,-2349194.4273992926,True,5.161778599999707,70,0.019482326746451433
200.0,10,-2180512.082395114,-2347609.818332263,True,5.956807300000037,72,0.0200389646534929
200.0,11,-2160356.280350856,-2344164.4085559985,True,10.311488100000133,71,0.019760645699972167
200.0,12,-2141443.903610449,-2341962.424083585,True,12.374301900000319,62,0.017255775118285556
