cluster,metric,n,median,q25,q75,mean
0,log_total_activity,119,9.73855542242393,9.153181708493843,10.10138578856812,9.68203622784878
0,direction_balance,119,-0.4320472215835343,-0.5137517313326971,-0.2888337181817763,-0.39397993330364467
0,midnight_share_common_window,119,0.0421120618696031,0.03669551171897091,0.04718125095162086,0.04160266055015669
0,night_tube_extension_share,119,0.054350268144007105,0.012953926669057123,0.07104746396296394,0.048565331051399235
0,weekend_common_ratio,119,0.772222755049988,0.7323573254989295,0.8254505287655459,0.7794978686196772
1,log_total_activity,15,11.192737363506305,10.277157788304498,11.582404489239337,10.99315814586269
1,direction_balance,15,0.30311842462038024,0.06308166783941851,0.37668310030794794,0.2236710903344276
1,midnight_share_common_window,15,0.033333441216070195,0.023226396281822548,0.038790205642189934,0.030352398381063406
1,night_tube_extension_share,15,0.04179939528670037,0.019777833473048196,0.06141273638769856,0.04091963380383217
1,weekend_common_ratio,15,1.0410102719553331,1.0012709856183089,1.206855746291065,1.0863245465395663
2,log_total_activity,44,10.507707589327328,9.773413582684087,11.17206570364613,10.612544496395303
2,direction_balance,44,-0.14017429267665119,-0.2723351825026366,-0.002160474830441206,-0.14060868208524283
2,midnight_share_common_window,44,0.03514605940549444,0.029773303843287868,0.043323815628337814,0.036850815450523905
2,night_tube_extension_share,44,0.034627706442841286,0.009612403760534457,0.06230628577866908,0.04498739697345791
2,weekend_common_ratio,44,0.9632538925502747,0.8809879023769714,1.015397249336493,0.9506441595696142
3,log_total_activity,38,10.480593577386074,9.879103783961611,11.255590981824536,10.60044499877371
3,direction_balance,38,0.32010775256383306,0.15403448491891134,0.4512989007237179,0.29178828687535063
3,midnight_share_common_window,38,0.023657124307307296,0.020295348109459998,0.03026234763457597,0.025047868113636868
3,night_tube_extension_share,38,0.01299543590052871,0.0019038451323095814,0.03640474418163646,0.022144273078347144
3,weekend_common_ratio,38,0.6838421486728962,0.5420401197647718,0.7613373792254066,0.6663492299326091
4,log_total_activity,54,8.726264621527955,8.448283622259353,9.283669985341417,8.803615769275003
4,direction_balance,54,-0.5452357731648886,-0.6027990432616697,-0.4924364138905878,-0.5284452577882646
4,midnight_share_common_window,54,0.042260448649944084,0.03729480399643562,0.04785261103593947,0.04224502192003898
4,night_tube_extension_share,54,0.018382422079010002,0.012781241808209678,0.023125084008370964,0.021967918912191773
4,weekend_common_ratio,54,0.6817518941148986,0.6324947252168069,0.7414887514857217,0.6910489607958681
