NLC,total_activity,log_total_activity,direction_balance,midnight_share_common_window,night_tube_extension_share,common_window_persistence,weekend_common_ratio,volume_band,cluster,max_posterior,entropy,tot_entry,tot_exit
500,19931.707084863283,9.900117233629757,-0.40660424737852485,0.04784286707956341,0.08560306544785874,0.07546714596373474,0.8606663913080502,medium,0,1.0,1.181470643379288e-37,5913.695163326618,14018.011921536674
501,17380.045594108,9.763135557775504,0.27154134516033274,0.019624107236268867,0.0030242846023453736,0.02897252463128534,0.5786905917405434,medium,3,1.0,3.9968049417465697e-125,11049.72327684,6330.322317268003
502,25372.31973145491,10.141453496672005,-0.03482377807492064,0.02521252535409883,0.0011259831342128304,0.03796437712064563,0.718626561852749,medium,3,1.0,3.637571621732165e-50,12244.379849940393,13127.939881514514
503,51642.690777920005,10.852123313706395,-0.024202586988639162,0.03574602284811482,0.005580832719492419,0.05671151397246426,0.9715872266803496,high,2,1.0,2.118088457146785e-18,25196.40203101999,26446.2887469
505,9819.129027564388,9.192189540525368,-0.44468452116155677,0.0418735033586676,0.012660195387151305,0.06185011738849549,0.6830609290046609,low,4,0.973294497992638,0.1230966731444956,2726.357168859186,7092.771858705201
506,6695.9230055564085,8.809403446988116,-0.6789328433662043,0.0611649913468232,0.019646867797510723,0.0908015876210264,0.632739216497464,low,4,1.0,1.3554121979780602e-67,1074.9204802164086,5621.002525339999
507,57639.12532528,10.961974224387292,0.10125608888239403,0.033333441216070195,0.0016221041040503739,0.054139550001357985,0.9995170764451783,high,1,1.0,5.848511862032458e-24,31737.71886116,25901.40646412001
508,29383.18158772377,10.288211767296763,-0.3224623566154241,0.0385168401682111,0.05351565288837751,0.05943468913717522,0.7869622795228649,high,0,1.0,1.4920640344016498e-39,9954.105804043724,19429.07578368006
509,12808.414834803485,9.457935713504192,-0.512589696735197,0.047323420823508204,0.07062974076456159,0.0728189197409532,0.8076543921912906,medium,0,1.0,7.563927093776893e-39,3121.476679486484,9686.938155317
510,9470.014344245688,9.155991291768897,-0.41105811816327775,0.041675379155440916,0.058953269830480444,0.06580470656244028,0.7795247513301725,low,0,1.0,7.745299364641327e-57,2788.6440344604034,6681.370309785282
511,74962.94603227565,11.224762557366093,0.362395263382034,0.03091904317034757,0.028507631150523134,0.04573629689798503,0.7351039335757854,high,3,1.0,2.257329194420372e-25,51064.58130176767,23898.36473050797
512,45319.128381877206,10.721506547924276,-0.27319175829347453,0.042264308074841446,0.06757157019911571,0.06393074473767515,0.8330448818161511,high,0,1.0,3.312793211707495e-24,16469.15800745222,28849.970374424967
513,123855.72699963594,11.726880749144003,0.4760100326204961,0.03169637676758598,0.01970637403551109,0.04458106342121279,0.36887434725126994,high,3,1.0,1.5673449138322407e-166,91406.14782448392,32449.579175152
514,69012.31058766051,11.142054672042764,-0.4577566060123984,0.04346532152716125,0.01714195691916427,0.06681301600987334,0.7932289796292948,high,0,1.0,1.5909772190541232e-21,18710.73475998977,50301.57582767076
515,4738.6236408370605,8.463713010869435,-0.6982461571570473,0.051155307937218765,0.06188157265442488,0.07456953053822724,0.6336395767575607,low,4,1.0,5.204223289368523e-38,714.948946704523,4023.674694132535
