lsoa,total_activity,log_total_activity,direction_balance,post_midnight_share,deep_night_share,post_midnight_persistence,weekend_ratio,volume_band,cluster,max_posterior,entropy,tot_boardings,tot_alightings
E01000001,2786.14103,7.932771629000378,0.2576753661317711,0.11377946291541459,0.06280474251513392,0.19261669569435808,0.618916772307786,high,1,1.0,5.036394846282373e-17,1752.0304699999997,1034.11056
E01000002,104.74833,4.661062025839518,0.3690230670025957,0.04458343154492296,0.0406900997848844,0.07849236781712747,1.096502696494131,low,2,1.0,2.5155320440938773e-24,71.70143999999999,33.04689
E01000005,12380.10901,9.423927123001913,-0.027250331134200508,0.1544194019984643,0.08866427340125659,0.30085411969718556,0.8320712320605262,high,1,1.0,2.335317845377956e-20,6021.373470000001,6358.735539999999
E01000007,10134.6106,9.223810303741299,0.3325205765675891,0.18196724499705988,0.10641416849306475,0.3369050458936069,0.8278088962982468,high,1,0.9999999954641794,9.16747245725526e-08,6752.28858,3382.3220200000005
E01000009,12366.52623,9.422829463980957,-0.0895152292091972,0.1795897448235955,0.12176742134318833,0.32672918059780715,0.8848026893887314,high,1,1.0,1.2096882880581955e-21,5629.766900000001,6736.759330000002
E01000011,660.67767,6.494778534037831,0.09019849270825203,0.046627533211467544,0.025851547245421505,0.07696242726008239,0.867742887113613,medium,1,0.9920929806215067,0.0461456846890628,360.1349,300.5427700000001
E01000012,1509.22083,7.32001116414932,-0.3984554533348178,0.07846922573948308,0.049829175760846084,0.12677310568379616,0.7988560963902472,high,1,1.0,1.1593630583289513e-18,453.93178000000006,1055.28905
E01000013,4766.06251,8.469485568187865,0.19675047652700642,0.09244749288863188,0.06533624335531428,0.14393570804959047,0.6387898618772582,high,1,0.9999999990916422,1.982028143727089e-08,2851.8937899999987,1914.16872
E01000015,1.8108799999999998,1.03349760157881,0.6983566001060257,0.0,0.0,0.0,4.986185167232188,low,0,1.0,-0.0,1.53776,0.27312
E01000016,110.70556,4.715866481022575,0.09488195534171906,0.23108622547955135,0.22390185280667024,0.37066122581685557,0.7483064703454714,low,2,1.0,1.1848877370892279e-25,60.60476,50.10079999999999
E01000017,1268.87044,7.146670158500645,-0.24598979545933783,0.11324139602464063,0.08904169128567611,0.17374201938838274,0.6823637426593248,high,1,0.999999999994884,1.376910042284159e-10,478.37063000000006,790.49981
E01000018,239.47937,5.482634306240754,-0.31862498218531304,0.06560009741131355,0.041669643610637526,0.10635076369754676,0.8243564096463923,low,2,1.0,5.5926569403488205e-14,81.58763000000002,157.89174000000003
E01000019,232.41289,5.452808945405474,-0.06310170662221021,0.14079257824297092,0.12286865844661196,0.22674832523524732,0.6825466306617132,low,2,0.9864316754715468,0.071819885599455,108.87362000000002,123.53927
E01000020,343.35764,5.841680768473204,-0.14758751254231592,0.05784507955029048,0.05238654366333599,0.08566588968103764,0.7978333261516573,low,2,1.0,7.047075820407586e-17,146.34117,197.01647
E01000021,567.4993,6.343000081879366,-0.12168684613355475,0.04988681043307014,0.03844977429928108,0.07537392998269932,0.6809121822260241,medium,1,0.9999944375240468,7.286545583031158e-05,249.22105,318.27825000000007
E01000024,1770.72874,7.479711038182785,-0.06223378968819364,0.19370469471230245,0.16192241845015742,0.3389269841993215,0.7938786045464784,high,1,1.0,5.0563976983285896e-20,830.26479,940.4639500000002
E01000027,1813.19829,7.503398935616184,-0.25221670046909206,0.07939420679687492,0.05517189187289604,0.12508512213046794,0.7498000848723412,high,1,1.0,4.7069522588186514e-17,677.9397000000001,1135.25859
E01000029,775.30886,6.654550456459993,-0.44385020957970217,0.1418129156940113,0.10233902138045992,0.23481259178906472,0.6663642097537261,medium,1,0.9999999923032306,1.5149182226322542e-07,215.59393,559.71493
E01000030,700.17215,6.552753434631389,-0.43471536250049364,0.11054175748064245,0.07638151560298422,0.18387205334252937,0.6954224494241239,medium,1,0.9999999089652688,1.5668920944050962e-06,197.89828,502.2738700000001
E01000031,326.12029,5.790327962580816,-0.19764593610535544,0.07770537674917435,0.05736134970320308,0.1160921005668843,0.6139837837826759,low,1,0.9999999999844248,4.045940276771043e-10,130.83197,195.28832
E01000032,597.81785,6.394957461720414,0.04327584062603681,0.08935335403584888,0.04607863415252656,0.1258540266574686,0.702130571049265,medium,1,1.0,1.6836185332547508e-15,311.8444599999999,285.97339
E01000034,935.89282,6.842568889356425,-0.20303459535035223,0.13211560913567005,0.10276587013457372,0.2039847100120775,0.5433045497679931,medium,1,0.9992126453577976,0.0064141357804445,372.9371,562.9557200000003
E01000035,1559.36796,7.352676944225077,-0.10974533553966308,0.07646931517048741,0.05861279206993582,0.11317003764036604,0.7352094295705613,high,1,0.999999999995964,1.1038213162048851e-10,694.1173,865.2506599999998
E01000036,1377.68542,7.2288857299421485,-0.0008640724382493773,0.10677764884816739,0.0998842827268942,0.16610420315102944,0.6214403761033529,high,1,0.979336543891238,0.1006100560142361,688.2474999999998,689.43792
E01000038,276.38262,5.625397852709574,-0.14277757407466507,0.09965695382727033,0.07293114161809451,0.14693431466475243,0.7075600283331321,low,1,0.9999988873449234,1.6365777168577065e-05,118.46068999999996,157.92192999999995
