cluster,log_total_activity,direction_balance,post_midnight_share,deep_night_share,weekend_ratio
0,-0.5318336942759903,0.2338668832502563,0.7461520168383096,0.724328871254846,0.2966624530561789
1,0.3025301074646438,0.025356344806419302,0.13649304780081953,0.10519827849542471,0.05507450396754842
2,-0.8072624653198514,-0.13157210153299792,-0.7070821309553009,-0.5802825214514062,-0.3323171797425874
