mode,cluster,day_type,direction_balance
rail,0.0,FRI,-0.31593375012487673
rail,0.0,MON,-0.434521074396045
rail,0.0,SAT,-0.29770602920693034
rail,0.0,SUN,-0.35742857473548745
rail,0.0,TWT,-0.4535779969189186
rail,1.0,FRI,0.22104104592166313
rail,1.0,MON,0.32056336644703654
rail,1.0,SAT,0.2828844093852074
rail,1.0,SUN,0.33453036162723776
rail,1.0,TWT,0.3123022639582201
rail,2.0,FRI,-0.05431759176639197
rail,2.0,MON,-0.08964313858475735
rail,2.0,SAT,-0.06549599991075858
rail,2.0,SUN,-0.032867738775762205
rail,2.0,TWT,-0.1209724418678303
rail,3.0,FRI,0.26204311306346684
rail,3.0,MON,0.4164649356926849
rail,3.0,SAT,0.19625097612344364
rail,3.0,SUN,0.21815331242867078
rail,3.0,TWT,0.40878272893321915
rail,4.0,FRI,-0.4128025645277767
rail,4.0,MON,-0.549238984492012
rail,4.0,SAT,-0.32945660695120954
rail,4.0,SUN,-0.33558093111030707
rail,4.0,TWT,-0.5602598238840603
bus,0.0,Saturday,0.05966148371287159
bus,0.0,Sunday,0.055748144111607424
bus,0.0,Weekday,0.07582782035784798
bus,1.0,Saturday,-0.029374807233520574
bus,1.0,Sunday,-0.021825302492257302
bus,1.0,Weekday,-0.03669834031041566
bus,2.0,Saturday,-0.16230671831886212
bus,2.0,Sunday,-0.13591267944530558
bus,2.0,Weekday,-0.20149171500985155
