cluster,metric,n,median,q25,q75,mean
0,log_total_activity,336,5.464423204604012,4.858241437958495,6.167950470920332,5.545597767033614
0,direction_balance,336,-0.05344174424748806,-0.3076588647021839,0.20408825959305227,-0.028609918990695104
0,post_midnight_share,336,0.14988272305813413,0.10748435678690911,0.20273095636606855,0.16622742543751884
0,deep_night_share,336,0.09426108393264815,0.056650747541017586,0.14510142568700368,0.11052155085542394
0,weekend_ratio,336,0.8227057883177787,0.7396352678196111,0.9220759590500909,0.8631246794731554
1,log_total_activity,2763,7.039831421994399,6.355187922987155,7.758736271426123,7.128116466630837
1,direction_balance,2763,-0.1241009204301214,-0.2705267440438833,0.029883157625865877,-0.11389567549247771
1,post_midnight_share,2763,0.10735577700332172,0.08002202501823953,0.14014333273574334,0.11385419112253393
1,deep_night_share,2763,0.060853788595714324,0.04138516789685922,0.08796604706675254,0.06864367684066416
1,weekend_ratio,2763,0.789703175835705,0.7320674842482339,0.8498826898512853,0.796161835100408
2,log_total_activity,1001,4.944370982416264,4.239659752386895,5.485437060515834,4.784663401588548
2,direction_balance,1001,-0.1772801737221583,-0.3714191449509256,0.039552203611218584,-0.148706978386572
2,post_midnight_share,1001,0.048511934884869726,0.023906274915593807,0.07658894161234985,0.0562026872222873
2,deep_night_share,1001,0.023866342329236866,0.004573612457719886,0.05108947664312569,0.035440317431235484
2,weekend_ratio,1001,0.7367827480391459,0.6442191447594288,0.829544251811445,0.7527849850591456
