K,runs,ARI_mean,ARI_sd,ARI_median,ARI_q025,ARI_q975,ARI_min,ARI_max,BIC_mean,BIC_sd,BIC_median,BIC_q025,BIC_q975,BIC_min,BIC_max,convergence_rate,total_convergence_warnings
5,20,0.8940035960208211,0.09342096955681109,0.8947318354905553,0.6600432372987609,1.0,0.5901868435857902,1.0,-1446059.9606311708,304.76248981681715,-1446024.6219637496,-1446555.8087953804,-1445616.6477114887,-1446571.616893012,-1445549.042344155,1.0,0
7,20,0.7026083002569785,0.19653613376724938,0.7573796873563499,0.3480688499759065,0.9756650096355501,0.3327293981427327,0.9928180873565966,-1446242.6229002604,362.5238315029464,-1446129.7748128697,-1446923.4937956282,-1445778.2763792742,-1447000.8686459027,-1445719.8399599155,1.0,0
