K,cluster,n,silhouette_mean,silhouette_sd,silhouette_median,silhouette_q025,silhouette_q975,silhouette_min,silhouette_max,negative_share
5,0,122,0.04520096664000372,0.08769080548184592,0.0446624668429107,-0.10177099008218216,0.21452443078639571,-0.18589970925183122,0.23515346251821262,0.3360655737704918
5,1,25,0.0013110059125281397,0.07362765130831563,-0.004897904371685978,-0.1308970791748367,0.11522137569961274,-0.18477877279991506,0.11934332602882339,0.52
5,2,12,-0.24509860306696685,0.09969165141463308,-0.2514283542540874,-0.3826801799520874,-0.07292552082816456,-0.38818626676344703,-0.04989583510639596,1.0
5,3,163,0.21880298991500977,0.08623449169032113,0.22689290975153786,0.06315402193440181,0.37040409009976916,-0.033430178796004,0.3825646029171074,0.006134969325153374
5,4,82,0.03494936557703863,0.12909266077890727,0.0329834033831229,-0.1749293200993961,0.2617193245412678,-0.22463328879976985,0.28484678891734927,0.47560975609756095
6,0,29,0.018861002284881117,0.07996441530183503,0.009714615240008618,-0.1244215032321334,0.14410964342209506,-0.19641927334479323,0.15061619891925063,0.3103448275862069
6,1,12,-0.13494869110193405,0.1218550896878534,-0.09348339978983483,-0.34274175407268476,0.01703542467980484,-0.36626940348767983,0.017617750699131185,0.8333333333333334
6,2,76,0.063163327511429,0.08957862584030879,0.05986722473123102,-0.09403035828430449,0.22287022090794273,-0.14832386045970444,0.26694126457406225,0.23684210526315788
6,3,72,0.039413337740229225,0.07387746592132037,0.04006585785102018,-0.07824118544790348,0.16665761438548413,-0.12099540822543003,0.1916790656067307,0.3611111111111111
6,4,52,0.05678925347903496,0.11836159287331405,0.050398665790783156,-0.1280104224441278,0.2269268775052873,-0.1602756000722816,0.23934826371350512,0.36538461538461536
6,5,163,0.19907255162690907,0.08405282877229257,0.1978351590692665,0.03415118381983218,0.353385848655596,-0.023733900430092186,0.3726776016834893,0.012269938650306749
