K,reference_cluster,runs,jaccard_mean,jaccard_sd,jaccard_median,jaccard_q025,jaccard_q975,jaccard_min,jaccard_max,share_exact_jaccard_1
5,0,20,0.9123190904089492,0.08555742438480403,0.910569105691057,0.7058301240907146,1.0,0.6015037593984962,1.0,0.25
5,1,20,0.9093633867827415,0.0945031149367556,0.9437321937321937,0.6929598953792503,1.0,0.6486486486486487,1.0,0.25
5,2,20,0.8280724789915966,0.16244182222937406,0.7857142857142857,0.5296875,1.0,0.5,1.0,0.4
5,3,20,0.9357859354835844,0.06364857313686181,0.9467455621301775,0.7749356368563686,1.0,0.7170731707317073,1.0,0.25
5,4,20,0.9171140416156167,0.07799521616976693,0.9470439899131409,0.7762698412698412,1.0,0.7346938775510204,1.0,0.25
6,0,20,0.7544387252455246,0.20029693199845086,0.7828282828282829,0.42243589743589743,1.0,0.41025641025641024,1.0,0.15
6,1,20,0.6566374387155448,0.23860727001520685,0.6449579831932774,0.24330434782608695,0.9230769230769231,0.17391304347826086,0.9230769230769231,0.0
6,2,20,0.6475782034948933,0.2104151938841277,0.6912589194699286,0.24489850427350426,0.9210526315789473,0.20192307692307693,0.9210526315789473,0.0
6,3,20,0.4661584784002845,0.22777679938081208,0.4526794836073187,0.10168445364765849,0.8306805745554036,0.03875968992248062,0.8352941176470589,0.0
6,4,20,0.5965051638980383,0.27376017625673366,0.6015873015873016,0.1713643292682927,1.0,0.13414634146341464,1.0,0.15
6,5,20,0.7654862282909913,0.17905199225636598,0.845287356321839,0.38764583333333336,0.950920245398773,0.335,0.950920245398773,0.0
