K,BIC_refit,AIC_refit,log_likelihood_per_station,saved_vs_refit_ARI,converged,n_iter
5,-1446368.897814095,-1460149.7706537931,1815.6408052645954,1.0,True,62
7,-1445623.396761398,-1464918.2193029267,1824.953241711543,1.0,True,24
