K,reference_cluster,runs,jaccard_mean,jaccard_sd,jaccard_median,jaccard_q025,jaccard_q975,jaccard_min,jaccard_max,share_exact_jaccard_1
6,0,20,0.5174389653994389,0.2328360518387679,0.46782496782496785,0.21233950977531368,0.8461892488954345,0.21014492753623187,0.8469387755102041,0.0
6,1,20,0.7762876319678027,0.16476790818706155,0.7886762360446571,0.38590145023071853,0.9569480519480519,0.33783783783783783,0.9696969696969697,0.0
6,2,20,0.5369073862868536,0.15100979320040928,0.5403549382716049,0.2842271559881049,0.8241351241351238,0.24817518248175183,0.9135802469135802,0.0
6,3,20,0.7539334084824814,0.13672874745517122,0.7911843842014418,0.498572734660707,0.9137931034482758,0.45794392523364486,0.9310344827586207,0.0
6,4,20,0.72202998304585,0.1423028069935809,0.7857142857142857,0.4053453947368421,0.8946428571428571,0.2631578947368421,0.9285714285714286,0.0
6,5,20,0.646517351144438,0.19511903074173534,0.6810658722277392,0.27184684684684685,0.9065331010452959,0.21621621621621623,0.9512195121951219,0.0
7,0,20,0.6147131401234553,0.17259036038322487,0.583011583011583,0.3713709677419355,0.8955329153605014,0.35714285714285715,0.9655172413793104,0.0
7,1,20,0.6507951983312277,0.15425962882703392,0.6299187527448398,0.416657210244087,0.889218976272697,0.4028436018957346,0.8900523560209425,0.0
7,2,20,0.41846110495439826,0.20179906950062815,0.4511827956989247,0.05118661257606491,0.7387341772151899,0.022988505747126436,0.759493670886076,0.0
7,3,20,0.6075288097853746,0.17468645718823028,0.5590026646364674,0.39983377659574465,0.9285714285714286,0.3958333333333333,0.9285714285714286,0.0
7,4,20,0.6296176645079593,0.15441905031143838,0.6290849673202614,0.3509259259259259,0.9472222222222221,0.3333333333333333,1.0,0.05
7,5,20,0.6107519366343153,0.18559958615342806,0.5550284629981025,0.38235294117647056,0.8947222222222222,0.38235294117647056,0.9,0.0
7,6,20,0.4305943841584686,0.24137651771489413,0.4736111111111111,0.008050847457627118,0.8013131313131312,0.0,0.8518518518518519,0.0
