K,reference_cluster,runs,jaccard_mean,jaccard_sd,jaccard_median,jaccard_q025,jaccard_q975,jaccard_min,jaccard_max,share_exact_jaccard_1
5,0,20,0.9123190904089492,0.08555742438480403,0.910569105691057,0.7058301240907146,1.0,0.6015037593984962,1.0,0.25
5,1,20,0.9093633867827415,0.0945031149367556,0.9437321937321937,0.6929598953792503,1.0,0.6486486486486487,1.0,0.25
5,2,20,0.8280724789915966,0.16244182222937406,0.7857142857142857,0.5296875,1.0,0.5,1.0,0.4
5,3,20,0.9357859354835844,0.06364857313686181,0.9467455621301775,0.7749356368563686,1.0,0.7170731707317073,1.0,0.25
5,4,20,0.9171140416156167,0.07799521616976693,0.9470439899131409,0.7762698412698412,1.0,0.7346938775510204,1.0,0.25
7,0,20,0.8125564434159462,0.12487893773073774,0.8360071301247771,0.6045058139534883,0.9841666666666666,0.5833333333333334,1.0,0.05
7,1,20,0.7906529107028588,0.17029179989877113,0.8399430740037951,0.4260057819216565,0.9839403973509934,0.3795180722891566,0.9933774834437086,0.0
7,2,20,0.7496011362454233,0.20072425443556752,0.746268656716418,0.4257142857142857,1.0,0.37142857142857144,1.0,0.1
7,3,20,0.6697398953440568,0.2512771077463823,0.7777777777777778,0.18813699791843344,0.9698412698412697,0.1834862385321101,1.0,0.05
7,4,20,0.5682920649005518,0.15673888432880784,0.5862068965517241,0.2833333333333333,0.8696640316205533,0.2777777777777778,0.9090909090909091,0.0
7,5,20,0.676402234677832,0.254460007132464,0.7224598930481283,0.07916666666666666,0.9784090909090909,0.0,1.0,0.05
7,6,20,0.7150656288156287,0.11744074763352137,0.7333333333333333,0.5113095238095238,0.9166666666666666,0.5,0.9166666666666666,0.0
