iteration,ARI_K5,ARI_K6,ARI_difference_K5_minus_K6
1,0.5412817067489135,0.3068241655704329,0.2344575411784806
2,0.5598192248744898,0.5626965767670278,-0.002877351892538016
3,0.5080843917812359,0.546241536763485,-0.03815714498224909
4,0.30932392137356923,0.3892819665746273,-0.07995804520105809
5,0.5794551077883602,0.6295379152832109,-0.05008280749485072
6,0.7403178099842991,0.5078069701583776,0.23251083982592147
7,0.5202030199140942,0.4130510090859239,0.10715201082817033
8,0.43303619425921946,0.2797734880948752,0.1532627061643443
9,0.6937275253520757,0.32137001258536146,0.37235751276671425
10,0.7251475763685639,0.509307608809984,0.21583996755857981
11,0.35667206251716166,0.49140568661703715,-0.1347336240998755
12,0.7351144036234976,0.6050392694176979,0.13007513420579964
13,0.3736750264787299,0.3067023468001434,0.0669726796785865
14,0.615843117968403,0.293756593546666,0.32208652442173696
15,0.4653906008489814,0.26241759789747865,0.20297300295150272
16,0.31848628653578603,0.26295126249232503,0.055535024043461
17,0.2763557860170961,0.31447207888199963,-0.038116292864903534
18,0.6128516810771354,0.695353958119442,-0.08250227704230662
19,0.4932623669821166,0.40360074270195717,0.08966162428015945
20,0.7083478875141799,0.3195855226425657,0.3887623648716142
21,0.34060551498134917,0.5277189985019343,-0.1871134835205851
22,0.3725679551141705,0.46988942078886115,-0.09732146567469063
23,0.725761526626954,0.5658921728126284,0.15986935381432565
24,0.6176423706462078,0.3734759449780888,0.24416642566811897
25,0.46198190503495706,0.4094757127574073,0.05250619227754977
26,0.6184113454365623,0.46349219352297444,0.15491915191358785
27,0.627615871868979,0.523541327595705,0.104074544273274
28,0.5788338763563405,0.39674999693522156,0.18208387942111898
29,0.38761892443259127,0.5513889869221973,-0.16377006248960602
30,0.5860026380365542,0.49087900147558444,0.09512363656096973
31,0.3573477665046025,0.8381479532575886,-0.48080018675298614
32,0.6877809450449168,0.5001692443310034,0.18761170071391342
33,0.34379257259326523,0.6130642346252564,-0.26927166203199115
34,0.6381845167820416,0.45702198875642586,0.18116252802561572
35,0.5109954051223417,0.639684703553012,-0.12868929843067034
36,0.5561049899788891,0.631736211765594,-0.0756312217867049
37,0.7322805542264283,0.46583041170238265,0.2664501425240457
38,0.617702235560082,0.6745813990066187,-0.05687916344653676
39,0.5906444781360227,0.3041151300034164,0.28652934813260633
40,0.33513193412406445,0.28809475860030703,0.04703717552375741
