K,reference_cluster,replicates,jaccard_mean,jaccard_sd,jaccard_median,jaccard_q025,jaccard_q975,jaccard_min,jaccard_max,recall_mean,recall_sd,recall_median,recall_q025,recall_q975,recall_min,recall_max,precision_mean,precision_sd,precision_median,precision_q025,precision_q975,precision_min,precision_max,share_jaccard_below_0_50,share_jaccard_at_least_0_75
5,0,200,0.579613314225492,0.2063562598343909,0.5951350642538684,0.13550697674418608,0.9008052504189163,0.0,0.9291338582677166,0.6978278688524591,0.25406223632692615,0.7786885245901639,0.1389344262295082,0.9918032786885246,0.0,1.0,0.8108719961704025,0.19299686740980776,0.884949896010588,0.48680211262394557,0.9892501715854496,0.0,0.9910714285714286,0.305,0.245
5,1,200,0.4245501872882185,0.2542955594732115,0.43319734829168793,0.0,0.8275862068965517,0.0,0.8888888888888888,0.6792,0.3339211883064625,0.8,0.0,1.0,0.0,1.0,0.49291662056277374,0.2868934107721131,0.5298245614035088,0.0,0.8894927536231885,0.0,1.0,0.57,0.095
5,2,200,0.2879508666579685,0.16920370895408882,0.26006441223832527,0.041666666666666664,0.688169642857143,0.0,0.7857142857142857,0.59375,0.249713377361593,0.6666666666666666,0.08333333333333333,0.9166666666666666,0.0,0.9166666666666666,0.41351716745545614,0.2572140808817326,0.34891304347826085,0.05263157894736842,1.0,0.0,1.0,0.86,0.015
5,3,200,0.6086706158800734,0.21314465225988313,0.641847220502662,0.0,0.9017482227094545,0.0,0.9235294117647059,0.740398773006135,0.23324228552033993,0.8220858895705522,0.0,0.9756134969325154,0.0,1.0,0.740509237740558,0.20080437636357198,0.7941315186632529,0.0,0.9577538658524574,0.0,0.9932432432432432,0.28,0.325
5,4,200,0.5739771427872447,0.1651327583595881,0.5655399375278893,0.3009780695816976,0.8513691683569982,0.24705882352941178,0.926829268292683,0.6747560975609757,0.1918712062448187,0.6951219512195121,0.3170731707317073,0.9393292682926829,0.25609756097560976,1.0,0.8127648369256374,0.1281695077902058,0.8286126409651193,0.5578060640732265,1.0,0.5263157894736842,1.0,0.355,0.18
6,0,200,0.47647044605492295,0.18275322780614994,0.4666666666666667,0.13440910146273513,0.8184415584415585,0.0,0.90625,0.6881034482758621,0.19476799515877563,0.7241379310344828,0.3060344827586208,1.0,0.0,1.0,0.6169819703122308,0.22969301241290954,0.6602564102564102,0.18163082437275993,0.9375919117647059,0.0,1.0,0.535,0.06
6,1,200,0.33255561845995785,0.16491005387029745,0.3190909090909091,0.08125000000000004,0.7058823529411765,0.0,0.9230769230769231,0.6391666666666667,0.2451062694696595,0.6666666666666666,0.08125000000000004,1.0,0.0,1.0,0.46664798974615834,0.24159650292827334,0.4090909090909091,0.1438524590163935,1.0,0.0,1.0,0.82,0.01
6,2,200,0.5157466094511869,0.19237027310073868,0.538098693759071,0.013157894736842105,0.8118974175035868,0.0,0.8987341772151899,0.7059868421052633,0.2743589780877249,0.7763157894736842,0.013157894736842105,1.0,0.0,1.0,0.7112672844077176,0.21238835632827666,0.7040050062578223,0.2999866310160428,1.0,0.0,1.0,0.42,0.1
6,3,200,0.3683830989435474,0.2104851077423811,0.3946267696267696,0.0,0.744034090909091,0.0,0.7974683544303798,0.5107638888888889,0.2725424615094266,0.5694444444444444,0.0,0.9166666666666666,0.0,0.9444444444444444,0.5138542295162017,0.2572398763268241,0.5567251461988304,0.0,0.9,0.0,1.0,0.7,0.025
6,4,200,0.4563643630071925,0.1345120102436895,0.4528301886792453,0.11487647492625369,0.7096672077922079,0.0,0.8181818181818182,0.5640384615384615,0.18221709449617296,0.5384615384615384,0.25,0.9423076923076923,0.0,1.0,0.7500817035055968,0.21477984732949212,0.7892882311486962,0.21634841363102233,1.0,0.0,1.0,0.65,0.02
6,5,200,0.6497686722956059,0.17594511718563716,0.6885736723274762,0.24583517944173683,0.8802222222222222,0.0,0.9454545454545454,0.7646625766871165,0.17755521236566804,0.803680981595092,0.27607361963190186,0.9570552147239264,0.0,0.9938650306748467,0.7943879478625661,0.15517168976346818,0.833937735203558,0.5478023097826087,0.9633140756302522,0.0,0.9924242424242424,0.175,0.355
