K,runs,ARI_mean,ARI_sd,ARI_median,ARI_q025,ARI_q975,ARI_min,ARI_max,BIC_mean,BIC_sd,BIC_median,BIC_q025,BIC_q975,BIC_min,BIC_max,convergence_rate,total_convergence_warnings
5,20,0.8940035960208211,0.09342096955681109,0.8947318354905553,0.6600432372987609,1.0,0.5901868435857902,1.0,-1446059.9606311708,304.76248981681715,-1446024.6219637496,-1446555.8087953804,-1445616.6477114887,-1446571.616893012,-1445549.042344155,1.0,0
6,20,0.6241666790386999,0.1984866719245056,0.6458723892830183,0.3113319200706463,0.9079189608910399,0.278635771038482,0.9079189608910399,-1446190.5917001849,509.00163360801577,-1446291.5768431367,-1447036.559400421,-1445230.564449557,-1447221.225848011,-1445096.3992901267,1.0,0
