K,BIC_refit,AIC_refit,log_likelihood_per_station,saved_vs_refit_ARI,converged,n_iter
5,-1446368.897814095,-1460149.7706537931,1815.6408052645954,1.0,True,62
6,-1445565.2792051258,-1462103.1268957392,1819.7637709105684,1.0,True,23
