run,seed,K,reference_cluster,matched_candidate_cluster,jaccard,recall,precision
1,10043,6,0,5,0.5,0.6744186046511628,0.6590909090909091
1,10043,6,1,1,0.7272727272727273,0.7272727272727273,1.0
1,10043,6,2,4,0.53125,0.6538461538461539,0.7391304347826086
1,10043,6,3,2,0.7711442786069652,0.9117647058823529,0.8333333333333334
1,10043,6,4,0,0.8571428571428571,0.9230769230769231,0.9230769230769231
1,10043,6,5,3,0.7391304347826086,0.85,0.85
1,10043,7,0,2,0.8181818181818182,0.9310344827586207,0.8709677419354839
1,10043,7,1,0,0.8882978723404256,0.9277777777777778,0.9542857142857143
1,10043,7,2,5,0.7157894736842105,0.918918918918919,0.7640449438202247
1,10043,7,3,1,0.8913043478260869,0.9761904761904762,0.9111111111111111
1,10043,7,4,6,0.6842105263157895,0.7647058823529411,0.8666666666666667
1,10043,7,5,3,0.5161290322580645,0.5925925925925926,0.8
1,10043,7,6,4,0.7454545454545455,0.803921568627451,0.9111111111111111
2,10044,6,0,4,0.7619047619047619,0.9302325581395349,0.8080808080808081
2,10044,6,1,2,0.9696969696969697,0.9696969696969697,1.0
2,10044,6,2,0,0.5432098765432098,0.5641025641025641,0.9361702127659575
2,10044,6,3,3,0.8316326530612245,0.9588235294117647,0.8624338624338624
2,10044,6,4,5,0.7857142857142857,0.8461538461538461,0.9166666666666666
2,10044,6,5,1,0.8409090909090909,0.925,0.9024390243902439
2,10044,7,0,5,0.6744186046511628,1.0,0.6744186046511628
2,10044,7,1,4,0.8440860215053764,0.8722222222222222,0.9631901840490797
2,10044,7,2,1,0.46236559139784944,0.581081081081081,0.6935483870967742
2,10044,7,3,6,0.6,0.6428571428571429,0.9
2,10044,7,4,0,0.5789473684210527,0.6470588235294118,0.8461538461538461
2,10044,7,5,3,0.42424242424242425,0.5185185185185185,0.7
2,10044,7,6,2,0.42857142857142855,0.8235294117647058,0.47191011235955055
3,10045,6,0,2,0.845360824742268,0.9534883720930233,0.8817204301075269
3,10045,6,1,4,0.9090909090909091,0.9090909090909091,1.0
3,10045,6,2,5,0.9135802469135802,0.9487179487179487,0.961038961038961
3,10045,6,3,0,0.9310344827586207,0.9529411764705882,0.9759036144578314
