lsoa,hospitality_industry_share,shiftwork_industry_share
E01000001,0.012716763005780347,0.07167630057803467
E01000002,0.009101251422070534,0.08418657565415244
E01000003,0.034,0.113
E01000005,0.07661290322580645,0.2540322580645161
E01000006,0.07918552036199095,0.30995475113122173
E01000007,0.06652205350686913,0.2950108459869848
E01000008,0.0736196319018405,0.3404907975460123
E01000009,0.058524173027989825,0.35750636132315516
E01000011,0.07598371777476255,0.29850746268656714
E01000012,0.0932297447280799,0.32408435072142067
E01000013,0.05513784461152882,0.3182957393483709
E01000014,0.056461731493099125,0.33877038895859474
E01000015,0.06296992481203008,0.2885338345864662
E01000016,0.059371362048894066,0.28055878928987193
E01000017,0.0481283422459893,0.2713903743315508
E01000018,0.0421179302045728,0.3020457280385078
E01000019,0.04341534008683068,0.3154848046309696
E01000020,0.053811659192825115,0.33183856502242154
E01000021,0.05830903790087463,0.3250728862973761
E01000022,0.06103286384976526,0.3035993740219093
E01000024,0.06003159557661927,0.3080568720379147
E01000025,0.04880952380952381,0.3214285714285714
E01000027,0.06875,0.29625
E01000028,0.06559766763848396,0.2784256559766764
E01000029,0.05935483870967742,0.2335483870967742
E01000030,0.04703476482617587,0.294478527607362
E01000031,0.03929024081115336,0.2864385297845374
E01000032,0.060090702947845805,0.3242630385487528
E01000033,0.06418918918918919,0.32770270270270274
E01000034,0.039755351681957186,0.290519877675841
E01000035,0.07221542227662178,0.30354957160342716
E01000036,0.05467625899280575,0.3093525179856115
E01000037,0.04205607476635514,0.27453271028037385
E01000038,0.04236200256739409,0.2374839537869063
E01000039,0.03170731707317073,0.2634146341463415
E01000040,0.06359945872801083,0.3207036535859269
E01000041,0.05690072639225181,0.3075060532687651
E01000042,0.029745042492917848,0.3087818696883853
E01000043,0.0754985754985755,0.31481481481481477
E01000044,0.06480446927374302,0.3139664804469274
E01000045,0.07448275862068965,0.32413793103448274
E01000046,0.05011655011655012,0.3135198135198135
E01000049,0.07195301027900147,0.35242290748898675
E01000050,0.061274509803921566,0.3161764705882353
E01000051,0.059233449477351915,0.28222996515679444
E01000052,0.07091469681397738,0.3309352517985611
E01000053,0.05079825834542816,0.3425253991291727
E01000054,0.060753341433778855,0.30133657351154314
E01000055,0.06016042780748663,0.2887700534759359
