lsoa,no_car_household_share
E01000001,0.6630824372759857
E01000002,0.7014563106796117
E01000003,0.8121927236971485
E01000005,0.7828810020876826
E01000006,0.3303249097472924
E01000007,0.6095717884130982
E01000008,0.5137111517367459
E01000009,0.505
E01000011,0.4578059071729958
E01000012,0.49744245524296676
E01000013,0.34894991922455576
E01000014,0.30612244897959184
E01000015,0.3688622754491018
E01000016,0.32216905901116427
E01000017,0.31270903010033446
E01000018,0.2950310559006211
E01000019,0.27309236947791166
E01000020,0.2936746987951807
E01000021,0.35194585448392557
E01000022,0.25157232704402516
E01000024,0.25217391304347825
E01000025,0.3645533141210375
E01000027,0.3066465256797583
E01000028,0.4003215434083601
E01000029,0.21585903083700442
E01000030,0.3484013230429989
E01000031,0.24915824915824916
E01000032,0.3236514522821577
E01000033,0.35390199637023595
E01000034,0.29766536964980544
E01000035,0.3221476510067114
E01000036,0.2760084925690021
E01000037,0.17517006802721088
E01000038,0.23404255319148937
E01000039,0.24299065420560748
E01000040,0.40978593272171254
E01000041,0.2966666666666667
E01000042,0.4198473282442748
E01000043,0.33404255319148934
E01000044,0.44175491679273826
E01000045,0.3483535528596187
E01000046,0.32272727272727275
E01000049,0.42086956521739133
E01000050,0.42630744849445323
E01000051,0.5162037037037037
E01000052,0.40526976160602257
E01000053,0.41013824884792627
E01000054,0.3145539906103286
E01000055,0.31569664902998235
E01000056,0.31616341030195383
E01000057,0.3766478342749529
E01000058,0.3166189111747851
E01000059,0.28546409807355516
E01000060,0.42066420664206644
E01000061,0.5039893617021277
E01000062,0.31723237597911225
E01000063,0.3173076923076923
E01000064,0.2751256281407035
E01000065,0.42017879948914433
E01000066,0.2736248236953456
E01000067,0.26251896813353565
E01000068,0.2662473794549266
E01000069,0.13857677902621723
E01000070,0.23875432525951557
E01000071,0.23573200992555832
E01000072,0.36535859269282817
E01000073,0.2962406015037594
E01000074,0.34935897435897434
E01000075,0.28012519561815336
E01000076,0.39748427672955977
E01000077,0.36993243243243246
E01000078,0.31239935587761675
E01000079,0.35691318327974275
E01000080,0.29489291598023065
E01000081,0.28483920367534454
E01000082,0.321377331420373
E01000083,0.3001579778830964
E01000084,0.36182902584493043
E01000085,0.4131944444444444
E01000086,0.35655737704918034
E01000087,0.32625482625482627
E01000088,0.315702479338843
E01000089,0.2757475083056478
E01000090,0.3303411131059246
E01000091,0.3869047619047619
E01000093,0.4623493975903614
E01000094,0.32265717674970346
E01000095,0.29986431478968795
E01000096,0.3305785123966942
E01000097,0.35766423357664234
E01000098,0.2829581993569132
E01000099,0.24732334047109208
E01000100,0.32926829268292684
E01000101,0.32989690721649484
E01000102,0.3275039745627981
E01000103,0.24202626641651032
E01000104,0.36363636363636365
E01000105,0.4588235294117647
E01000106,0.4288990825688073
E01000107,0.2533112582781457
E01000108,0.3333333333333333
