lsoa,deprived_1plus_share,deprived_2plus_share
E01000001,0.3460620525059666,0.0441527446300716
E01000002,0.3422330097087379,0.03519417475728155
E01000003,0.519723865877712,0.13806706114398423
E01000005,0.6597077244258872,0.29018789144050106
E01000006,0.631768953068592,0.1967509025270758
E01000007,0.5719091673675357,0.20269133725820015
E01000008,0.7522768670309654,0.33515482695810567
E01000009,0.6505823627287853,0.28286189683860236
E01000011,0.6469344608879493,0.23678646934460887
E01000012,0.6551724137931034,0.2962962962962963
E01000013,0.6726094003241491,0.29983792544570503
E01000014,0.6525157232704403,0.26572327044025157
E01000015,0.5976047904191617,0.2407185628742515
E01000016,0.6092503987240829,0.21690590111642744
E01000017,0.7040133779264214,0.33277591973244147
E01000018,0.6118012422360248,0.2422360248447205
E01000019,0.6327345309381237,0.2654690618762475
E01000020,0.6500754147812972,0.3137254901960784
E01000021,0.6548223350253807,0.2825719120135364
E01000022,0.5920502092050209,0.2405857740585774
E01000024,0.6514161220043573,0.3006535947712418
E01000025,0.6844380403458213,0.26368876080691644
E01000027,0.6948640483383686,0.34441087613293053
E01000028,0.7020933977455717,0.31239935587761675
E01000029,0.5859030837004405,0.2055800293685756
E01000030,0.6854304635761589,0.2969094922737307
E01000031,0.5649241146711635,0.20067453625632378
E01000032,0.6224066390041494,0.2392807745504841
E01000033,0.6739130434782609,0.322463768115942
E01000034,0.6569767441860465,0.29069767441860467
E01000035,0.6279461279461279,0.23232323232323232
E01000036,0.5907172995780591,0.20675105485232068
E01000037,0.499151103565365,0.13412563667232597
E01000038,0.5964601769911504,0.19646017699115045
E01000039,0.5109034267912772,0.19781931464174454
E01000040,0.6966463414634146,0.2896341463414634
E01000041,0.6583333333333333,0.24166666666666667
E01000042,0.6931297709923664,0.3099236641221374
E01000043,0.6560509554140127,0.2526539278131635
E01000044,0.6272727272727273,0.25757575757575757
E01000045,0.6637781629116117,0.2772963604852686
E01000046,0.6329305135951662,0.2930513595166163
E01000049,0.7700348432055749,0.34146341463414637
E01000050,0.6291600633914421,0.21553090332805072
E01000051,0.44675925925925924,0.10416666666666667
