reference_cluster,matched_candidate_cluster,intersection,reference_size,candidate_size,jaccard,recall,precision
0,4,11,51,61,0.10891089108910891,0.21568627450980393,0.18032786885245902
1,5,23,49,30,0.4107142857142857,0.46938775510204084,0.7666666666666667
2,2,50,113,62,0.4,0.4424778761061947,0.8064516129032258
3,1,11,21,35,0.24444444444444444,0.5238095238095238,0.3142857142857143
4,3,17,19,51,0.32075471698113206,0.8947368421052632,0.3333333333333333
5,0,0,17,31,0.0,0.0,0.0
