reference_cluster,matched_candidate_cluster,intersection,reference_size,candidate_size,jaccard,recall,precision
0,4,46,119,53,0.36507936507936506,0.3865546218487395,0.8679245283018868
1,2,12,15,39,0.2857142857142857,0.8,0.3076923076923077
2,0,20,44,52,0.2631578947368421,0.45454545454545453,0.38461538461538464
3,3,17,38,61,0.2073170731707317,0.4473684210526316,0.2786885245901639
4,1,43,54,65,0.5657894736842105,0.7962962962962963,0.6615384615384615
