metric,kruskal_h,df,p_value,epsilon_squared,n,p_fdr_bh,mode
imd_score,160.16023990039886,2,1.6658879833379596e-35,0.03991929326107998,3965,1.6658879833379596e-35,bus
imd_score,30.933353218715588,4,3.158738338608137e-06,0.10816607718359673,254,3.158738338608137e-06,rail
