imd_decile,metric,n,median,q25,q75
1,log_total_activity,87,7.190417018122734,6.2524532481731185,7.898186861524203
1,post_midnight_share,87,0.1091541457417282,0.08726524848721645,0.13965250543945265
1,direction_balance,87,-0.1126362076941718,-0.2820023578124037,-0.0033533745659164995
1,weekend_ratio,87,0.818814859137881,0.7605423495252264,0.8792873764182727
2,log_total_activity,572,6.719248833439021,5.712480482820838,7.630482328680335
2,post_midnight_share,572,0.118457955985362,0.08425311061807589,0.15363242023069174
2,direction_balance,572,-0.15682847335070793,-0.303963161660541,0.00348778364611875
2,weekend_ratio,572,0.7989174931066737,0.7366402716104304,0.8755952682765267
3,log_total_activity,668,6.7275180486007375,5.787550018977372,7.598143827102878
3,post_midnight_share,668,0.1184740408896874,0.08485519691658852,0.1528219362767496
3,direction_balance,668,-0.14606711595693034,-0.3009421176200509,0.02752502993169145
3,weekend_ratio,668,0.8020695848451397,0.7444656494576468,0.8667892024823538
4,log_total_activity,559,6.876552207270157,5.957760319883674,7.64736477667776
4,post_midnight_share,559,0.1117892162449358,0.0826722139663984,0.14683369076968755
4,direction_balance,559,-0.1245217258486996,-0.2936436273915079,0.05131490778749325
4,weekend_ratio,559,0.8017353827592381,0.7353056942863423,0.8528898343060625
5,log_total_activity,455,6.529543414443896,5.801771036025176,7.441882363732598
5,post_midnight_share,455,0.1012884090088872,0.0718433819887927,0.1385172511685673
5,direction_balance,455,-0.1391874088301628,-0.2910206122811707,0.02209351639855405
5,weekend_ratio,455,0.7764582659907441,0.718526841671842,0.8367566466252048
6,log_total_activity,441,6.459515286329704,5.487485266889556,7.285256702372094
6,post_midnight_share,441,0.0882578962794514,0.0596990815763935,0.1166114426444524
6,direction_balance,441,-0.1460676991015833,-0.3140333736359201,0.0228034208095389
6,weekend_ratio,441,0.7662340212685497,0.7145703675095759,0.8208021391095865
7,log_total_activity,364,6.089833434815539,5.285509039874393,7.055340881757934
7,post_midnight_share,364,0.07902442740548725,0.056081222220028,0.1116222241046123
7,direction_balance,364,-0.1398029292854667,-0.308674836964252,0.0422031767985841
7,weekend_ratio,364,0.7556707014293153,0.6854687684000718,0.8230726985438772
8,log_total_activity,339,6.053144917308269,5.26555036898087,7.080313709511429
8,post_midnight_share,339,0.0772873694013742,0.05167942703170905,0.10790455573937979
8,direction_balance,339,-0.0933427953501116,-0.26803376228803205,0.07726246394725764
8,weekend_ratio,339,0.7629470571608215,0.6871453539884426,0.8409796096521055
9,log_total_activity,318,5.728252559863612,4.7835532164675865,6.549285033043102
9,post_midnight_share,318,0.06346957754974264,0.037692945247399,0.08862150470698935
9,direction_balance,318,-0.12441352107766959,-0.28593690812281,0.09287770816797244
9,weekend_ratio,318,0.7415807831787968,0.6574625121408045,0.8227362626691028
10,log_total_activity,162,5.271733678374117,4.3128388205723525,6.047602791007311
10,post_midnight_share,162,0.05150076609828855,0.026126091193008474,0.07649929935300456
10,direction_balance,162,-0.09511364262536515,-0.2822138793826516,0.12362700787541209
10,weekend_ratio,162,0.7355701535116068,0.6490992703683583,0.8248618270447978
