lsoa,total_activity,log_total_activity,direction_balance,post_midnight_share,deep_night_share,post_midnight_persistence,weekend_ratio,activity_band
E01000001,2639.39277,7.878682961589385,0.320382331728521,0.11241537575326464,0.06033584762755867,0.18820622530148085,0.5947770645526193,at_least_450
E01000002,186.04697,5.231359761785646,-0.7816931928533961,0.1187319524741521,0.09377282521720187,0.22844693722614332,1.355810872385962,below_450
E01000005,12380.10901,9.423927123001913,-0.02725033113420058,0.1544194019984643,0.08866427340125659,0.30085411969718556,0.8320712320605262,at_least_450
E01000007,135.92386,4.919425004909364,-0.5259690241286556,0.06137936341713662,0.027301461273980893,0.10006077104021863,0.7672511220988634,below_450
E01000008,422.68066,6.048980011086831,-0.42702914299414607,0.10146544201951421,0.08337225554630298,0.16943630377222374,0.7226510358413684,below_450
E01000009,31483.76693,10.35725911832279,0.11011232352557622,0.17494247344182076,0.11301363295919939,0.3238136265809915,0.8435401156707157,at_least_450
E01000011,440.40113,6.089954053855608,-0.1504033152685144,0.040398829131069666,0.01957578991679699,0.06589144114447783,0.9209520651246086,below_450
E01000013,7928.70168,8.978370694753558,0.1427430423892553,0.10190464625981488,0.0760602560594763,0.16031427482511626,0.62736593339491,at_least_450
E01000017,1630.97699,7.397547436159951,-0.24233870399361065,0.11511560932567173,0.09184885557459643,0.17989823855134354,0.7040244883285122,at_least_450
E01000019,211.85787,5.360624665985739,-0.07234014955403834,0.15193218925499438,0.1334373842236779,0.25178706224973263,0.6244638361767207,below_450
E01000020,106.56273,4.678074212261163,-0.32767413147166935,0.07979234390860668,0.06567005180892044,0.11566548233728641,0.6337432762851793,below_450
E01000021,529.83531,6.274451822476142,-0.13306955702895684,0.04334401570933428,0.03199605552902844,0.06495273748139324,0.7123112782739375,at_least_450
E01000024,2780.44804,7.930726948772826,-0.21883007027888934,0.16584899029438435,0.1243095591169544,0.2797755995042123,0.7822902396376608,at_least_450
E01000027,1813.19829,7.503398935616184,-0.25221670046909206,0.07939420679687492,0.05517189187289604,0.12508512213046794,0.7498000848723412,at_least_450
E01000029,1086.15141,6.991316169049366,-0.31927549585375026,0.15803509383650297,0.12350471468798258,0.26433088459661214,0.6829424848806501,at_least_450
E01000030,586.74213,6.376288297283743,-0.42181281579354124,0.1171968510255093,0.0841396372883604,0.19899878313366362,0.7027540002484461,at_least_450
E01000031,326.12029,5.790327962580816,-0.19764593610535552,0.07770537674917435,0.05736134970320308,0.1160921005668843,0.6139837837826759,below_450
E01000032,1031.2933,6.939538111089153,0.040278667572067,0.09273393902588138,0.059117992912394564,0.12927993577576932,0.7385013059290311,at_least_450
E01000034,935.89282,6.842568889356425,-0.20303459535035223,0.13211560913567005,0.10276587013457372,0.2039847100120775,0.5433045497679931,at_least_450
E01000035,1559.36796,7.352676944225077,-0.10974533553966316,0.07646931517048741,0.05861279206993582,0.11317003764036604,0.7352094295705613,at_least_450
E01000036,1377.68542,7.2288857299421485,-0.0008640724382494597,0.10677764884816739,0.0998842827268942,0.16610420315102944,0.6214403761033528,at_least_450
E01000038,119.95133,4.795388233275032,-0.18308850764722656,0.11096033699668023,0.07884681228628311,0.15985499260406552,0.7064278204098973,below_450
E01000040,917.44285,6.822679681706853,-0.2781823521759421,0.07286796120325097,0.05576425823145277,0.11344776820337507,0.8222119327469158,at_least_450
E01000041,457.29978,6.127523511480051,-0.35726673649394713,0.08726332647699939,0.060938494219262465,0.1404178879697105,0.9215949737500635,at_least_450
E01000042,501.4594,6.219514840649156,-0.21715664318985745,0.0657785655229516,0.04617941153361568,0.10149602673429112,0.7826699989968017,at_least_450
E01000043,232.72266,5.454135198761297,-0.07108856524757845,0.051056437735801055,0.024214659629620938,0.07300838165437057,0.7356465513579638,below_450
E01000045,1363.51447,7.218553944709241,-0.06997405022038378,0.09758315949518305,0.07831856745898708,0.15005766948558882,0.7251197046503596,at_least_450
E01000049,172.56324999999998,5.156542086267621,0.1984155374913257,0.09519187891975842,0.09206050535093654,0.1337226279273718,0.8249869277482634,below_450
E01000050,2528.45067,7.8357574316639855,-0.10715604350706986,0.09256359745393014,0.07021885461581893,0.14687589803954013,0.740709887545181,at_least_450
E01000052,1066.69421,6.97325665829796,-0.32881791867980603,0.13339105871775564,0.09194997880414106,0.22710724201354057,0.7129743014528708,at_least_450
E01000057,383.26941,5.951343895131205,-0.03214686504722625,0.07000462155328284,0.058789820977364196,0.10046809243132054,0.8775157753060464,below_450
E01000058,332.64933,5.8100905312552875,-0.17705212272635565,0.09739821210522204,0.07249465976678805,0.15120744931477595,0.7573483303748828,below_450
E01000060,4320.63502,8.37138908648571,-0.15285468847586206,0.142166079096401,0.1080409888451999,0.2252440380076483,0.7603715947671719,at_least_450
E01000061,1594.3102,7.374823479068246,-0.09646422634691794,0.16756274908107593,0.1330208512747394,0.2711409303060925,0.7564434774041242,at_least_450
E01000062,262.85855,5.575413164102094,-0.37623721959966683,0.1517147150054659,0.108391756707172,0.24258815051818575,0.5908270179332188,below_450
E01000063,300.84599000000003,5.709916920410114,0.4988068812218504,0.40588222565306586,0.3183486008904423,0.9418806861530827,0.9082569567463452,below_450
E01000064,846.65155,6.742469643327201,-0.11721763221244919,0.09539488825125282,0.07301229177457952,0.14583759585585934,0.7260532323201898,at_least_450
E01000065,387.33546,5.961869553711546,-0.30221002745268916,0.1310530928410221,0.1210117452195056,0.19680470164697683,0.5042993976725827,below_450
E01000067,932.78253,6.839243573858939,-0.16077720709456256,0.10156590304065836,0.05953450907790908,0.15934697592964833,0.88066975519355,at_least_450
E01000068,356.51837,5.879186745429303,-0.01210240583114973,0.12036552282004431,0.0733462065362859,0.19308647912475724,0.9576064040777187,below_450
E01000070,2044.36725,7.623332636705641,-0.09467380677322043,0.15367861131604413,0.09421587535214135,0.2542269206600666,0.810849907422788,at_least_450
E01000071,172.35817,5.15535980110409,-0.1155902850442193,0.07516974681269822,0.05740847677832736,0.11238707289989879,0.9357000144771008,below_450
E01000072,588.9061399999999,6.379963439498682,-0.24018842798956042,0.08470672423282936,0.07314415163000339,0.12834632916316702,0.7268789479142505,at_least_450
E01000073,178.48488,5.190090970397166,-0.009439230930933741,0.14092605491288673,0.10579417147267602,0.21815277633589594,0.7219414371412939,below_450
E01000074,248.53352,5.51959325486499,-0.09854115452917578,0.09442122736603095,0.06767803393280712,0.14149297176036196,0.6376794670463974,below_450
E01000075,2451.90586,7.805028666025112,0.037673069552515315,0.09045557320051431,0.06738043360278116,0.13878784063887853,0.7674974663034853,at_least_450
E01000077,248.14658,5.518041397962522,-0.19522453220995423,0.11649183317376366,0.10272081928350575,0.18195190302025033,0.6953920385937506,below_450
E01000078,944.23233,6.851430749128981,-0.12821944997371565,0.06284325172386335,0.047055707147837224,0.0906898291453732,0.7510705747384666,at_least_450
E01000079,190.02383,5.2523981846621055,-0.1609323946370306,0.05568006917869196,0.039895417327395204,0.07741814162772483,0.5872573059677906,below_450
E01000080,150.17558,5.018441942765113,-0.11468695509616135,0.08064859812760504,0.07127337214212857,0.11592576700217305,0.6494241841435108,below_450
E01000082,2130.38171,7.664525738535811,-0.3303906744486649,0.22162063623800074,0.16534316284568554,0.4024322636873699,0.7643552407707596,at_least_450
E01000083,3707.97441,8.21851067803198,-0.17238228728768387,0.14757611825050326,0.1067965919430388,0.23964462635899436,0.7756814404945614,at_least_450
E01000084,492.38879,6.2012974839344395,0.3085606599614098,0.14733357353647308,0.1311772958925405,0.24080190425806253,0.6705475496320845,at_least_450
E01000085,365.29094,5.903427935654149,-0.2735595906101586,0.07952515876796726,0.06531429440872527,0.11592049584431427,0.7845834765763247,below_450
E01000086,460.19189,6.1338142036782815,-0.1819991438788719,0.08696493977762189,0.05474257705845271,0.13689543356814457,0.7481410182276279,at_least_450
E01000087,4075.67162,8.313036155057342,-0.1862484495254797,0.11685943923028815,0.09073932457787166,0.1850349559103817,0.6747406095757836,at_least_450
E01000088,569.3558400000001,6.346260446748214,-0.1232081504600006,0.1888248305312895,0.1624239245530528,0.33166956384065255,0.7152285972339816,at_least_450
E01000090,694.37927,6.544457408948238,-0.35885263395031936,0.14675890309916653,0.11959831404529114,0.25055608803948914,0.622308460237658,at_least_450
E01000091,1882.5985600000001,7.540939353875585,-0.5664393581603505,0.13664078230252125,0.08530217403332126,0.23045074640217988,0.7698627913081366,at_least_450
E01000093,1785.10476,7.487792415931241,-0.19921982617983724,0.1301652738856626,0.09715452218053577,0.21651849671441337,0.7729209372381127,at_least_450
E01000094,1899.96005,7.550114327012476,-0.19884057562157692,0.2198520226780558,0.14114326772291869,0.4028509199323327,0.7539527401410249,at_least_450
E01000095,2911.23072,7.976674636947216,0.04523458724700458,0.12377939251753979,0.10171808711883887,0.19706601246906227,0.6985452699135235,at_least_450
E01000096,689.84582,6.537916672966896,-0.0504495047893455,0.07538354004957223,0.06586309387219305,0.10769245169870213,0.5913212941179411,at_least_450
E01000097,163.92717,5.105503982518207,0.000283113531454296,0.08557239169077341,0.0753039291778172,0.1250163426434042,0.6320812062850135,below_450
E01000098,1071.16598,6.977436161735048,-0.21425452664208025,0.08678241443030145,0.0620674024766918,0.13119562293468412,0.774533866554065,at_least_450
E01000099,1255.98559,7.136471744721833,-0.23998322305592693,0.15071490589314804,0.09873760573956904,0.24413512172537064,0.7655942600530601,at_least_450
E01000101,876.97961,6.777623370130829,-0.28165565901811557,0.14219168675996927,0.09860047943417977,0.23089143266079065,0.7868916313149659,at_least_450
E01000103,74.24595,4.320762081582598,-0.1253405741323264,0.058128423166516154,0.03660913490904218,0.09126620600050245,0.6096473594930466,below_450
E01000104,1155.84378,7.053450696469833,-0.2870361252452299,0.06242778760292329,0.05285701325485353,0.09471383864990614,0.813480453632919,at_least_450
E01000105,981.07857,6.889671315337122,-0.024828154181372016,0.05074955413611776,0.03421526167878684,0.07410653007376508,0.7622086326303663,at_least_450
