logical_hub_code,logical_hub_name,n_member_stops,n_member_stop_areas,representative_candidate_code,hub_easting,hub_northing,hub_lsoa,coordinate_source
940GZZLUFPK,Finsbury Park Station,6,4,490G00083S,531288.0,186805.0,E01002734,official_bus_stop_area_medoid
940GZZLUPYB,Putney Bridge Station,3,2,490G00184X,524462.0,175876.0,E01001916,official_bus_stop_area_medoid
