logical_hub_code,logical_hub_name,hub_lsoa,boardings,alightings
940GZZLUFPK,Finsbury Park Station,E01002734,12553.91994,10085.09493
940GZZLUPYB,Putney Bridge Station,E01001916,2077.82864,1371.47692
