lsoa,alightings,boardings,total_activity,direction_ratio,exact_direction_zero,near_zero_ratio_lt_0_01,eligible_two_direction_clustering,exclusion_reason
E01000001,896.8889800000001,1742.50379,2639.39277,0.514712785789694,False,False,True,
E01000002,165.73931,20.30766,186.04697,0.12252772139572682,False,False,True,
E01000005,6358.73554,6021.3734699999995,12380.10901,0.9469451012897447,False,False,True,
E01000007,103.7078,32.21606,135.92386,0.3106425939032551,False,False,True,
E01000008,301.58881,121.09185,422.68066,0.4015130733796124,False,False,True,
E01000009,14008.508100000001,17475.25883,31483.766929999998,0.8016194916639184,False,False,True,
E01000011,253.31946,187.08167,440.40112999999997,0.7385207200425897,False,False,True,
E01000013,3398.46734,4530.23434,7928.70168,0.7501747337865088,False,False,True,
E01000017,1013.11292,617.86407,1630.9769900000001,0.6098669336879051,False,False,True,
E01000019,113.59185000000001,98.26602,211.85787,0.8650798450769135,False,False,True,
E01000020,70.74029,35.82244,106.56273,0.5063937396920482,False,False,True,
E01000021,300.17013000000003,229.66518,529.83531,0.7651167023181153,False,False,True,
E01000024,1694.44684,1086.0012,2780.44804,0.6409178348728839,False,False,True,
E01000027,1135.25859,677.9397,1813.1982899999998,0.597167646183589,False,False,True,
E01000029,716.46647,369.68494,1086.15141,0.5159835881782437,False,False,True,
E01000030,417.11874,169.62339,586.74213,0.4066549251659132,False,False,True,
E01000031,195.28832,130.83196999999998,326.12028999999995,0.6699426263690527,False,False,True,
E01000032,494.87709,536.41621,1031.2933,0.9225617734408139,False,False,True,
E01000034,562.95572,372.9371,935.89282,0.6624625823146445,False,False,True,
E01000035,865.25066,694.1173,1559.36796,0.802215279442838,False,False,True,
E01000036,689.4379200000001,688.2475,1377.68542,0.9982733470767026,False,False,True,
E01000038,70.95652,48.99481,119.95133,0.6904905990316323,False,False,True,
E01000039,9.275619999999998,18.86636,28.141979999999997,0.4916486275041925,False,False,True,
E01000040,586.3296300000001,331.11322,917.4428500000001,0.5647219636503786,False,False,True,
E01000041,310.33889,146.96089,457.29978,0.47354970561375664,False,False,True,
E01000042,305.17732,196.28208,501.4594,0.6431738767481149,False,False,True,
E01000043,124.63329,108.08936999999999,232.72266,0.8672592210315557,False,False,True,
E01000045,729.46255,634.05192,1363.51447,0.8692042106890888,False,False,True,
E01000049,69.16201,103.40124,172.56324999999998,0.6688702185776495,False,False,True,
E01000050,1399.69472,1128.75595,2528.45067,0.8064300978430496,False,False,True,
E01000052,708.72119,357.97302,1066.69421,0.5050971031358609,False,False,True,
E01000057,197.79516,185.47424999999998,383.26941,0.937708738676922,False,False,True,
E01000058,195.7728,136.87653,332.64932999999996,0.6991600978276861,False,False,True,
E01000060,2490.53217,1830.10285,4320.63502,0.7348240155436339,False,False,True,
E01000061,874.05205,720.25815,1594.3102,0.8240449181487532,False,False,True,
E01000062,180.87786,81.98069000000001,262.85855000000004,0.4532378368474727,False,False,True,
E01000063,75.39097,225.45502,300.84599,0.33439472760464595,False,False,True,
E01000064,472.94702,373.70453,846.65155,0.7901615068850629,False,False,True,
E01000065,252.19606,135.1394,387.33546,0.5358505600761566,False,False,True,
E01000067,541.37635,391.40618,932.78253,0.7229835215372817,False,False,True,
E01000068,180.41655,176.10182,356.51837,0.9760846219484853,False,False,True,
E01000070,1118.95764,925.40961,2044.3672500000002,0.8270282778533063,False,False,True,
E01000071,96.14055,76.21762,172.35817,0.7927728726328276,False,False,True,
E01000072,365.17728999999997,223.72885,588.9061399999999,0.6126581694058796,False,False,True,
E01000073,90.08482,88.40006,178.48487999999998,0.9812980699744974,False,False,True,
E01000074,136.51215,112.02136999999999,248.53351999999998,0.8205963351980025,False,False,True,
E01000075,1179.76752,1272.13834,2451.90586,0.9273893277990506,False,False,True,
E01000077,148.29543999999999,99.85114,248.14657999999997,0.6733257610618372,False,False,True,
E01000078,532.65064,411.58169,944.2323299999999,0.772704769490186,False,False,True,
E01000079,110.30241000000001,79.72142,190.02383,0.7227532018566049,False,False,True,
E01000080,83.69937999999999,66.4762,150.17558,0.7942257158894129,False,False,True,
E01000082,1417.11998,713.26173,2130.3817099999997,0.5033178136405924,False,False,True,
E01000083,2173.58176,1534.39265,3707.97441,0.705928195680111,False,False,True,
E01000084,170.22849,322.1603,492.38879,0.5283968570925716,False,False,True,
E01000085,232.60989,132.68105,365.29094,0.5704015852464398,False,False,True,
E01000086,271.97321,188.21868,460.19189,0.6920486028752612,False,False,True,
E01000087,2417.37957,1658.29205,4075.67162,0.6859874512797343,False,False,True,
E01000088,319.75256,249.60327999999998,569.35584,0.7806138596669874,False,False,True,
E01000090,471.77955,222.59972,694.3792699999999,0.47182994684699664,False,False,True,
E01000091,1474.4882400000001,408.11032,1882.5985600000001,0.2767809935194871,False,False,True,
E01000093,1070.36651,714.73825,1785.1047600000002,0.6677509463557487,False,False,True,
E01000094,1138.8746,761.08545,1899.9600500000001,0.6682785356702133,False,False,True,
