K,n_init,seeds,best_seed,best_BIC,worst_BIC,BIC_range_across_seeds,improvement_over_scan_BIC,ari_vs_scan,scan_BIC
3,100,"[42, 7, 123, 2026, 999]",42,-351975.15685242385,-351975.15685242385,0.0,5.135661922395229e-07,1.0,-351975.1568519103
4,100,"[42, 7, 123, 2026, 999]",7,-365890.12035575404,-365890.12035454874,1.2053060345351696e-06,1.2053060345351696e-06,1.0,-365890.12035454874
