K,cluster,n,share,mean_silhouette,relative_compactness_vs_sample,mean_log_total_activity,mean_post_midnight_share
3,0,1277,0.3774756133609223,-0.23898929189739682,0.9858909887227223,6.379404674685177,0.06716370418776553
3,1,1148,0.33934377771208984,0.5593903844338642,0.36727966361765585,7.960534185615794,0.09212977769991003
3,2,958,0.2831806089269879,0.3754700718928428,0.7277864090458416,5.77696308093124,0.027102885978881684
4,0,604,0.17853975761158736,0.26527611370936766,0.63399130753803,5.56839966357247,0.021396468916735148
4,1,1134,0.3352054389595034,0.49578245100786794,0.3658441356241224,7.97213462269178,0.09241881749573831
4,2,1069,0.3159917233224948,-0.19730352330777173,0.8669046540863025,6.396761420620349,0.07135225629970196
4,3,576,0.17026308010641442,0.078724439910899,0.7949708361332458,6.211235466351784,0.040791027022196676
