alpha,cluster_aligned_to_alpha5,direction,day_type,hour_bin,mean_share
0.0,1,boardings,Sunday,1380,0.008427381636170033
0.0,1,boardings,Sunday,1440,0.0038425794919241143
0.0,1,boardings,Sunday,1500,0.00044655032279189763
0.0,1,boardings,Sunday,1560,0.00012975837403134642
0.0,1,boardings,Sunday,1620,0.0001554737898247984
0.0,1,boardings,Sunday,1680,0.001734155235555587
0.0,1,boardings,Sunday,1740,0.03891404867376317
0.0,1,alightings,Weekday,1080,0.13365023522855932
0.0,1,alightings,Weekday,1140,0.0952744588872333
0.0,1,alightings,Weekday,1200,0.05937255416909092
0.0,1,alightings,Weekday,1260,0.0434996868698017
0.0,1,alightings,Weekday,1320,0.03518059449537622
0.0,1,alightings,Weekday,1380,0.025467074794451074
0.0,1,alightings,Weekday,1440,0.011017504518945748
0.0,1,alightings,Weekday,1500,0.0013911103468300702
0.0,1,alightings,Weekday,1560,0.00023820211675690107
0.0,1,alightings,Weekday,1620,0.00017435390449281992
0.0,1,alightings,Weekday,1680,0.0002787177663553218
0.0,1,alightings,Weekday,1740,0.005380094909722846
0.0,1,alightings,Saturday,1080,0.0942575917140431
0.0,1,alightings,Saturday,1140,0.07824608287416115
0.0,1,alightings,Saturday,1200,0.057910427349130524
0.0,1,alightings,Saturday,1260,0.044615677629190865
0.0,1,alightings,Saturday,1320,0.03807455820158934
0.0,1,alightings,Saturday,1380,0.03239742753716163
0.0,1,alightings,Saturday,1440,0.006867858074633885
0.0,1,alightings,Saturday,1500,0.0007097041466133733
0.0,1,alightings,Saturday,1560,0.00012939577636909437
0.0,1,alightings,Saturday,1620,9.153352264005541e-05
0.0,1,alightings,Saturday,1680,0.0001446663864763007
0.0,1,alightings,Saturday,1740,0.000756429972870852
0.0,1,alightings,Sunday,1080,0.05867163657637231
0.0,1,alightings,Sunday,1140,0.049867872140812654
0.0,1,alightings,Sunday,1200,0.03792123976511814
0.0,1,alightings,Sunday,1260,0.030663914927674885
0.0,1,alightings,Sunday,1320,0.022904509710266925
0.0,1,alightings,Sunday,1380,0.016364902124154965
0.0,1,alightings,Sunday,1440,0.011017504518945748
0.0,1,alightings,Sunday,1500,0.0013911103468300702
0.0,1,alightings,Sunday,1560,0.00023820211675690107
0.0,1,alightings,Sunday,1620,0.00017435390449281992
0.0,1,alightings,Sunday,1680,0.0002787177663553218
0.0,1,alightings,Sunday,1740,0.005380094909722846
0.0,2,boardings,Weekday,1080,0.10454319509851111
0.0,2,boardings,Weekday,1140,0.0732975439446109
0.0,2,boardings,Weekday,1200,0.048037460938426105
0.0,2,boardings,Weekday,1260,0.033056129922527634
0.0,2,boardings,Weekday,1320,0.024839627906071925
0.0,2,boardings,Weekday,1380,0.015931534527666567
0.0,2,boardings,Weekday,1440,0.007046396679877576
0.0,2,boardings,Weekday,1500,0.004081016639128893
0.0,2,boardings,Weekday,1560,0.0033839697056025205
