lsoa,alpha,cluster_raw,cluster_aligned_to_alpha5,max_posterior,normalized_entropy,total_activity,activity_band,min_direction_reliability
E01000091,0.0,0,0,0.9999999999885745,2.7244709122275874e-10,1882.5985600000001,at_least_450,1.0
E01000093,0.0,0,0,0.9999999999895977,2.4904155639983356e-10,1785.10476,at_least_450,1.0
E01000094,0.0,0,0,0.9993665105554161,0.004822879148146231,1899.96005,at_least_450,1.0
E01000095,0.0,0,0,0.9999999999090505,1.997109517890046e-09,2911.23072,at_least_450,1.0
E01000096,0.0,2,1,0.9999999913745796,1.5370750316975415e-07,689.84582,at_least_450,1.0
E01000097,0.0,2,1,0.9999999962187189,7.035357444855219e-08,163.92717,below_450,1.0
E01000098,0.0,0,0,0.9888517172495811,0.055719246355994095,1071.16598,at_least_450,1.0
E01000099,0.0,0,0,0.9999999999373017,1.3981176865697918e-09,1255.98559,at_least_450,1.0
E01000101,0.0,0,0,0.99999949860644,7.076696180398182e-06,876.97961,at_least_450,1.0
E01000103,0.0,2,1,1.0,4.6647009494812116e-21,74.24595,below_450,1.0
E01000104,0.0,0,0,0.9999418938321375,0.0005687427801166486,1155.84378,at_least_450,1.0
E01000105,0.0,0,0,0.9968607190383462,0.019322936349786768,981.07857,at_least_450,1.0
E01000106,0.0,2,1,0.9999998932193023,1.6574807742391036e-06,470.59413,at_least_450,1.0
E01000108,0.0,2,1,1.0,1.7308942651102178e-13,84.88645,below_450,1.0
E01000110,0.0,2,1,0.8462109267598308,0.39069843474431915,449.95845,below_450,1.0
E01000111,0.0,0,0,0.9693388728012141,0.12473267942610758,956.5851700000001,at_least_450,1.0
E01000112,0.0,0,0,0.9999999999998295,4.674088824552082e-12,1749.22865,at_least_450,1.0
E01000113,0.0,0,0,0.9999999956950205,7.940400503694139e-08,2953.30215,at_least_450,1.0
E01000114,0.0,0,0,0.9999999999881766,2.813836901138603e-10,2011.63745,at_least_450,1.0
E01000117,0.0,2,1,1.0,3.6522443565288504e-20,93.97646,below_450,1.0
E01000118,0.0,0,0,0.9999329055158271,0.0006479360938634113,1245.77555,at_least_450,1.0
E01000120,0.0,2,1,0.9999979448176732,2.6369150923353528e-05,384.81483000000003,below_450,1.0
E01000121,0.0,2,1,1.0,1.888707453352298e-15,159.61935,below_450,1.0
E01000123,0.0,2,1,0.9999999998360067,3.559965891913756e-09,183.53364,below_450,1.0
E01000124,0.0,2,1,0.9999994278375584,8.010405027853985e-06,347.31354,below_450,1.0
E01000126,0.0,0,0,0.9999999999503189,1.117765268986145e-09,689.69366,at_least_450,1.0
E01000127,0.0,1,2,0.9951253689299152,0.028047981408134935,407.94238,below_450,1.0
E01000128,0.0,2,1,0.9999999999550937,1.0147585538572417e-09,175.85193,below_450,1.0
E01000129,0.0,0,0,1.0,4.338837084637465e-13,8335.30012,at_least_450,1.0
E01000130,0.0,0,0,0.9999999999033662,2.115809481388887e-09,1070.64712,at_least_450,1.0
E01000131,0.0,1,2,0.9789067334521205,0.09667223088864298,673.35157,at_least_450,1.0
E01000133,0.0,0,0,0.7396085018084565,0.5219912628693983,676.92957,at_least_450,1.0
E01000134,0.0,2,1,1.0,4.853546395861116e-13,198.29953,below_450,1.0
E01000135,0.0,1,2,0.9995963017306263,0.0032390640154024257,351.19986,below_450,1.0
E01000136,0.0,0,0,0.9999996960877873,4.427931201471094e-06,672.60646,at_least_450,1.0
E01000138,0.0,0,0,0.9999999819989399,3.0858147277783784e-07,806.34834,at_least_450,1.0
E01000139,0.0,0,0,0.9999999999930651,1.679246055600825e-10,3278.256,at_least_450,1.0
E01000140,0.0,0,0,1.0,3.696000390329296e-14,2788.01492,at_least_450,1.0
E01000141,0.0,0,0,0.9999999999866418,3.1690043363802415e-10,13337.33686,at_least_450,1.0
E01000143,0.0,0,0,0.9444567515230516,0.19526841958964064,892.29094,at_least_450,1.0
E01000144,0.0,0,0,0.9999999989371986,2.095680837570217e-08,1412.7100599999999,at_least_450,1.0
E01000146,0.0,0,0,1.0,6.943148626917657e-17,12464.71686,at_least_450,1.0
E01000150,0.0,0,0,0.9999998152878959,2.7749323290404223e-06,1173.64326,at_least_450,1.0
E01000151,0.0,0,0,1.0,3.651097178733147e-13,1243.1433299999999,at_least_450,1.0
E01000152,0.0,2,1,1.0,9.40733989772454e-15,163.56078,below_450,1.0
E01000154,0.0,0,0,0.9999999999988063,3.1715377958692554e-11,1383.21973,at_least_450,1.0
E01000156,0.0,0,0,0.9999999998595399,3.0279042423362866e-09,2350.38875,at_least_450,1.0
E01000159,0.0,2,1,1.0,1.0510364169825639e-21,68.4619,below_450,1.0
E01000160,0.0,2,1,0.7226486084984792,0.5374365438334803,748.78141,at_least_450,1.0
E01000161,0.0,0,0,0.9999999999411102,1.3158431100264018e-09,1132.46133,at_least_450,1.0
E01000162,0.0,0,0,0.9999999999834017,3.8996156596551355e-10,2737.34542,at_least_450,1.0
E01000164,0.0,0,0,0.9999999999561737,9.914477845428933e-10,3036.6691,at_least_450,1.0
E01000167,0.0,2,1,1.0,6.4582615181601536e-21,99.6601,below_450,1.0
E01000170,0.0,2,1,0.999997543197315,3.1121597708842255e-05,479.61152,at_least_450,1.0
E01000171,0.0,0,0,0.9999999558354499,7.21006182500967e-07,1963.27381,at_least_450,1.0
E01000172,0.0,2,1,0.9999999999945999,1.319820421609055e-10,138.08132,below_450,1.0
E01000173,0.0,2,1,0.9999999999998863,3.877104904488231e-12,128.67479,below_450,1.0
E01000174,0.0,0,0,0.9998719398746474,0.0011613343630838917,808.55397,at_least_450,1.0
E01000175,0.0,2,1,0.9999999999999432,9.39981042701665e-13,138.18180999999998,below_450,1.0
E01000176,0.0,2,1,0.9999999941090891,1.0697514059043448e-07,297.07122,below_450,1.0
E01000178,0.0,0,0,0.9999999998703402,2.8047621574106354e-09,460.39984,at_least_450,1.0
E01000180,0.0,1,2,1.0,4.9351228596477934e-92,81.14881,below_450,1.0
E01000181,0.0,0,0,0.999999110831877,1.2134333171118726e-05,422.30198,below_450,1.0
E01000182,0.0,0,0,0.9999999999999432,1.5505104468634778e-12,1786.49415,at_least_450,1.0
E01000183,0.0,0,0,0.9999999990419042,1.8982017983843416e-08,543.0269000000001,at_least_450,1.0
E01000184,0.0,2,1,0.9999874774693103,0.00014020809429966918,460.3043,at_least_450,1.0
E01000185,0.0,2,1,0.9999949031305565,6.242289594859219e-05,544.66455,at_least_450,1.0
E01000186,0.0,0,0,0.993439672715965,0.03596869997973918,665.03004,at_least_450,1.0
E01000187,0.0,2,1,1.0,3.99229501179678e-77,97.47479,below_450,1.0
E01000188,0.0,2,1,0.9999999999998295,5.1644445948322715e-12,774.62766,at_least_450,1.0
E01000189,0.0,2,1,1.0,4.144257348134594e-18,108.61426999999999,below_450,1.0
E01000191,0.0,2,1,0.999999894845365,1.63366295373578e-06,466.57572,at_least_450,1.0
E01000192,0.0,2,1,0.9999999999330953,1.4925133763248181e-09,308.11357,below_450,1.0
E01000193,0.0,0,0,0.9999999999980105,5.059583834310956e-11,14042.692790000001,at_least_450,1.0
E01000194,0.0,0,0,0.9999999999909619,2.172751131044582e-10,3120.1911,at_least_450,1.0
E01000196,0.0,0,0,0.9999999999999432,9.815727122038101e-13,3200.616,at_least_450,1.0
E01000197,0.0,1,2,0.9999987410653797,1.671369319713813e-05,373.81559,below_450,1.0
E01000198,0.0,2,1,0.9999999999994316,1.528290336101456e-11,343.29256,below_450,1.0
E01000199,0.0,2,1,1.0,3.1538272633312415e-18,75.95717,below_450,1.0
E01000200,0.0,2,1,0.9999999999889155,2.640269319729976e-10,374.78258,below_450,1.0
E01000201,0.0,2,1,0.9969203344371814,0.020583553353462465,550.2304,at_least_450,1.0
E01000202,0.0,0,0,0.999999523687279,6.744952542097821e-06,394.36934,below_450,1.0
E01000203,0.0,0,0,0.9999999999998863,3.352214367669936e-12,1789.07856,at_least_450,1.0
E01000205,0.0,1,2,0.9998676025406378,0.0012708399623175793,290.77562,below_450,1.0
E01000206,0.0,2,1,1.0,1.0997341859356061e-27,273.74607,below_450,1.0
E01000207,0.0,2,1,1.0,4.918238744683194e-25,68.37376,below_450,1.0
E01000208,0.0,0,0,0.9999999999886313,2.7142409160185035e-10,4891.97112,at_least_450,1.0
E01000209,0.0,2,1,1.0,9.152801642487544e-23,64.89417999999999,below_450,1.0
E01000210,0.0,0,0,0.9986860699216223,0.009130284513009894,1206.21446,at_least_450,1.0
E01000211,0.0,0,0,0.9999999999257625,1.643721029044093e-09,4185.06838,at_least_450,1.0
E01000213,0.0,2,1,1.0,2.666225760022223e-26,118.5148,below_450,1.0
E01000214,0.0,0,0,1.0,2.2201952142621123e-16,11681.54068,at_least_450,1.0
E01000215,0.0,0,0,0.9999999808276245,3.2793821968803227e-07,963.33649,at_least_450,1.0
E01000218,0.0,0,0,0.9999999999903935,2.3609117276774736e-10,1829.69961,at_least_450,1.0
E01000219,0.0,0,0,0.9999999958644707,7.643256621167392e-08,773.4444,at_least_450,1.0
E01000221,0.0,0,0,0.9999999997582449,5.092379349551801e-09,2097.4364,at_least_450,1.0
E01000222,0.0,0,0,0.9999999999951683,1.2178276102629447e-10,1186.48898,at_least_450,1.0
E01000223,0.0,0,0,1.0,2.1584143678530948e-14,5097.78309,at_least_450,1.0
E01000224,0.0,2,1,0.9999999848228641,2.6265745172575854e-07,157.5044,below_450,1.0
E01000226,0.0,2,1,0.9999999996896349,6.528751697062679e-09,533.4284299999999,at_least_450,1.0
E01000227,0.0,2,1,0.9999999999988063,3.21673737269916e-11,337.31252,below_450,1.0
E01000228,0.0,2,1,1.0,7.370057829811013e-14,191.21096,below_450,1.0
E01000229,0.0,1,2,0.9998530604472133,0.001314150785269054,519.14689,at_least_450,1.0
E01000230,0.0,2,1,1.0,6.044715697023429e-26,91.17793,below_450,1.0
E01000231,0.0,0,0,0.9999835384397566,0.00018002437719993736,887.19387,at_least_450,1.0
E01000232,0.0,2,1,0.9889059021299209,0.05549789512238546,460.37946999999997,at_least_450,1.0
E01000233,0.0,0,0,0.9401935577844102,0.20610966341598724,959.59432,at_least_450,1.0
E01000234,0.0,2,1,0.9999999997558575,5.250714475927853e-09,260.66019,below_450,1.0
E01000235,0.0,0,0,0.8971046887665803,0.3016518848948679,1040.9791,at_least_450,1.0
E01000236,0.0,0,0,0.9999999943623266,1.0376795940763698e-07,1114.73856,at_least_450,1.0
E01000237,0.0,0,0,1.0,3.422087234501558e-15,9514.11709,at_least_450,1.0
E01000238,0.0,2,1,1.0,2.8785555728588015e-15,91.90459,below_450,1.0
E01000239,0.0,0,0,0.9999999999998863,3.2341884466754273e-12,1621.63415,at_least_450,1.0
E01000240,0.0,0,0,0.9998973821980617,0.0009512961579471912,731.79626,at_least_450,1.0
E01000242,0.0,2,1,0.999999989725211,1.8139575864592563e-07,378.26628999999997,below_450,1.0
E01000243,0.0,0,0,0.9999998536054698,2.230267611852099e-06,2818.45495,at_least_450,1.0
E01000244,0.0,0,0,0.999912832359731,0.0008210165060122731,1702.46786,at_least_450,1.0
E01000246,0.0,2,1,1.0,6.268732910381123e-17,94.26856,below_450,1.0
E01000247,0.0,2,1,1.0,4.3238668067990166e-15,86.41253,below_450,1.0
E01000248,0.0,2,1,1.0,2.1845718795301434e-16,2227.50767,at_least_450,1.0
E01000250,0.0,0,0,0.9999999999901092,2.3758049842316636e-10,6880.9298,at_least_450,1.0
E01000251,0.0,0,0,0.9999970457460432,3.6927124017511566e-05,1704.96708,at_least_450,1.0
E01000252,0.0,2,1,1.0,3.741761738578116e-18,92.43814,below_450,1.0
