alpha,metric,eta2
0.0,log_total_activity,0.5222164550682468
0.0,direction_balance,0.026156592728155962
0.0,post_midnight_share,0.33351783228530785
0.0,deep_night_share,0.22610706839100475
0.0,post_midnight_persistence,0.29229380197642996
0.0,weekend_ratio,0.03012785242232384
5.0,log_total_activity,0.5179794118247818
5.0,direction_balance,0.03258290343770326
5.0,post_midnight_share,0.3483354687479773
5.0,deep_night_share,0.237742169370132
5.0,post_midnight_persistence,0.31075115917763907
5.0,weekend_ratio,0.03300441684608322
20.0,log_total_activity,0.48005807147671853
20.0,direction_balance,0.03795549456105796
20.0,post_midnight_share,0.3420055289530538
20.0,deep_night_share,0.22585778362785816
20.0,post_midnight_persistence,0.31716809581574124
20.0,weekend_ratio,0.05390273446351604
50.0,log_total_activity,0.27623139658827844
50.0,direction_balance,0.027510463671425223
50.0,post_midnight_share,0.39945708828866144
50.0,deep_night_share,0.26713281056103005
50.0,post_midnight_persistence,0.3709635469521375
50.0,weekend_ratio,0.059837894470712395
100.0,log_total_activity,0.07534755074621864
100.0,direction_balance,0.03335499653605423
100.0,post_midnight_share,0.4434619970121476
100.0,deep_night_share,0.35142682078863463
100.0,post_midnight_persistence,0.41306922884894276
100.0,weekend_ratio,0.0569513232166375
200.0,log_total_activity,0.08642206930406715
200.0,direction_balance,0.043841535592720506
200.0,post_midnight_share,0.4276230128024498
200.0,deep_night_share,0.36774200961389475
200.0,post_midnight_persistence,0.40399448578948727
200.0,weekend_ratio,0.0531822232564932
