K,replicate,ARI,mean_matched_cluster_jaccard,min_matched_cluster_jaccard,converged
2,1,0.8955225048143683,0.9171491516306051,0.8498168498168498,True
2,2,0.7459851093688783,0.8139384750588732,0.6677115987460815,True
2,3,0.7861392379917423,0.8394947097037689,0.7108843537414966,True
2,4,0.4419713640126954,0.6399256017152715,0.3847826086956522,True
2,5,0.900275317172043,0.9203111047097796,0.8549618320610687,True
2,6,0.9081024422545909,0.9258727228834005,0.8645418326693227,True
2,7,0.762204357303451,0.8222068952498072,0.677536231884058,True
2,8,0.9312685756383374,0.9441046740057082,0.8980392156862745,True
2,9,0.8118647036541892,0.8542002478904887,0.7325102880658436,True
2,10,0.7436890659444974,0.8120457298606905,0.6634615384615384,True
2,11,0.8852075266684031,0.9079657043936817,0.831275720164609,True
2,12,0.8237070693154395,0.8652945113788487,0.7569444444444444,True
2,13,0.8721157552544091,0.8986689163854518,0.8149606299212598,True
2,14,0.9041770353129206,0.9234567988970536,0.8609022556390977,True
2,15,0.8564084508694974,0.8885304463399273,0.7985865724381626,True
2,16,0.9312685756383374,0.9441046740057082,0.8980392156862745,True
2,17,0.6243990426532959,0.7400295882220447,0.5424657534246575,True
2,18,-0.0024907861371441433,0.4572025052192067,0.0,True
2,19,0.6895501062268946,0.774971470404582,0.5912408759124088,True
2,20,0.8372095977651391,0.8727253404224427,0.7670682730923695,True
3,1,0.2090232212906449,0.4826238318419424,0.09064748201438849,True
3,2,0.2403649340863898,0.5478047717469788,0.25905511811023624,True
3,3,0.52923333546778,0.7579933950348522,0.6806784660766961,True
3,4,0.45071453063036593,0.6644152311963377,0.6266061980347695,True
3,5,0.405392383545001,0.5515304822465702,0.33410138248847926,True
3,6,0.39974918114583696,0.6863239092010506,0.5277127244340359,True
3,7,0.19794305412983243,0.47782238995804255,0.09077912794853467,True
3,8,0.3344912717469236,0.6186319682564382,0.4578783151326053,True
3,9,0.4881396726526475,0.7393594825766864,0.6447166921898928,True
3,10,0.1881190523304854,0.4430877413010689,0.04878048780487805,True
3,11,0.30938801220962014,0.6150630064166742,0.4422187981510015,True
3,12,0.22707304949944151,0.48180126951238683,0.05183585313174946,True
3,13,0.18745321669536277,0.3876396863235299,0.13075060532687652,True
3,14,0.43258086029567916,0.7152477296042988,0.6361717100633357,True
3,15,0.5888375223039118,0.7600182459495873,0.7065548780487805,True
3,16,0.18731166713361158,0.4385125487781385,0.005439005439005439,True
3,17,0.5402360441358561,0.7320112056368454,0.663109756097561,True
3,18,0.21139024569897186,0.45257142056257743,0.22877358490566038,True
3,19,0.2949198649972763,0.6349868332284236,0.3847926267281106,True
3,20,0.18283511444652145,0.4406581489415218,0.050468637346791634,True
4,1,0.1986469068025801,0.3834411211373719,0.008951406649616368,True
4,2,0.38442657087808674,0.4996571494810429,0.0,True
4,3,0.3248194402035575,0.40809996823904604,0.013477088948787063,True
4,4,0.7697881404742886,0.7564150239538503,0.6238532110091743,True
4,5,0.3573062738369814,0.539371177954993,0.06153846153846154,True
4,6,0.4459854430069043,0.4620533239528274,0.020100502512562814,True
4,7,0.6177278661786386,0.6530954531995504,0.32748538011695905,True
4,8,0.35183428028078156,0.5293730074032597,0.014767932489451477,True
4,9,0.42870182270359053,0.5719125211734442,0.034990791896869246,True
