K,cluster,metric,value
3,0,log_total_activity,8.310613267693615
3,0,log_total_activity,8.29008348027808
3,0,log_total_activity,8.935883756342157
3,0,log_total_activity,5.819206582079668
3,0,log_total_activity,6.367210362930097
3,0,log_total_activity,6.099013414077495
3,0,log_total_activity,6.261936871470079
3,0,log_total_activity,8.097735477820128
3,0,log_total_activity,7.867719105126246
3,0,log_total_activity,6.707507336369629
3,0,log_total_activity,7.703582284858022
3,0,log_total_activity,6.797744266507327
3,0,log_total_activity,8.100023367601363
3,0,log_total_activity,8.128566315240422
3,0,log_total_activity,5.965788290273194
3,0,log_total_activity,6.512457379197621
3,0,log_total_activity,6.258243207622417
3,0,log_total_activity,7.733843343475661
3,0,log_total_activity,8.357454968638072
3,0,log_total_activity,7.840920472905033
3,0,log_total_activity,8.169640957304702
3,0,log_total_activity,8.207226550839696
3,0,log_total_activity,7.079358591736384
3,0,log_total_activity,8.160767447853084
3,0,log_total_activity,8.899571427475703
3,0,log_total_activity,8.079143610799264
3,0,log_total_activity,7.409060426494232
3,0,log_total_activity,8.087287834771216
3,0,log_total_activity,9.152005786835518
3,0,log_total_activity,6.597274179308381
3,0,log_total_activity,8.173272217302404
3,0,log_total_activity,8.294824507314873
3,0,log_total_activity,6.359663432135499
3,0,log_total_activity,6.156385589221769
3,0,log_total_activity,5.8411457454159486
3,0,log_total_activity,7.353831344943885
3,0,log_total_activity,6.843105626336355
3,0,log_total_activity,7.457742598775317
3,0,log_total_activity,7.59220988333382
3,0,log_total_activity,8.602653061274227
3,0,log_total_activity,7.258295277568737
3,0,log_total_activity,5.677768150656665
3,0,log_total_activity,6.489222879492515
3,0,log_total_activity,6.941418152843202
3,0,log_total_activity,6.022936978358081
3,0,log_total_activity,7.398513551575674
3,0,log_total_activity,7.244107586983629
3,0,log_total_activity,7.976273503114729
3,0,log_total_activity,9.183967147748875
3,0,log_total_activity,6.510125147129494
3,0,log_total_activity,5.919821837541948
3,0,log_total_activity,6.578045596658999
3,0,log_total_activity,7.386084597044772
3,0,log_total_activity,8.280295144229832
3,0,log_total_activity,6.981091350440013
3,0,log_total_activity,8.027262222650076
3,0,log_total_activity,5.845884864452132
3,0,log_total_activity,8.125147341953138
3,0,log_total_activity,5.705066117101273
3,0,log_total_activity,8.204900870515399
3,0,log_total_activity,7.123949717040781
3,0,log_total_activity,7.777220992522328
3,0,log_total_activity,7.7130875849836755
3,0,log_total_activity,10.130024572716348
3,0,log_total_activity,8.207831533844502
3,0,log_total_activity,8.741097579620641
3,0,log_total_activity,9.11380177297385
3,0,log_total_activity,5.795429711644795
3,0,log_total_activity,6.228145749517309
3,0,log_total_activity,5.561633331850743
3,0,log_total_activity,5.969715798345277
3,0,log_total_activity,7.041303775210392
3,0,log_total_activity,6.010700469739756
3,0,log_total_activity,6.944789304999873
3,0,log_total_activity,6.025100874448132
3,0,log_total_activity,7.600515969864568
3,0,log_total_activity,6.6035751523131525
3,0,log_total_activity,5.886606766168988
3,0,log_total_activity,8.864276560315238
3,0,log_total_activity,5.799714733656407
3,0,log_total_activity,6.116915883824293
3,0,log_total_activity,5.5725410675360765
3,0,log_total_activity,6.497170176041379
3,0,log_total_activity,6.148701132057072
3,0,log_total_activity,7.074682981043974
3,0,log_total_activity,6.704163955969837
3,0,log_total_activity,6.793983319443627
3,0,log_total_activity,6.662220619894858
3,0,log_total_activity,5.853830722433162
3,0,log_total_activity,6.417229315833543
3,0,log_total_activity,7.653140933356793
3,0,log_total_activity,6.799357277052367
3,0,log_total_activity,6.8867479112775705
3,0,log_total_activity,5.582938860203025
3,0,log_total_activity,6.460800500382716
3,0,log_total_activity,6.101849215546945
3,0,log_total_activity,8.44603020407313
3,0,log_total_activity,6.057294562033309
3,0,log_total_activity,5.858297830838096
3,0,log_total_activity,7.208010778563939
3,0,log_total_activity,7.087502433176888
3,0,log_total_activity,7.570847495082419
3,0,log_total_activity,6.098256714962568
3,0,log_total_activity,5.726335140656678
3,0,log_total_activity,7.64862991638091
3,0,log_total_activity,7.749705934229949
3,0,log_total_activity,6.455714373683318
3,0,log_total_activity,6.940027067648601
3,0,log_total_activity,6.791951117811473
3,0,log_total_activity,5.973484724493475
3,0,log_total_activity,7.442946404282535
3,0,log_total_activity,5.579508858178408
3,0,log_total_activity,7.5822064635036
3,0,log_total_activity,5.586864989303056
3,0,log_total_activity,6.51896020554482
3,0,log_total_activity,5.699390108992874
3,0,log_total_activity,7.155165931881945
3,0,log_total_activity,6.686375995431897
3,0,log_total_activity,6.15423205945648
3,0,log_total_activity,6.229658944060853
3,0,log_total_activity,6.6510757427852525
3,0,log_total_activity,6.59348224655156
3,0,log_total_activity,6.279879938115974
3,0,log_total_activity,5.670908636081763
3,0,log_total_activity,6.867380194999156
3,0,log_total_activity,5.549088341629444
3,0,log_total_activity,9.048004960931983
3,0,log_total_activity,5.842263916380805
3,0,log_total_activity,5.797970388592063
3,0,log_total_activity,8.609570427068999
3,0,log_total_activity,6.732748750015241
3,0,log_total_activity,6.275641559005608
3,0,log_total_activity,5.771997728321213
3,0,log_total_activity,7.835268451047048
3,0,log_total_activity,7.360198147943865
3,0,log_total_activity,7.178929582375873
3,0,log_total_activity,6.926675409149111
3,0,log_total_activity,6.577438472768434
3,0,log_total_activity,5.820588292249768
3,0,log_total_activity,5.937955879539762
3,0,log_total_activity,7.117333953957172
3,0,log_total_activity,5.554771160082278
3,0,log_total_activity,6.253135763781013
3,0,log_total_activity,6.317298432315582
3,0,log_total_activity,7.102586668835181
3,0,log_total_activity,8.404082840992439
3,0,log_total_activity,7.524403777301604
3,0,log_total_activity,8.592520005337603
3,0,log_total_activity,5.753355411744037
3,0,log_total_activity,7.381678902501138
3,0,log_total_activity,7.560474137522639
3,0,log_total_activity,6.966206510106906
3,0,log_total_activity,7.856407301872642
3,0,log_total_activity,5.738207540385595
3,0,log_total_activity,7.253431478884614
3,0,log_total_activity,8.509009627211318
3,0,log_total_activity,6.678445027597607
3,0,log_total_activity,6.159137818881392
3,0,log_total_activity,7.198551729220923
3,0,log_total_activity,7.534177817248664
3,0,log_total_activity,6.662468273523078
3,0,log_total_activity,6.126816977511269
3,0,log_total_activity,7.094142559508819
3,0,log_total_activity,7.100821323150671
3,0,log_total_activity,6.475828632155896
3,0,log_total_activity,6.869004190737813
3,0,log_total_activity,7.916777202473079
3,0,log_total_activity,6.471773734947624
3,0,log_total_activity,7.618375674883243
3,0,log_total_activity,6.798694849298409
3,0,log_total_activity,7.13233600506577
3,0,log_total_activity,7.295526387475347
3,0,log_total_activity,7.52927582094778
3,0,log_total_activity,5.836511074295315
3,0,log_total_activity,5.988273285444877
3,0,log_total_activity,6.600927708877191
3,0,log_total_activity,7.770464331691368
3,0,log_total_activity,7.628028041767425
3,0,log_total_activity,7.483797373400985
3,0,log_total_activity,7.320129742425133
3,0,log_total_activity,8.542264155837161
3,0,log_total_activity,6.138329075858515
3,0,log_total_activity,8.396962284165326
3,0,log_total_activity,7.663230007027769
3,0,log_total_activity,8.374539955276687
3,0,log_total_activity,7.661683008024852
3,0,log_total_activity,8.376242238948656
3,0,log_total_activity,8.235994491079946
3,0,log_total_activity,8.103626420285051
3,0,log_total_activity,7.964217378970511
3,0,log_total_activity,7.425167195425924
3,0,log_total_activity,6.182588436948797
3,0,log_total_activity,6.489162985156836
3,0,log_total_activity,6.221239303303568
3,0,log_total_activity,5.933096814100988
3,0,log_total_activity,6.133371491668027
3,0,log_total_activity,6.878148800604103
3,0,log_total_activity,5.971170993827358
3,0,log_total_activity,6.198099233928802
3,0,log_total_activity,6.107738934215102
3,0,log_total_activity,8.324378102389955
3,0,log_total_activity,9.04498801564259
3,0,log_total_activity,5.793663671437609
3,0,log_total_activity,6.584486774171094
3,0,log_total_activity,5.905417432340798
3,0,log_total_activity,8.012536537036942
3,0,log_total_activity,6.292627875196195
3,0,log_total_activity,6.519749672841856
3,0,log_total_activity,6.176780698956425
3,0,log_total_activity,5.847048126937406
3,0,log_total_activity,6.486296450473355
3,0,log_total_activity,7.643295769299692
3,0,log_total_activity,7.395104211176088
3,0,log_total_activity,6.535399603906502
3,0,log_total_activity,7.171930940340789
