lsoa,tot_boardings,tot_alightings,total_activity
E01000001,1758.4607000000003,1020.9520899999998,2779.4127900000003
E01000002,70.5077,33.81272999999999,104.32042999999999
E01000005,6037.079900000001,6339.445189999994,12376.525089999996
E01000007,6818.94962,3332.3910600000004,10151.340680000001
E01000009,5646.86252,6592.52744,12239.38996
E01000011,357.0109200000001,299.49601000000007,656.5069300000002
E01000012,442.27802000000014,1057.3491800000008,1499.627200000001
E01000013,2831.4790799999982,1846.4675300000004,4677.946609999999
E01000015,1.53776,0.27312,1.81088
E01000016,53.64112,51.256540000000015,104.89766000000002
E01000017,458.01815999999974,795.5856699999996,1253.6038299999993
E01000018,81.00078999999998,159.03667000000007,240.03746000000007
E01000019,101.21997999999996,123.19039000000001,224.41036999999997
E01000020,142.02174999999997,197.0928,339.11455
E01000021,245.19330999999994,321.03115999999994,566.2244699999999
E01000024,770.1963699999998,947.3976099999995,1717.5939799999992
E01000027,665.6386999999997,1138.6441699999996,1804.2828699999993
E01000029,198.91890000000004,561.45957,760.37847
E01000030,185.90715,507.4355999999999,693.3427499999999
E01000031,123.81173000000003,195.08392999999995,318.89565999999996
E01000032,312.73893999999996,292.74388000000016,605.4828200000002
E01000034,341.27966,564.0429499999997,905.3226099999997
E01000035,673.5040499999997,862.7862100000002,1536.2902599999998
E01000036,684.0569800000002,651.9873699999997,1336.04435
E01000038,115.39763999999995,157.19673999999998,272.59437999999994
E01000039,19.08328,9.386189999999997,28.469469999999994
E01000040,320.51045999999985,583.1026700000002,903.6131300000001
E01000041,142.67898000000008,310.59245,453.27143000000007
E01000042,109.27727999999999,226.58273000000005,335.86001000000005
E01000043,106.90783,124.16199999999995,231.06982999999997
E01000045,596.7666199999998,695.4855299999997,1292.2521499999993
E01000049,85.92236000000001,33.42150000000002,119.34386000000003
E01000050,1100.5422699999997,1390.4585799999988,2491.0008499999985
E01000052,417.9275400000002,766.7060300000002,1184.6335700000004
E01000053,324.4987700000001,328.22389999999996,652.7226700000001
E01000056,28.35733,20.732470000000003,49.089800000000004
E01000057,146.02134,150.86283999999995,296.88417999999996
E01000058,128.30739000000005,194.45854999999997,322.76594
E01000060,2080.17794,2537.53328,4617.71122
E01000061,694.1216399999998,865.7121200000001,1559.83376
E01000062,20.405779999999993,129.91798,150.32376
E01000063,196.28463999999994,77.03620999999991,273.32084999999984
E01000064,355.07109000000014,477.7462200000002,832.8173100000004
E01000065,170.91303000000002,316.98558000000014,487.8986100000002
E01000067,506.69378999999975,296.99596999999994,803.6897599999998
E01000068,174.00425,183.51045000000008,357.51470000000006
E01000069,16.977889999999995,75.00175999999999,91.97964999999999
E01000070,910.6979399999997,1131.8665999999994,2042.564539999999
E01000071,146.40991000000005,98.53572000000004,244.9456300000001
E01000072,214.85956999999996,369.7438899999998,584.6034599999998
E01000073,82.35878,91.17311,173.53188999999998
E01000074,108.64101999999997,135.14222000000004,243.78324
E01000075,1273.71381,1165.8152800000003,2439.52909
E01000076,36.252080000000014,48.686749999999996,84.93883000000001
E01000077,841.8157499999995,696.62289,1538.4386399999994
E01000078,403.23106,532.9318999999999,936.1629599999999
E01000079,112.54366999999999,156.14586999999995,268.68953999999997
E01000080,84.31013,95.50476999999992,179.8148999999999
E01000081,216.43373999999983,98.23765000000004,314.67138999999986
E01000082,439.01716999999996,1336.406609999999,1775.4237799999992
E01000083,752.89062,2077.05878,2829.9494
E01000084,349.9520900000003,454.0500299999998,804.0021200000001
E01000085,353.76699999999994,320.53016999999994,674.2971699999998
E01000086,150.49876000000003,52.85881999999999,203.35758
E01000087,1557.8161899999986,2616.2471300000016,4174.06332
E01000088,140.41693,195.48489000000004,335.90182000000004
E01000090,288.59566,589.4365500000001,878.0322100000001
E01000091,392.55573000000004,1536.5412600000006,1929.0969900000007
E01000093,692.94109,1108.3411299999996,1801.2822199999996
E01000094,818.3669400000003,1155.6315400000003,1973.9984800000007
E01000095,1255.1042900000002,1108.1728399999993,2363.2771299999995
E01000096,319.60002,361.4361400000001,681.0361600000001
E01000097,197.67426000000012,348.3768299999999,546.05109
E01000098,130.27283000000003,212.95808000000008,343.2309100000001
E01000099,406.15745999999996,558.3238900000001,964.48135
E01000101,294.72005,46.08366000000001,340.80371
E01000102,187.10222000000007,278.4773200000001,465.5795400000002
E01000103,31.06518,41.74059999999999,72.80578
E01000104,398.9844800000002,743.4503000000003,1142.4347800000005
E01000105,1947.6116,1572.1806500000007,3519.7922500000004
E01000106,96.29505000000002,272.1887900000001,368.4838400000001
E01000108,58.51998999999998,25.306710000000002,83.82669999999999
E01000110,161.53091999999998,293.30617000000007,454.83709000000005
E01000111,514.0217099999999,576.7078100000001,1090.7295199999999
E01000112,1245.4460700000002,1119.3040699999995,2364.7501399999996
E01000113,1025.4050500000003,734.9658599999999,1760.37091
E01000114,503.0876199999999,1623.9835499999997,2127.0711699999997
E01000115,26.53885,28.70404,55.24289
E01000116,7.404159999999999,10.415659999999997,17.819819999999996
E01000117,95.08474000000001,212.69072,307.77546
E01000118,344.80334999999997,650.0513400000001,994.8546900000001
E01000120,200.16837000000004,185.75739,385.92576
E01000121,49.83585000000001,109.15750000000001,158.99335000000002
E01000123,44.033429999999996,131.08898000000002,175.12241
E01000124,180.92041999999998,310.84418,491.7646
E01000126,238.77315000000004,441.4018300000001,680.1749800000001
E01000127,145.82301999999993,258.13806000000005,403.96108
E01000128,52.23262999999999,119.19556000000006,171.42819000000006
E01000129,3575.122139999999,3009.09529,6584.217429999999
E01000130,349.0963599999997,710.3590399999998,1059.4553999999996
E01000131,143.01898,159.58905999999996,302.60803999999996
E01000133,176.38970999999995,504.24625000000003,680.63596
E01000134,148.39773999999997,237.06637,385.46411
E01000135,162.39931999999993,182.79707999999997,345.1963999999999
E01000136,303.71614,292.4924000000001,596.2085400000001
E01000137,53.74449,110.93946000000001,164.68395
E01000138,208.20832999999988,551.6263800000002,759.8347100000001
E01000139,1204.563399999999,2016.6559200000006,3221.2193199999997
E01000140,782.82181,1610.9134200000003,2393.7352300000002
E01000141,4507.043019999999,5243.435750000001,9750.47877
E01000143,177.59067999999996,270.94907,448.53974999999997
E01000144,2931.6866400000013,1037.314070000001,3969.000710000002
E01000145,189.75867999999994,256.58638000000013,446.3450600000001
E01000146,7469.173860000001,6113.095779999999,13582.269639999999
E01000147,17.510080000000006,30.707889999999992,48.217969999999994
E01000150,179.21315,324.78534999999994,503.9984999999999
E01000151,433.4680799999999,745.5173600000002,1178.98544
E01000152,64.7665,125.79095999999997,190.55745999999996
E01000153,2.6426200000000004,9.062299999999997,11.704919999999998
E01000154,579.2413700000005,798.18569,1377.4270600000004
E01000156,700.42458,1699.5918799999995,2400.0164599999994
E01000158,74.74936999999998,287.68024,362.42961
E01000159,34.706140000000005,34.69549000000001,69.40163000000001
E01000160,350.24671000000006,400.82989999999995,751.0766100000001
E01000161,575.08916,902.1484200000001,1477.23758
E01000162,931.96417,1487.4994099999994,2419.4635799999996
E01000164,1095.8785800000005,1965.9748099999997,3061.85339
E01000166,25.83005,3.1504799999999986,28.980529999999998
E01000167,33.95316,67.65098,101.60414
E01000168,0.05513,7.649279999999999,7.704409999999999
E01000169,1.1018299999999999,27.275840000000002,28.377670000000002
E01000170,65.42478999999999,253.13741000000005,318.5622
E01000171,919.5086700000003,1043.3821499999995,1962.8908199999996
E01000172,62.65483,109.44529999999999,172.10012999999998
E01000173,59.10667,35.88142,94.98809
E01000174,419.8130699999999,541.4875599999998,961.3006299999997
E01000175,34.23305,75.51953000000002,109.75258000000002
E01000176,94.40735000000002,201.69067,296.09802
E01000178,232.81337,228.90047999999996,461.71385
E01000180,37.39004999999999,43.21311000000002,80.60316
E01000181,215.85290000000003,212.85041999999987,428.7033199999999
E01000182,1361.9371700000002,1150.7847100000013,2512.7218800000014
E01000183,168.62448000000006,165.82640000000006,334.4508800000001
E01000184,235.90066999999996,712.0507400000004,947.9514100000004
E01000185,91.43066000000005,50.10093,141.53159000000005
E01000186,140.06339000000003,260.9935099999999,401.0568999999999
E01000187,67.77842000000003,223.17471999999995,290.95313999999996
E01000188,85.96361000000002,683.2831900000003,769.2468000000003
E01000189,143.86622999999997,62.128260000000026,205.99448999999998
E01000190,61.18555000000002,22.581289999999996,83.76684000000002
E01000191,202.6929000000001,257.71628000000004,460.4091800000001
E01000192,147.27774000000005,160.91370999999998,308.19145000000003
E01000193,5758.8553699999975,6665.44895,12424.304319999997
E01000194,3654.7499999999977,1756.5867400000009,5411.336739999999
E01000195,117.48980000000002,0.0,117.48980000000002
E01000196,1490.7534000000003,1697.432330000001,3188.185730000001
E01000197,160.90315,212.92812000000006,373.8312700000001
E01000198,131.99272999999997,216.31180000000003,348.30453
E01000199,32.32988,43.922010000000014,76.25189000000002
E01000200,142.55187999999998,232.33108000000001,374.88296
E01000201,123.16624000000002,299.65362999999996,422.81987
E01000202,165.75390999999996,225.96559000000013,391.7195000000001
E01000203,762.5005500000002,926.7922000000002,1689.2927500000005
E01000204,69.15666999999999,30.044910000000005,99.20157999999999
E01000205,82.78760000000003,213.2167399999999,296.00433999999996
E01000206,200.24850999999992,160.56900000000005,360.81750999999997
E01000207,29.133709999999994,40.22166,69.35537
E01000208,2761.96962,1461.2784699999997,4223.248089999999
E01000209,22.910699999999995,44.094030000000004,67.00473
E01000210,518.3325799999999,730.5071300000002,1248.8397100000002
E01000211,1856.0565999999988,2728.207619999998,4584.264219999996
E01000212,131.84311000000002,101.28941999999996,233.13252999999997
E01000213,50.276680000000006,57.59445999999999,107.87114
E01000214,2791.0252799999994,5161.339339999999,7952.3646199999985
E01000215,317.65596000000005,428.4070800000001,746.0630400000002
E01000218,694.37913,744.4032900000002,1438.7824200000002
E01000219,274.69702999999987,384.0673800000001,658.76441
E01000221,945.6862300000004,987.9257500000004,1933.6119800000008
E01000222,536.3257499999999,1079.2283799999996,1615.5541299999995
E01000223,1237.67632,1859.4643999999996,3097.1407199999994
E01000224,299.0942199999999,164.69165999999993,463.7858799999998
E01000225,22.19221000000001,13.433019999999996,35.62523
E01000226,51.43112000000001,291.56824000000006,342.9993600000001
E01000227,100.65168999999999,72.11183999999994,172.76352999999995
E01000228,89.96722000000003,116.82181999999997,206.78904
E01000229,160.68281000000002,349.2416600000002,509.9244700000002
E01000230,149.46585999999996,152.33859,301.80445
E01000231,150.59250999999995,308.54634,459.13884999999993
E01000232,179.38644,266.31601,445.70245
E01000233,389.23605000000003,585.4339199999997,974.6699699999997
E01000234,90.34598000000004,170.41316999999998,260.75915000000003
E01000235,348.2734899999998,683.3061900000004,1031.5796800000003
E01000236,345.23965000000015,405.3171600000001,750.5568100000003
E01000237,773.3687400000003,1077.6182700000006,1850.987010000001
E01000238,33.06336,56.738959999999985,89.80231999999998
E01000239,553.1657799999998,1320.0200699999996,1873.1858499999994
E01000240,228.85470999999995,501.7971799999999,730.6518899999999
E01000242,154.09645999999995,228.26945000000006,382.36591
E01000243,951.2377899999998,1286.8820900000005,2238.11988
E01000244,1075.37048,1120.5924499999996,2195.9629299999997
E01000245,449.37913000000003,592.0358600000001,1041.4149900000002
E01000246,409.23464000000007,261.0937499999998,670.3283899999999
E01000247,25.36119,58.061690000000006,83.42288
E01000248,1124.7639,835.5697100000001,1960.3336100000001
E01000249,26.569209999999995,20.026479999999996,46.59568999999999
E01000250,2879.5355700000005,2482.7457299999996,5362.281300000001
E01000251,725.4873100000001,981.4184099999995,1706.9057199999997
E01000252,40.46511000000001,52.57004999999998,93.03515999999999
E01000253,96.41976,89.25458,185.67434
E01000255,251.42130000000003,316.8481600000001,568.2694600000002
E01000256,180.50818999999998,355.15003000000013,535.6582200000001
E01000257,1075.9112899999996,1060.0433599999997,2135.954649999999
E01000258,109.76518999999998,190.93438000000012,300.6995700000001
E01000259,89.56501,135.62709000000004,225.19210000000004
E01000260,260.03391,625.3170999999999,885.3510099999999
E01000261,217.77630999999997,169.06313000000006,386.83944
E01000263,232.00545,345.23673,577.24218
E01000264,2531.8506199999997,2601.9998999999993,5133.850519999999
E01000265,283.84301999999974,553.3675700000002,837.2105899999999
E01000266,49.104790000000015,53.31475999999997,102.41954999999999
E01000267,34.00523,38.96268999999999,72.96791999999999
E01000268,1022.3244800000002,1379.9366600000003,2402.2611400000005
E01000269,74.82227,252.15285000000011,326.9751200000001
E01000270,30.74423,79.07323999999996,109.81746999999996
E01000271,230.23630000000009,333.41814999999997,563.65445
E01000272,9.37276,9.21763,18.59039
E01000273,1589.3464499999995,1335.9081400000005,2925.25459
E01000274,319.89599999999996,681.2702400000004,1001.1662400000004
E01000275,13.050479999999999,13.035479999999996,26.085959999999993
E01000276,19.3706,20.056359999999998,39.426959999999994
E01000277,41.75666,19.70144,61.4581
E01000278,172.56284,230.63036999999997,403.19320999999997
E01000279,76.61209000000004,73.83372999999996,150.44582
E01000280,42.668479999999995,26.149929999999998,68.81841
E01000281,855.0328199999999,1189.4717600000006,2044.5045800000005
E01000282,617.5108200000001,335.07106,952.5818800000001
E01000283,33.178599999999996,36.271939999999994,69.45053999999999
E01000284,251.74367000000012,291.92515999999995,543.6688300000001
E01000285,47.88652999999998,295.59567999999996,343.48220999999995
E01000286,195.74357999999995,41.21112000000001,236.95469999999995
E01000287,70.50768,310.90024,381.40792
E01000288,155.86533000000006,326.58351999999996,482.44885
E01000289,54.19781999999999,100.78736999999997,154.98518999999996
