unit,reference_cluster,seed_assignment_stability,bootstrap_assignment_stability
E01000001,2,1.0,1.0
E01000002,2,1.0,1.0
E01000005,2,1.0,1.0
E01000007,2,1.0,1.0
E01000009,2,1.0,1.0
E01000011,2,1.0,1.0
E01000012,2,1.0,1.0
E01000013,2,1.0,1.0
E01000015,0,1.0,0.4
E01000016,2,0.5,0.1
E01000017,2,0.5,0.2
E01000018,2,1.0,1.0
E01000019,2,0.5,0.2
E01000020,2,1.0,1.0
E01000021,2,1.0,1.0
E01000024,2,1.0,1.0
E01000027,2,1.0,1.0
E01000029,2,0.5,0.2
E01000030,2,0.5,0.2
E01000031,2,1.0,1.0
E01000032,2,1.0,1.0
E01000034,2,0.5,0.2
E01000035,2,1.0,1.0
E01000036,2,1.0,1.0
E01000038,2,0.5,0.3
E01000039,2,1.0,1.0
E01000040,2,1.0,1.0
E01000041,2,0.5,0.5
E01000042,2,1.0,1.0
E01000043,2,1.0,1.0
E01000045,2,0.5,0.6
E01000049,2,1.0,1.0
E01000050,2,1.0,1.0
E01000052,2,1.0,0.7
E01000053,2,1.0,1.0
E01000056,2,1.0,0.9
E01000057,2,1.0,1.0
E01000058,2,0.5,0.4
E01000060,2,1.0,1.0
E01000061,2,1.0,1.0
E01000062,2,0.5,0.5
E01000063,2,0.5,0.2
E01000064,2,0.5,0.4
E01000065,2,0.5,0.1
E01000067,2,1.0,1.0
E01000068,2,1.0,1.0
E01000069,2,1.0,0.9
E01000070,2,1.0,1.0
E01000071,2,1.0,1.0
E01000072,2,0.5,0.3
E01000073,2,0.5,0.4
E01000074,2,0.5,0.6
E01000075,2,1.0,1.0
E01000076,2,1.0,1.0
E01000077,2,1.0,1.0
E01000078,2,1.0,1.0
E01000079,2,1.0,1.0
E01000080,2,0.5,0.3
E01000081,2,0.5,0.3
E01000082,2,1.0,0.9
E01000083,2,1.0,1.0
E01000084,2,1.0,1.0
E01000085,2,1.0,1.0
E01000086,2,1.0,1.0
E01000087,2,1.0,1.0
E01000088,2,0.5,0.2
E01000090,2,0.5,0.1
E01000091,2,1.0,0.9
E01000093,2,1.0,1.0
E01000094,2,1.0,1.0
E01000095,2,1.0,1.0
E01000096,2,1.0,1.0
E01000097,2,1.0,1.0
E01000098,2,1.0,1.0
E01000099,2,1.0,1.0
E01000101,2,1.0,1.0
E01000102,2,0.5,0.5
E01000103,2,1.0,1.0
E01000104,2,1.0,1.0
E01000105,2,1.0,1.0
E01000106,2,1.0,1.0
E01000108,2,1.0,1.0
E01000110,2,1.0,0.9
E01000111,2,1.0,1.0
E01000112,2,1.0,1.0
E01000113,2,1.0,1.0
E01000114,2,1.0,1.0
E01000115,2,1.0,1.0
E01000116,2,1.0,1.0
E01000117,2,1.0,1.0
E01000118,2,1.0,1.0
E01000120,2,1.0,1.0
E01000121,2,1.0,1.0
E01000123,2,1.0,1.0
E01000124,2,1.0,1.0
E01000126,2,1.0,1.0
E01000127,2,1.0,0.9
E01000128,2,0.5,0.3
E01000129,2,1.0,1.0
E01000130,2,1.0,1.0
E01000131,2,1.0,0.9
E01000133,2,1.0,1.0
E01000134,2,0.5,0.3
E01000135,2,1.0,1.0
E01000136,2,1.0,1.0
E01000137,2,1.0,0.9
E01000138,2,1.0,1.0
E01000139,2,1.0,1.0
E01000140,2,1.0,1.0
E01000141,2,1.0,1.0
E01000143,2,1.0,1.0
E01000144,2,1.0,1.0
E01000145,2,1.0,1.0
E01000146,2,1.0,1.0
E01000147,2,1.0,1.0
E01000150,4,0.5,0.3
E01000151,2,1.0,1.0
E01000152,2,1.0,1.0
E01000153,1,1.0,0.5
E01000154,2,1.0,1.0
E01000156,2,1.0,1.0
E01000158,2,1.0,1.0
E01000159,2,1.0,1.0
E01000160,2,1.0,1.0
E01000161,2,1.0,1.0
E01000162,2,1.0,1.0
E01000164,2,1.0,1.0
E01000166,1,1.0,0.6
E01000167,2,1.0,1.0
E01000168,1,0.8333333333333334,0.3
E01000169,2,1.0,0.9
E01000170,2,1.0,1.0
E01000171,2,1.0,1.0
E01000172,2,1.0,1.0
E01000173,2,1.0,1.0
E01000174,2,1.0,1.0
E01000175,2,1.0,0.9
E01000176,2,1.0,1.0
E01000178,2,1.0,1.0
E01000180,2,1.0,1.0
E01000181,2,1.0,1.0
E01000182,2,1.0,1.0
E01000183,2,1.0,1.0
E01000184,2,1.0,1.0
E01000185,2,1.0,1.0
E01000186,2,1.0,1.0
E01000187,2,1.0,1.0
E01000188,2,1.0,1.0
E01000189,2,1.0,1.0
E01000190,2,1.0,0.8
E01000191,2,1.0,1.0
E01000192,2,1.0,1.0
E01000193,2,1.0,1.0
E01000194,2,1.0,1.0
E01000195,0,1.0,1.0
E01000196,2,1.0,1.0
E01000197,2,1.0,1.0
E01000198,2,1.0,1.0
E01000199,2,1.0,1.0
E01000200,2,1.0,1.0
E01000201,2,1.0,1.0
E01000202,2,1.0,1.0
E01000203,2,1.0,1.0
E01000204,2,1.0,1.0
E01000205,2,1.0,1.0
E01000206,2,1.0,1.0
E01000207,2,1.0,0.9
E01000208,2,1.0,1.0
E01000209,2,1.0,1.0
E01000210,2,1.0,1.0
E01000211,2,1.0,1.0
E01000212,2,1.0,1.0
E01000213,2,1.0,1.0
E01000214,2,1.0,1.0
E01000215,2,1.0,1.0
E01000218,2,1.0,1.0
E01000219,2,1.0,1.0
E01000221,2,1.0,1.0
E01000222,2,1.0,1.0
E01000223,2,1.0,1.0
E01000224,2,1.0,1.0
E01000225,2,1.0,1.0
E01000226,2,0.6666666666666666,0.4
E01000227,2,1.0,1.0
E01000228,2,1.0,0.9
E01000229,2,0.6666666666666666,0.2
E01000230,2,1.0,1.0
E01000231,2,1.0,1.0
E01000232,2,1.0,1.0
E01000233,2,1.0,1.0
E01000234,2,1.0,1.0
E01000235,2,1.0,1.0
E01000236,2,1.0,1.0
E01000237,2,1.0,1.0
E01000238,2,1.0,1.0
E01000239,2,1.0,1.0
E01000240,2,1.0,0.9
E01000242,2,1.0,1.0
E01000243,2,1.0,1.0
E01000244,2,1.0,1.0
E01000245,2,1.0,1.0
E01000246,2,1.0,1.0
E01000247,2,0.5,0.3
E01000248,2,1.0,1.0
E01000249,2,1.0,1.0
E01000250,2,1.0,1.0
E01000251,2,1.0,1.0
E01000252,2,1.0,1.0
E01000253,2,1.0,1.0
E01000255,2,1.0,1.0
E01000256,2,1.0,1.0
E01000257,2,1.0,1.0
E01000258,2,1.0,1.0
E01000259,2,1.0,1.0
E01000260,2,1.0,1.0
E01000261,2,1.0,1.0
E01000263,2,1.0,1.0
E01000264,2,1.0,1.0
E01000265,2,1.0,1.0
E01000266,2,1.0,1.0
E01000267,2,1.0,0.9
E01000268,2,1.0,1.0
E01000269,2,1.0,1.0
E01000270,2,1.0,1.0
E01000271,2,1.0,1.0
E01000272,1,1.0,0.9
E01000273,2,1.0,1.0
E01000274,2,1.0,1.0
E01000275,2,1.0,0.8
E01000276,2,0.8333333333333334,0.9
E01000277,1,1.0,0.9
E01000278,2,1.0,1.0
E01000279,2,1.0,1.0
E01000280,2,1.0,1.0
E01000281,2,1.0,1.0
E01000282,2,1.0,1.0
E01000283,2,1.0,1.0
E01000284,2,1.0,1.0
E01000285,2,1.0,0.9
E01000286,2,1.0,1.0
E01000287,2,1.0,0.7
E01000288,2,1.0,1.0
E01000289,2,1.0,1.0
E01000290,2,1.0,1.0
E01000292,2,1.0,1.0
E01000293,2,1.0,1.0
E01000294,0,1.0,0.8
E01000296,2,1.0,1.0
E01000297,2,1.0,1.0
E01000298,2,1.0,1.0
E01000299,2,1.0,1.0
E01000301,2,1.0,1.0
E01000302,2,1.0,1.0
E01000304,1,1.0,0.6
E01000305,2,1.0,1.0
E01000307,2,1.0,1.0
E01000308,2,1.0,1.0
E01000309,2,1.0,1.0
E01000310,2,1.0,1.0
E01000311,2,1.0,1.0
E01000312,2,1.0,1.0
E01000313,2,1.0,1.0
E01000314,2,1.0,1.0
E01000315,2,1.0,1.0
E01000316,2,1.0,1.0
E01000318,2,1.0,1.0
E01000321,2,1.0,1.0
E01000323,2,1.0,1.0
E01000324,2,1.0,1.0
E01000325,2,1.0,1.0
E01000326,2,0.5,0.2
E01000327,2,1.0,1.0
E01000328,2,1.0,0.9
E01000329,2,1.0,1.0
E01000330,2,1.0,1.0
E01000331,2,1.0,0.9
E01000332,2,1.0,1.0
E01000333,2,0.5,0.3
E01000334,2,0.5,0.1
E01000335,2,1.0,1.0
E01000336,2,0.5,0.2
E01000337,2,0.5,0.1
E01000338,2,0.5,0.5
E01000340,2,1.0,1.0
E01000342,2,0.5,0.6
E01000343,2,1.0,1.0
E01000344,2,1.0,1.0
E01000345,2,1.0,0.6
E01000347,2,1.0,1.0
E01000349,2,1.0,1.0
E01000350,2,1.0,1.0
E01000352,2,1.0,1.0
E01000353,2,1.0,1.0
E01000354,2,1.0,1.0
E01000356,2,1.0,1.0
E01000357,2,1.0,1.0
E01000358,2,1.0,1.0
E01000359,2,1.0,1.0
E01000360,2,1.0,1.0
E01000361,2,1.0,1.0
E01000362,2,1.0,1.0
E01000363,2,1.0,1.0
E01000364,2,1.0,1.0
E01000365,2,1.0,1.0
E01000367,2,1.0,1.0
E01000369,2,1.0,1.0
E01000370,2,1.0,1.0
E01000372,2,0.5,0.4
E01000374,2,1.0,1.0
E01000375,2,1.0,1.0
E01000376,2,1.0,0.8
E01000377,2,1.0,0.8
E01000379,2,0.8333333333333334,1.0
E01000380,4,0.5,0.4
E01000381,2,1.0,0.9
E01000382,1,1.0,0.6
E01000383,2,1.0,1.0
E01000384,2,1.0,0.9
E01000385,2,1.0,1.0
E01000386,2,1.0,1.0
E01000387,1,1.0,0.7
E01000389,2,1.0,1.0
E01000390,2,1.0,1.0
E01000391,1,1.0,0.8
E01000392,2,1.0,1.0
E01000394,2,1.0,1.0
E01000396,2,1.0,1.0
E01000398,2,0.5,0.2
E01000399,2,1.0,0.9
E01000400,2,1.0,1.0
E01000401,2,1.0,1.0
E01000402,2,1.0,0.9
E01000403,2,1.0,1.0
E01000404,2,0.5,0.0
E01000405,2,0.5,0.1
E01000406,2,1.0,0.9
E01000407,2,0.5,0.2
E01000408,2,1.0,0.7
E01000409,2,0.8333333333333334,0.5
E01000410,2,1.0,1.0
E01000411,2,0.3333333333333333,0.0
E01000412,2,1.0,1.0
E01000413,2,1.0,0.6
E01000414,2,1.0,1.0
E01000415,2,1.0,0.9
E01000416,2,1.0,1.0
E01000417,2,1.0,1.0
E01000418,2,1.0,0.8
E01000419,2,0.5,0.4
E01000420,2,1.0,1.0
E01000421,2,1.0,1.0
E01000422,2,1.0,1.0
E01000423,2,1.0,1.0
E01000424,3,1.0,0.0
E01000425,2,1.0,0.7
E01000426,2,1.0,1.0
E01000427,2,1.0,0.9
E01000428,2,1.0,1.0
E01000429,4,0.5,0.2
E01000430,4,0.5,0.3
E01000431,2,0.8333333333333334,0.6
E01000433,2,1.0,1.0
E01000434,2,1.0,1.0
E01000435,2,0.5,0.2
E01000436,2,1.0,0.9
E01000437,2,0.3333333333333333,0.4
E01000439,2,1.0,1.0
E01000440,2,0.5,0.4
E01000442,2,1.0,0.8
E01000443,2,1.0,1.0
E01000444,2,0.5,0.3
E01000445,2,1.0,1.0
E01000447,2,1.0,1.0
E01000448,2,1.0,1.0
E01000449,2,1.0,1.0
E01000450,2,1.0,1.0
E01000451,2,1.0,0.7
E01000452,4,0.5,0.3
E01000454,4,0.5,0.1
