unit,reference_cluster,seed_assignment_stability,bootstrap_assignment_stability
E01000233,0,0.3333333333333333,0.1
E01000234,2,0.8333333333333334,0.9
E01000235,0,1.0,0.7
E01000236,0,1.0,0.9
E01000237,3,0.8333333333333334,0.5
E01000238,2,1.0,0.9
E01000239,0,0.8333333333333334,0.9
E01000240,0,0.8333333333333334,0.9
E01000242,0,0.3333333333333333,0.1
E01000243,0,1.0,0.6
E01000244,2,0.8333333333333334,0.9
E01000245,0,0.8333333333333334,0.3
E01000246,0,0.6666666666666666,0.4
E01000247,2,1.0,1.0
E01000248,2,0.8333333333333334,0.9
E01000249,2,1.0,1.0
E01000250,0,0.8333333333333334,0.7
E01000251,0,1.0,0.6
E01000252,2,1.0,1.0
E01000253,2,1.0,1.0
E01000255,2,0.8333333333333334,0.9
E01000256,0,1.0,0.9
E01000257,2,0.8333333333333334,0.9
E01000258,0,1.0,1.0
E01000259,2,0.8333333333333334,0.9
E01000260,0,0.8333333333333334,0.9
E01000261,2,0.8333333333333334,0.9
E01000263,3,1.0,0.8
E01000264,0,1.0,0.6
E01000265,0,1.0,1.0
E01000266,2,1.0,1.0
E01000267,2,1.0,1.0
E01000268,0,1.0,0.8
E01000269,0,0.8333333333333334,0.9
E01000270,2,1.0,1.0
E01000271,0,0.8333333333333334,0.9
E01000272,2,1.0,0.9
E01000273,0,0.6666666666666666,0.2
E01000274,0,1.0,1.0
E01000275,2,1.0,1.0
E01000276,2,1.0,1.0
E01000277,2,1.0,0.9
E01000278,2,0.8333333333333334,0.9
E01000279,2,1.0,1.0
E01000280,2,1.0,1.0
E01000281,0,0.8333333333333334,0.7
E01000282,2,1.0,0.8
E01000283,2,1.0,1.0
E01000284,0,0.8333333333333334,0.8
E01000285,2,1.0,0.9
E01000286,2,1.0,1.0
E01000287,2,0.8333333333333334,0.9
E01000288,0,1.0,0.7
E01000289,2,1.0,1.0
E01000290,2,1.0,1.0
E01000292,0,1.0,0.7
E01000293,0,1.0,0.5
E01000294,2,1.0,1.0
E01000296,0,0.6666666666666666,0.5
E01000297,2,0.8333333333333334,0.9
E01000298,0,0.8333333333333334,0.7
E01000299,0,0.8333333333333334,0.8
E01000301,0,1.0,0.9
E01000302,0,0.5,0.6
E01000304,2,1.0,0.8
E01000305,3,1.0,0.8
E01000307,0,0.8333333333333334,0.2
E01000308,3,1.0,0.7
E01000309,3,1.0,0.6
E01000310,3,1.0,0.8
E01000311,3,1.0,0.8
E01000312,3,1.0,0.7
E01000313,3,1.0,0.8
E01000314,3,1.0,0.8
E01000315,2,1.0,1.0
E01000316,0,0.6666666666666666,0.6
E01000318,0,1.0,0.9
E01000321,0,0.8333333333333334,0.7
E01000323,3,0.6666666666666666,0.6
E01000324,0,1.0,1.0
E01000325,2,0.8333333333333334,0.9
E01000326,0,1.0,0.4
E01000327,0,1.0,1.0
E01000328,2,1.0,1.0
E01000329,0,0.3333333333333333,0.1
E01000330,0,1.0,0.8
E01000331,0,0.8333333333333334,0.9
E01000332,0,1.0,1.0
E01000333,0,1.0,0.7
E01000334,2,1.0,1.0
E01000335,1,1.0,1.0
E01000336,0,1.0,1.0
E01000337,2,1.0,1.0
E01000338,0,1.0,0.4
E01000340,0,0.8333333333333334,0.9
E01000342,2,1.0,1.0
E01000343,0,0.8333333333333334,0.8
E01000344,2,1.0,0.9
E01000345,2,1.0,1.0
