role,path,bytes,sha256
bus_lsoa_night_long,D:\SDS2025_workspace\CASA_FYP\FYP\cluster_clean_version_15min\outputs\preprocessed\bus_lsoa_night_long.parquet,6561649,25768338d7c30f5a1cb8853d1bdc2dc47f4698d115de0f2a7bbea636afe3f85d
X_bus,D:\SDS2025_workspace\CASA_FYP\FYP\cluster_clean_version_15min\outputs\features\X_bus.parquet,8710675,b70de4f1ad69b6be6d223c7ba741985cd733a1c696b9da6e72410b32a008d2ee
X_bus,D:\SDS2025_workspace\CASA_FYP\FYP\cluster_clean_version_fullweek\outputs\features\X_bus.parquet,2451489,083b388e1724f4d4f67c4f6ccd6a6d99201326dd10959b707880821df7128cad
bus_unit_metrics,D:\SDS2025_workspace\CASA_FYP\FYP\rq1_context_metrics_analysis\outputs\data\bus_unit_metrics.csv,851414,f0a1b577f079211067f694e68efc51b0722f54b9dd68f79dda8d60e4b1099c1a
bus_analysis_lsoa,D:\SDS2025_workspace\CASA_FYP\FYP\rq2test analysis\outputs\data\bus_analysis_lsoa.csv,413218,33fb2206ba1a59690316e525110bda3d43bf3abcf63f7d9a4e8dca9b320c4458
