cluster,total_activity,direction_balance,post_midnight_share,deep_night_share,weekend_ratio,resolution,covariance,K,n
0,1114.054655,-0.13670196580295552,0.1070939460891646,0.050860006583875,0.7907087050711104,15min,diag,3,2744
1,127.88564,-0.18197162167743258,0.04885024461755465,0.01867627927685485,0.7353863363353375,15min,diag,3,976
2,291.42551000000003,-0.0712840701874302,0.1740254578346782,0.10069367088727545,0.8299211260134909,15min,diag,3,380
0,1303.57445,-0.1290808168641875,0.1144653347417733,0.0550133768426486,0.7981421292785438,1h,diag,3,2101
1,450.99494500000003,-0.048709045731571504,0.17854491577854806,0.0934472990507961,0.8438905884952457,1h,diag,3,532
2,227.88913,-0.1927363860662092,0.0553571007551203,0.0224625498170515,0.7346135829612336,1h,diag,3,1467
0,1730.5855999999999,-0.0990375611310404,0.12249022194551079,0.05824480451049405,0.8084181428024714,15min,diag,4,1886
1,353.75943,-0.2188187964938494,0.0745404473320709,0.0343260733562357,0.7459414295913356,15min,diag,4,1455
2,63.74395,-0.1074353868470445,0.0354192594618296,0.0078029469613894,0.7287667470475401,15min,diag,4,479
3,272.40915,-0.054173849733586146,0.17674477975161515,0.10414183265672775,0.833793837665593,15min,diag,4,280
0,787.05789,-0.1793067494277532,0.096238755695633,0.047920843664534,0.7651584186382484,1h,diag,4,1573
1,346.67823,-0.0514143426184403,0.1725385533202308,0.0954287377002025,0.8403256685449138,1h,diag,4,443
2,176.02744,-0.17572688305192824,0.0487173172049093,0.01924884527588415,0.7305223630439127,1h,diag,4,1138
3,2209.5587,-0.06447105220192084,0.13498374214416997,0.0606556661779092,0.8401718986776395,1h,diag,4,946
0,404.90092500000003,-0.2131674779318129,0.07916187312825484,0.03811907395174745,0.7471425774659894,15min,diag,5,1546
1,268.24655,-0.0514143426184403,0.1742542478886526,0.1030899015465485,0.8320100537200983,15min,diag,5,291
2,15.025825,-0.6992253259266186,0.0103554600681554,0.0,0.5906809065197876,15min,diag,5,8
3,1895.87354,-0.0904614845498109,0.1241253286654432,0.0581116433597391,0.812509247088862,15min,diag,5,1691
4,76.81015500000001,-0.13806344467509846,0.038600935300879796,0.0110003051224357,0.7330641371584928,15min,diag,5,564
0,453.86772,-0.1976539955708151,0.0712648485298184,0.0318553166567716,0.746643920697171,1h,diag,5,1307
1,405.13861499999996,-0.02543364305957475,0.17753509176873855,0.09330688150625804,0.8708162682567131,1h,diag,5,398
2,78.33749499999999,-0.1159237296363838,0.03622666111964565,0.0116087766175235,0.717549906121833,1h,diag,5,562
3,2253.07042,-0.0474661799079187,0.1195495173773317,0.051396686611838,0.828586303716984,1h,diag,5,937
4,839.6603700000001,-0.2138032624425531,0.1317711825333751,0.07346594099879669,0.7826542480669951,1h,diag,5,896
0,679.09887,-0.1425808592545356,0.1012717361742771,0.0478290310398731,0.785209997329438,15min,tied,3,3977
1,5.060125,-0.14621958149633996,0.00438839573698695,0.00431376315642595,0.7035464370360228,15min,tied,3,2
2,28.46921,-0.1074353868470445,0.0202259575640672,0.0,0.6325411439037263,15min,tied,3,121
0,323.64407,-0.2968248053682373,0.1109500740766966,0.0707537110174248,0.7028173885494947,1h,tied,3,343
1,21.392960000000002,0.124296418230067,0.0073463761420642,0.0,0.5308227992949315,1h,tied,3,66
2,732.47111,-0.132871553404883,0.0990383993842755,0.0451005089675621,0.7922701765630048,1h,tied,3,3691
0,644.56071,-0.142211166571492,0.0993803359947818,0.0468545893853333,0.7832635038698971,15min,tied,4,4093
1,1.81088,0.6983566001060257,0.0,0.0,4.986185167232188,15min,tied,4,1
2,11.52505,-0.1143950514713261,0.0,0.0,0.7356440760102755,15min,tied,4,5
3,5.25182,0.9787159498992732,0.0209622568938006,0.0104649435814631,0.2937867282532466,15min,tied,4,1
0,322.60080500000004,-0.2973927864843193,0.11067002652649649,0.07048784044944335,0.7022818957190359,1h,tied,4,334
1,1.81088,0.6983566001060257,0.0,0.0,4.986185167232188,1h,tied,4,1
2,19.65511,0.0429778784255905,0.0047761489990963,0.0,0.5118185582848133,1h,tied,4,67
3,732.9730999999999,-0.133183175321473,0.09912248178072,0.045195060484978206,0.7921532515049838,1h,tied,4,3698
0,701.12317,-0.1400815551435829,0.1015576635635317,0.047920843664534,0.7863365238654948,15min,tied,5,3899
1,52.839475,-0.19310253833979155,0.03860845193622675,0.0108200557800705,0.6690274118721592,15min,tied,5,196
2,7.70441,0.6932495529505265,0.0087767914739739,0.0086275263128519,1.1770186021164986,15min,tied,5,3
3,6.82719,-0.7282220064184532,0.0105914732122586,0.0,0.9789632164984188,15min,tied,5,1
4,10.01826,-0.978107974837946,0.0736275560825931,0.0,0.670882732440721,15min,tied,5,1
0,40.058335,1.0,0.051303155731074246,0.01366902232695035,0.7535450639571629,1h,tied,5,16
1,18.67878,0.0126033423876386,0.0028227411194735,0.0,0.4718775069904631,1h,tied,5,60
2,685.23301,-0.1427403063138417,0.0991123934755275,0.0463821214912433,0.7852110462983135,1h,tied,5,3877
3,28.384145,0.14317017839688728,0.0238580068268005,0.00878389654567905,0.8060146812934603,1h,tied,5,28
4,396.39915,-0.186136446403621,0.1646474436912847,0.1211341766638325,0.7777697267777915,1h,tied,5,119
