unit,reference_cluster,seed_assignment_stability,bootstrap_assignment_stability
E01000001,3,1.0,1.0
E01000002,2,1.0,0.9
E01000005,3,1.0,1.0
E01000007,1,1.0,1.0
E01000009,3,1.0,1.0
E01000011,0,1.0,1.0
E01000012,4,1.0,0.7
E01000013,0,0.8333333333333334,0.4
E01000015,1,0.8333333333333334,0.4
E01000016,2,0.6666666666666666,0.8
E01000017,0,1.0,0.9
E01000018,2,1.0,0.9
E01000019,0,1.0,0.8
E01000020,2,0.6666666666666666,0.8
E01000021,0,1.0,0.8
E01000024,4,1.0,0.8
E01000027,0,1.0,0.9
E01000029,0,1.0,1.0
E01000030,0,1.0,0.9
E01000031,0,1.0,1.0
E01000032,4,1.0,0.6
E01000034,0,1.0,0.8
E01000035,0,1.0,1.0
E01000036,2,1.0,0.8
E01000038,0,1.0,1.0
E01000039,2,1.0,0.9
E01000040,0,1.0,0.9
E01000041,0,1.0,0.8
E01000042,0,1.0,0.5
E01000043,0,1.0,0.8
E01000045,0,1.0,1.0
E01000049,0,0.3333333333333333,0.3
E01000050,0,0.8333333333333334,0.8
E01000052,0,0.6666666666666666,0.8
E01000053,0,1.0,0.8
E01000056,1,0.6666666666666666,0.9
E01000057,0,1.0,0.9
E01000058,0,1.0,0.8
E01000060,4,1.0,0.8
E01000061,4,1.0,0.9
E01000062,0,0.3333333333333333,0.4
E01000063,1,1.0,1.0
E01000064,0,1.0,1.0
E01000065,0,1.0,1.0
E01000067,0,0.6666666666666666,0.8
E01000068,4,1.0,0.9
E01000069,2,0.8333333333333334,0.9
E01000070,4,0.8333333333333334,0.8
E01000071,2,0.6666666666666666,0.7
E01000072,0,1.0,0.8
E01000073,0,0.8333333333333334,0.5
E01000074,0,1.0,0.5
E01000075,0,1.0,0.7
E01000076,2,1.0,0.9
E01000077,4,1.0,0.9
E01000078,0,1.0,0.9
E01000079,0,0.8333333333333334,0.5
E01000080,0,0.8333333333333334,0.5
E01000081,4,0.0,0.5
E01000082,4,1.0,0.9
E01000083,4,1.0,0.9
E01000084,0,0.8333333333333334,0.9
E01000085,0,1.0,0.6
E01000086,0,1.0,1.0
E01000087,0,1.0,1.0
E01000088,0,1.0,1.0
E01000090,4,0.3333333333333333,0.2
E01000091,4,1.0,0.8
E01000093,4,1.0,0.8
E01000094,4,0.8333333333333334,0.9
E01000095,3,0.8333333333333334,0.9
E01000096,0,1.0,0.8
E01000097,0,0.8333333333333334,0.9
E01000098,0,0.8333333333333334,0.9
