NLC,tot_entry,tot_exit,total_activity
500,5913.695163326618,14018.011921536674,19931.707084863294
501,11049.723276839999,6330.322317268003,17380.045594108
502,12244.379849940393,13127.939881514514,25372.319731454907
503,25196.40203101999,26446.2887469,51642.69077791999
505,2726.357168859186,7092.771858705201,9819.129027564388
506,1074.9204802164086,5621.002525339999,6695.923005556408
507,31737.71886116,25901.406464120006,57639.12532528001
508,9954.105804043724,19429.07578368006,29383.181587723782
509,3121.476679486484,9686.938155316999,12808.414834803483
510,2788.6440344604034,6681.370309785282,9470.014344245687
511,51064.58130176767,23898.364730507972,74962.94603227565
512,16469.15800745222,28849.970374424967,45319.12838187719
513,91406.14782448392,32449.579175151997,123855.72699963592
514,18710.73475998977,50301.57582767076,69012.31058766053
515,714.948946704523,4023.674694132535,4738.623640837058
516,7402.351236572083,12966.531270303212,20368.882506875296
517,6602.944139000001,10111.78975898,16714.73389798
518,2137.9462031406574,7839.893892635998,9977.840095776655
519,7690.740753327739,10364.728174600008,18055.468927927748
520,19323.663389894802,27501.424468900004,46825.08785879481
521,20667.335486833734,15065.569707903032,35732.90519473677
522,10751.414276842386,29363.085213185223,40114.49949002761
524,114842.62331718982,38197.19576609632,153039.81908328616
525,8937.246024840002,8913.374023476004,17850.620048316006
526,1261.5081704142667,3717.4032059089986,4978.911376323265
527,3910.695672480389,13699.885550848723,17610.58122332911
528,6489.373613292136,12474.975265037541,18964.348878329678
529,2072.6776554105745,4565.648293407941,6638.325948818516
530,4817.629362765983,10950.721664779998,15768.351027545981
531,1932.6078855194055,6242.019095033643,8174.626980553048
532,2360.681658068569,8697.543736676203,11058.225394744772
534,6348.565699511074,10670.710583992319,17019.276283503394
535,52802.52488370019,35056.314223999645,87858.83910769984
536,8000.085283715004,5875.420527657001,13875.505811372004
537,1876.4533428766965,6755.427528807998,8631.880871684694
539,1185.2686152942863,4023.2126503762847,5208.481265670571
540,11684.833405383319,11665.841083698993,23350.67448908231
541,17998.838891407606,5917.571720214,23916.410611621606
542,56223.77277068601,26849.939994103675,83073.71276478969
543,559.4056421786731,3065.533097699998,3624.938739878671
544,161.310656816424,782.7547328317072,944.0653896481313
545,2650.5889391086,4817.557987651997,7468.146926760597
546,1016.0078630141387,2926.4929859207273,3942.500848934866
547,15919.988308653175,27540.148534056007,43460.13684270918
548,10013.019612375085,18284.038310293618,28297.057922668704
549,8109.961520161199,20658.201825511995,28768.163345673194
550,1486.1034248744706,4476.264141884,5962.367566758471
551,5755.633014657403,20022.603049970996,25778.2360646284
552,6007.7387346847945,17295.926884897995,23303.66561958279
553,42015.40638092037,19892.087873565986,61907.49425448636
554,441.76742743785314,2380.549865453999,2822.317292891852
555,2191.0869127885653,6879.916147624003,9071.003060412568
556,3929.921278039253,12834.603447290006,16764.52472532926
557,1462.3045949935004,4298.660505199999,5760.965100193499
558,3378.6188977878883,8780.533651410402,12159.15254919829
560,21240.988564281724,47417.997442949214,68658.98600723094
561,2303.3179382436024,4984.9985703555,7288.316508599102
562,27622.400800709012,43334.3943087656,70956.79510947461
563,4494.830234434071,9275.196068756599,13770.026303190669
564,1721.8610796257235,5859.480321503004,7581.341401128728
565,5377.726258523599,16289.543558362002,21667.2698168856
566,12101.66896228401,32374.14898746,44475.817949744014
567,6883.42049301447,17355.99079116461,24239.41128417908
568,3567.356815224,11364.078103059994,14931.434918283994
569,11572.099730892143,10494.686433429484,22066.786164321627
570,28050.42101402668,36529.689299999634,64580.110314026315
571,1586.740774435708,7174.0045893407005,8760.745363776408
572,2191.1125431742994,9628.462191740005,11819.574734914306
574,63566.67849532675,63908.79549525513,127475.47399058187
575,23486.555265275125,13728.20874296794,37214.764008243066
576,667.8264632048237,2839.8286131578457,3507.655076362669
577,84668.20696805742,43853.17846013321,128521.38542819064
578,5611.129866541431,15060.825009251002,20671.954875792435
579,13859.011138565373,15732.067679270951,29591.078817836322
580,35581.464859727,61264.00631854646,96845.47117827347
581,11468.831695478313,12767.817156793844,24236.648852272156
582,4134.559102466431,15444.256561332026,19578.815663798458
583,24407.797751130398,25217.295337503725,49625.09308863412
584,7577.159047743998,17054.375165318783,24631.53421306278
585,2762.5493261292822,5036.689329570003,7799.238655699285
586,13135.597711445736,5103.015572910696,18238.613284356434
587,160.55516606947992,1057.1905726379991,1217.7457387074792
588,12106.120524522503,6108.148545019999,18214.2690695425
589,2718.8918200978724,8900.11856921,11619.010389307874
590,85677.28858531867,29333.864758015003,115011.15334333367
591,5433.968033144517,7010.244269512077,12444.212302656593
592,1828.5436775482451,9656.557632479999,11485.101310028243
593,48769.06403958738,43797.03940843131,92566.1034480187
594,6678.2833328841325,7883.5061592810025,14561.789492165135
595,3068.4784663107216,8002.181227700959,11070.659694011681
596,3529.4243007190494,5329.739678704614,8859.163979423663
597,5167.048888099488,14348.788484598319,19515.837372697806
598,8755.96524312053,21729.128785416007,30485.094028536536
599,10131.535420904918,7744.6440905743,17876.17951147922
601,5702.0536197238025,13317.351760185009,19019.40537990881
