logical_hub_code,logical_hub_source,logical_hub_name,n_stops,n_lsoa,has_unmatched_stop,hub_boardings,hub_alightings,cross_lsoa,both_directions_positive,hub_total_activity
490G00000356,stop_area,Tottenham Court Road / Great Russell Street,1,1,False,0.0,639.70448,False,False,639.70448
490G00013349,stop_area,The Fairway (W3),2,1,False,203.17617,435.69915,False,True,638.87532
490G00003449,stop_area,Farrance Road,1,1,False,325.38844,313.26776,False,True,638.6562
490G00006506,stop_area,Elmers End Green,3,3,False,351.61073,286.96209999999996,True,True,638.57283
490G00014856,stop_area,Woodheyes Road,2,2,False,379.13073,259.35837,True,True,638.4891
910GHONROPK,parent_stop_area,Honor Oak Park Station,2,1,False,314.23285,323.73151,False,True,637.9643599999999
490G00014513,stop_area,West Road,2,1,False,192.42918999999998,444.56667,False,True,636.99586
490G00008401,stop_area,Hounslow Road,2,1,False,284.95105,351.76168,False,True,636.71273
490G00007118,stop_area,Garland Road Clinic,1,1,False,14.88175,621.46218,False,True,636.34393
490G00004583,stop_area,Balls Pond Road / Burder Road,1,1,False,393.29827,243.01051,False,True,636.3087800000001
490G00009698,stop_area,Marsh Lane,2,1,False,268.98088,367.09505,False,True,636.07593
490G00011984,stop_area,Selby Road (SE20),2,2,False,286.30444,349.02369999999996,True,True,635.32814
490G00004436,stop_area,Victoria and Albert Museum,2,2,False,462.13935000000004,172.87239,True,True,635.01174
490G00003891,stop_area,Bengarth Road / Northolt Library,2,2,False,203.63025,430.89285,True,True,634.5231
490G00004455,stop_area,Brook Green,2,1,False,217.60568,416.68478,False,True,634.2904599999999
490G00002446,stop_area,Cannon Street Station / Bank Station,1,1,False,326.1539,307.99344,False,True,634.14734
490G000209,stop_area,Eltham High Street / St Mary's Place,1,1,False,423.39254,210.61625,False,True,634.00879
490G00012810,stop_area,St Matthews Estate,2,1,False,295.14029999999997,338.80106,False,True,633.94136
490G00011421,stop_area,Ranelagh Road,2,2,False,259.13733,374.15153999999995,True,True,633.28887
490G00014821,stop_area,Wanstead High St /Wanstead Stn,1,1,False,435.41148,197.68156,False,True,633.09304
490G000311,stop_area,Northgate Road,4,2,False,213.94243,419.08140000000003,True,True,633.0238300000001
490G00006315,stop_area,East Barnet Village,2,1,False,241.83657999999997,391.17793000000006,False,True,633.01451
490G00008056,stop_area,Hendon Town Hall,2,2,False,348.96938,283.6014,True,True,632.57078
490G00010045,stop_area,Mortimer Road,1,1,False,351.50143,280.83196,False,True,632.33339
490G000492,stop_area,Duke's Place,1,1,False,336.9503,294.57942,False,True,631.52972
490G00008704,stop_area,Eltham Road / Kidbrooke Park Road,2,1,False,309.00029,322.09066,False,True,631.09095
490G00008831,stop_area,Kingston University (KT2),2,1,False,257.49581,373.48956,False,True,630.98537
490G00010909,stop_area,Penge Road,1,1,False,477.16075,152.77827,False,True,629.93902
490G00011113,stop_area,Poplar Place,2,2,False,215.18349,414.40064,True,True,629.58413
490G00007516,stop_area,Greenwich High Road / Royal Hill,1,1,False,453.27196,176.28871,False,True,629.56067
490G00014876,stop_area,Cavell House,2,2,False,447.26226,182.05451,True,True,629.31677
490G00004519,stop_area,Brownswood Road,1,1,False,257.82584,371.48251,False,True,629.30835
490G00014215,stop_area,Stratford H St/Carpenters Road,1,1,False,219.19223,409.5149,False,True,628.70713
490G00010897,stop_area,Pembroke Road (UB6),2,1,False,261.65892,367.02543,False,True,628.68435
490G00011215,stop_area,Princes Road Fulwell,2,1,False,238.72888999999998,389.9033,False,True,628.63219
490G00005918,stop_area,Dacre Park,2,1,False,254.28665,374.02434999999997,False,True,628.3109999999999
490G00005830,stop_area,Crowborough Road,1,1,False,221.77113,406.24369,False,True,628.01482
490G00011324,stop_area,Queensberry Place,2,1,False,298.93014999999997,328.38484,False,True,627.31499
490G00005774,stop_area,Cricklewood Lane Child's Hill,2,2,False,197.98656,428.75863000000004,True,True,626.7451900000001
490G00002365,stop_area,Shaftesbury Avenue / Roxeth,1,1,False,307.0391,319.22406,False,True,626.26316
490G00009659,stop_area,Market Place (NW11),2,1,False,286.92376,338.44662,False,True,625.3703800000001
490G00014404,stop_area,Brunel Estate,1,1,False,277.24866,348.02144,False,True,625.2701
490G00003342,stop_area,Apex Corner,3,2,False,139.42106,485.71299,True,True,625.13405
490G00007944,stop_area,Hayes By-Pass,3,2,False,157.35283,467.65416,True,True,625.00699
490G00013002,stop_area,Sumner Road Waddon,2,2,False,199.6529,424.87759,True,True,624.53049
490G00012992,stop_area,Edison Primary School,2,2,False,227.80255999999997,396.56971,True,True,624.37227
490G00007610,stop_area,Gurney Road,2,2,False,208.64585,415.37436,True,True,624.02021
490G00004715,stop_area,Camden Park Road,2,2,False,358.69633,265.05061,True,True,623.74694
490G00004916,stop_area,Cemetery Lane,2,1,False,233.38989,390.31376,False,True,623.70365
490G00004936,stop_area,Central Street / Old Street,1,1,False,212.72236,410.77896,False,True,623.50132
490G00008898,stop_area,St Charles Square/Ladbroke Grv,2,2,False,271.34542999999996,352.09807,True,True,623.4435
490G00015109,stop_area,Northchurch Road Haggerston,2,2,False,266.3856,356.99346,True,True,623.37906
490G000581,stop_area,Clayton Road (UB3),1,1,False,539.68808,83.60110999999999,False,True,623.28919
490G00011159,stop_area,John Wilson Street / Powis Street,1,1,False,295.52473,327.65331,False,True,623.17804
490G00003622,stop_area,Barnabas Road,2,1,False,297.63845000000003,324.93277,False,True,622.57122
490G00011713,stop_area,Rosslyn Crescent,2,2,False,239.00642,383.39477,True,True,622.40119
490G00009159,stop_area,Limehouse Police Station,2,1,False,220.54581000000002,401.30057,False,True,621.84638
490G000451,stop_area,Brook Crescent,2,1,False,263.26072,358.37278000000003,False,True,621.6335
490G000744,stop_area,Shoreditch,1,1,False,0.0,621.5731,False,False,621.5731
490G00003128,stop_area,Aintree Road,2,1,False,257.13148,364.20588,False,True,621.33736
490G000458,stop_area,Forest Hill Stn /Devonshire Rd,1,1,False,197.34198,423.43819,False,True,620.78017
490G00011004,stop_area,Pimlico Academy & Library,3,2,False,267.6513,352.88230999999996,True,True,620.53361
490G00008053,stop_area,Clitterhouse Road South,2,2,False,183.93456,436.15054,True,True,620.0851
490G00014581,stop_area,Whitefoot Lane,2,2,False,204.56928,415.50472,True,True,620.0740000000001
910GKENSLG,parent_stop_area,Kensal Green Station,2,2,False,177.23301,442.73051,True,True,619.96352
490G00005335,stop_area,Beckton Triangle Retail Park,3,1,False,382.43067,237.17801,False,True,619.60868
490G00005546,stop_area,Conference Road,2,1,False,133.1396,486.30439,False,True,619.44399
490G00006369,stop_area,Eastmead Avenue,1,1,False,271.75494,347.56164,False,True,619.3165799999999
490G00004600,stop_area,Petherton Road,2,1,False,253.11412,365.77092,False,True,618.88504
490G00010039,stop_area,Ponsford Street,2,2,False,314.96425,303.39527,True,True,618.35952
490G00003048,stop_area,Priory Road (SM3),2,2,False,154.32202,463.77746,True,True,618.0994800000001
490G00004920,stop_area,Central Avenue (UB3),1,1,False,200.17166,417.90689000000003,False,True,618.0785500000001
490G00010744,stop_area,Parchmore Road,1,1,False,171.3674,446.03958,False,True,617.40698
490G00014480,stop_area,Westhorne Avenue,2,1,False,277.84663,339.34109,False,True,617.18772
490G00008637,stop_area,Kennedy Close,2,1,False,264.50559999999996,351.93861,False,True,616.4442099999999
490G00011089,stop_area,Pomeroy Street New Cross,1,1,False,495.10904,121.18687,False,True,616.29591
490G00007041,stop_area,Hunters Hall Road,2,1,False,281.94609,334.00545,False,True,615.95154
490G00004983,stop_area,Chapel Market,1,1,False,525.1159,90.09901,False,True,615.21491
490G00015282,stop_area,Canal Walk,1,1,False,290.65557,323.73534,False,True,614.3909100000001
490G00004294,stop_area,Half Acre,2,2,False,290.79698,323.15639,True,True,613.95337
490G00007326,stop_area,Heavitree Road,2,2,False,169.54014,444.38285,True,True,613.92299
490G00008667,stop_area,Kenton Road / Kenton Lane,1,1,False,379.43105,234.27145000000002,False,True,613.7025000000001
490G00004772,stop_area,Capworth Street,2,2,False,293.7285,319.46911,True,True,613.1976099999999
490G00009106,stop_area,Lewisham Clock Tower,1,1,False,27.49744,585.45021,False,True,612.94765
940GZZLUBBB,parent_stop_area,Bromley-By-Bow,4,2,False,241.78576999999999,371.04316,True,True,612.82893
490G00003712,stop_area,Beaconsfield Road / New Southgate Station,2,1,False,265.97338,346.80149,False,True,612.77487
490G00010141,stop_area,Myddelton Road,2,1,False,295.30322,317.31735,False,True,612.62057
940GZZLUHTD,parent_stop_area,Hampstead Station,2,1,False,355.81805,256.42573,False,True,612.24378
490G00011841,stop_area,Rye Hill Park,2,1,False,194.71852,417.50654999999995,False,True,612.22507
490G00003078,stop_area,Acton Lane,1,1,False,391.47293,220.72108,False,True,612.19401
490G00013366,stop_area,The Gardens,2,1,False,117.25525999999999,494.68957,False,True,611.94483
490G00018985,stop_area,Park Royal Asda,1,1,False,313.8982,297.71358,False,True,611.61178
490G00004811,stop_area,Carnegie Street,2,2,False,300.83376,310.63894,True,True,611.4727
490G000543,stop_area,Elizabeth Road,2,1,False,341.18123,270.24615,False,True,611.4273800000001
490G00003042,stop_area,Abbotsford Avenue,2,1,False,212.06305,399.24816999999996,False,True,611.3112199999999
940GZZCRBRD,parent_stop_area,Beckenham Road Tram Stop,2,1,False,355.15778,256.14648,False,True,611.30426
490G00012600,stop_area,Crofton Road /Starts Hill Road,2,1,False,372.95964999999995,238.13908,False,True,611.0987299999999
490G00003074,stop_area,Agar Grove / Maiden Lane,1,1,False,72.31331,538.69214,False,True,611.00545
490G00004290,stop_area,Brentford Fountain Leisure Centre,2,1,False,315.90214,294.57661,False,True,610.47875
490G00006337,stop_area,East End Road Finchley,2,1,False,233.30763,376.3875,False,True,609.69513
490G00012687,stop_area,St Francis Road,2,1,False,137.26558,472.08251,False,True,609.34809
490G00019784,stop_area,Sidcup Hill / Cray Road,1,1,False,363.28497,245.83829,False,True,609.12326
490G00019154,stop_area,Glenhurst Avenue / Lissenden Gardens,1,1,False,110.00958,498.67485,False,True,608.68443
490G00007438,stop_area,Green Dragon Lane,2,1,False,282.39355,325.84069,False,True,608.23424
490G00019007,stop_area,Goodmayes Road / Goodmayes Stn,1,1,False,344.41839,263.77677,False,True,608.19516
490G00010521,stop_area,Okehampton Road,2,1,False,281.72521,326.43807,False,True,608.16328
490G000491,stop_area,East Acton Station / Fitzneal Street,1,1,False,361.94597,246.04809,False,True,607.99406
490G000855,stop_area,Clapham Junction / Grant Road,2,1,False,437.58806,170.39291,False,True,607.98097
490G00007053,stop_area,Fulham Pools,2,2,False,199.78228000000001,407.87694999999997,True,True,607.65923
490G00004718,stop_area,Camden Road Kentish Town,1,1,False,51.90381,555.6524,False,True,607.55621
940GZZLUNHA,parent_stop_area,North Harrow,2,2,False,337.2036,270.09451,True,True,607.29811
490G00011349,stop_area,Queen's Road,1,1,False,174.99616,432.29477,False,True,607.29093
490G00005255,stop_area,Dixon Way,2,1,False,282.25424999999996,324.80786,False,True,607.06211
490G00015133,stop_area,Balls Pond Road,2,2,False,184.93078,420.95488,True,True,605.88566
910GCLOCKHS,parent_stop_area,Clock House Station,2,2,False,366.5377,239.27907,True,True,605.8167699999999
490G000920,stop_area,Borough Station / Great Dover St,2,1,False,255.7595,349.31219,False,True,605.07169
490G00009064,stop_area,Lee Road,2,1,False,284.86879999999996,320.1226,False,True,604.9913999999999
490G00014874,stop_area,Wood Lane London Road,2,2,False,304.64295999999996,300.18104,True,True,604.824
490G00012997,stop_area,Summerstown,1,1,False,269.54604,335.15747,False,True,604.70351
490G00003201,stop_area,Alexander Road,1,1,False,411.55384,193.06586,False,True,604.6197
490G00007611,stop_area,Guy Earl Of Warwick,2,1,False,268.28292999999996,335.62460999999996,False,True,603.9075399999999
490G00005299,stop_area,Church Road (DA14),2,1,False,302.88981,300.87608,False,True,603.76589
490G00009750,stop_area,Sydenham Road / Mayow Road,2,1,False,308.36687,295.02178,False,True,603.38865
490G00008502,stop_area,Isis Street,2,1,False,325.97576000000004,277.39928999999995,False,True,603.37505
490G00005666,stop_area,Courtman Road,2,1,False,199.1384,404.00867,False,True,603.14707
490G00005928,stop_area,Dagmar Avenue,1,1,False,283.38875,319.68820999999997,False,True,603.07696
490G00010331,stop_area,North Circular Road Golders Green,2,2,False,265.33581000000004,337.57203,True,True,602.9078400000001
