NLC,Station,cluster,n_intersecting_lsoa,imd_income,imd_employment,imd_education,imd_health,imd_living_env,population_density,no_car_household_share,deprived_1plus_share,deprived_2plus_share,private_rented_share,social_rented_share,asian_share,black_share,dependent_children_share,lone_parent_dependent_share,one_person_share,age_0_19_share,age_20_34_share,age_35_64_share,age_65plus_share,self_employed_share,part_time_employee_share,unemployed_share,hospitality_industry_share,shiftwork_industry_share,accom_food_share,transport_storage_share,admin_support_share,wholesale_retail_share,health_social_share,manufacturing_share,public_admin_share,bres_manufacturing_share,bres_wholesale_retail_share,bres_transport_storage_share,bres_accom_food_share,bres_info_comms_share,bres_professional_sci_share,bres_education_share,bres_health_social_share,bres_admin_support_share,poi_count,shannon_group,bres_total_jobs,bres_manufacturing_per_km2,bres_wholesale_retail_per_km2,bres_transport_storage_per_km2,bres_accom_food_per_km2,bres_info_comms_per_km2,bres_professional_sci_per_km2,bres_education_per_km2,bres_health_social_per_km2,bres_admin_support_per_km2,cluster_name,log1p_poi_count
1022,Haggerston,4,22.0,0.3417727272727272,0.1671818181818182,12.241363636363637,0.5035909090909091,35.87077272727272,20510.093214865876,0.658351278227631,0.5349361387103917,0.2239435630865148,0.26959393795005837,0.46969713670140395,0.09386419239385976,0.2086745810235893,0.23597442467420962,0.08700057391532418,0.3375343626160325,0.19564266285558868,0.3244181274212123,0.39069744307027227,0.0892417666529267,0.12534734766843977,0.09193822012833905,0.04550180346717596,0.04562006877972181,0.1923319496722919,0.04562006877972181,0.035607418564525255,0.05280200928350166,0.10392252182426485,0.1116669452486581,0.028243946209598362,0.038608566795288,0.005775613275613267,0.08676406926406925,0.015378787878787875,0.10268759018759016,0.07757647907647905,0.14309163059163058,0.13212193362193364,0.1488997113997114,0.1088044733044733,44.5,1.7499308791708799,471.8181818181818,25.787620339768658,376.7405708143958,99.4768442088793,567.8680911375968,590.3139617345677,903.7669865107688,756.0010697523169,978.4950762373435,644.875270946384,C4 inner-middle ring mixed,3.817712325956905
1023,Hoxton,2,18.0,0.35566666666666663,0.15355555555555556,12.857499999999998,0.5769444444444444,41.113277777777775,18768.617340713008,0.7314573564977145,0.5347434411952718,0.21889330732656942,0.3531845155249076,0.4437356954915728,0.19794443416669608,0.1625037794781906,0.21965288917237852,0.0792089367686772,0.3567459054993434,0.1892604401812776,0.398447046780787,0.3456990292363519,0.0665934838015835,0.1100374494275673,0.09284141275943655,0.046623688497602817,0.0622033146628289,0.1983362114720192,0.0622033146628289,0.03300672671055834,0.05513779394358013,0.11019169081788066,0.10314766417635524,0.02722584552134395,0.03466286478795378,0.011718111977998961,0.09162667772696019,0.006339416494783717,0.13395420440618178,0.11893186709712131,0.14728960780796937,0.13271939736346514,0.15927454936776966,0.056394703016171915,212.11111111111111,1.7031350333530555,4481.944444444444,218.44558477659663,1646.0232789603738,252.5456628102857,1933.1145583051803,4403.398839555371,4050.886614327714,910.8483969658005,1949.5403181211445,1845.2364427882244,"C2 central interchange, direction-balanced",5.361813678107164
1024,Shoreditch High Street,1,13.0,0.3249230769230769,0.1360769230769231,11.112076923076923,0.43407692307692314,46.46861538461538,20149.600232397905,0.7457680290843851,0.49805001746175265,0.19582521338884185,0.45506905338964826,0.31198094157683254,0.3652920373778359,0.05633499590478268,0.19755633009477488,0.04733046674312285,0.3650716898072442,0.1708779882783096,0.45691156638809216,0.3182357005896582,0.05397474474393993,0.10488240961775136,0.07988248205358749,0.044806773215679496,0.06615318547496576,0.18304916606662364,0.06615318547496576,0.03218776511961666,0.04326878911798986,0.10759261182901705,0.08550658018808951,0.02598046275267938,0.034828602506962146,0.012543326757165792,0.08804745263421418,0.04551949186699062,0.11546684309601862,0.1334030838066546,0.14466872958007562,0.11721163389934984,0.10771963103541181,0.06250392500557053,713.5384615384615,1.603661249069846,40525.0,324.22817533511767,3244.4401243706234,1984.475264797957,3716.0981016599562,11401.814305741069,11541.610570830526,1083.466091096068,2251.241015190194,6634.238850030471,C1 central departure-oriented,6.571636825925984
1039,Rotherhithe,4,8.0,0.23875,0.11937500000000001,12.24125,0.17025,24.224,13952.090130938244,0.5992439051264602,0.47801324436312564,0.1696322257325828,0.3500046282791137,0.35619877731493876,0.1294412402458503,0.1411688685905569,0.21735853878902772,0.07465211986378226,0.32387002615030014,0.17482911776436988,0.3692608950674586,0.37562571795034916,0.0802842692178222,0.09557568749044872,0.08954378738550159,0.04187876867624167,0.05384087294991791,0.18149456719670357,0.05384087294991791,0.037911113434473884,0.05297451775616774,0.09060893600606186,0.12002340446965155,0.0246532443245275,0.04575562359728698,0.0055,0.09237499999999998,0.00975,0.17772321428571428,0.10292261904761904,0.09804761904761904,0.2225297619047619,0.09591666666666666,0.020098214285714275,54.125,1.7467821075343357,481.25,21.782340588060332,327.4422807857911,29.59715074566409,408.44033192888287,178.90027371861873,209.81726893666317,348.9685573131113,322.47009077104985,41.60560089627249,C4 inner-middle ring mixed,4.00960333376701
1082,Shadwell LO,4,18.0,0.45866666666666667,0.16444444444444445,17.6045,0.3147777777777778,36.888111111111115,25248.805684222472,0.6575093385994388,0.5963629463646661,0.24884694090360768,0.3685982251646305,0.38553926477334705,0.5271341072390244,0.05483965223775217,0.29735952016644834,0.05958090703129573,0.31528060125952495,0.24473326945459536,0.34554637738593913,0.3410474495084288,0.06867290365103666,0.08210226825790684,0.11954119602642484,0.046130266528302086,0.09723551742122014,0.22553941208760542,0.09723551742122014,0.05246278911706992,0.05106737334029799,0.1220092496302374,0.11460490722896349,0.01696566929965402,0.04271219635795462,0.012980599647266305,0.17242835097001763,0.007923280423280407,0.10427689594356257,0.05502314814814814,0.10610670194003526,0.14491622574955904,0.1026432980599647,0.10136463844797176,61.72222222222222,1.7402076757024298,519.4444444444445,125.73958527905853,1253.5857605374235,63.58306330156045,614.0233366912827,269.8168001711623,620.529750225173,667.4218333746292,436.3869848047692,694.3619639718852,C4 inner-middle ring mixed,4.138715806253497
1083,Surrey Quays,4,14.0,0.25357142857142856,0.11907142857142856,12.921142857142858,0.25807142857142856,26.983071428571424,15123.00101995266,0.6466690943038123,0.5240911106866796,0.2043166187111459,0.3688348521176565,0.3558398626742152,0.13047845283754053,0.21496292973937456,0.22884599128729985,0.08095178533774804,0.33427299093278356,0.18654630486731713,0.3882253925946748,0.36380449985662056,0.06142380268138741,0.09270770076557329,0.0919422103759755,0.049481596860179035,0.08332721896225337,0.21171506469457757,0.08332721896225337,0.03834508184781497,0.06522916604333497,0.10814081680342755,0.1255300750679773,0.022638300952784223,0.044128424649902444,0.06540476190476188,0.1448690476190476,0.04739682539682539,0.10492063492063489,0.08699603174603174,0.07978571428571427,0.05920634920634921,0.11215079365079365,0.08732936507936506,59.857142857142854,1.7419740847410883,621.4285714285714,292.1931813233067,591.6862184237851,142.57546931128192,323.56115248127963,357.86304779401013,360.80977110418024,211.84254559995824,692.2193728327466,306.0216386819214,C4 inner-middle ring mixed,4.108529197214057
1085,Wapping,4,8.0,0.236,0.09625,7.454375,-0.15987500000000002,30.95225,12867.42780713012,0.6212443595336642,0.4418138654522065,0.14059836694914896,0.4272034188466502,0.23389587875691176,0.2681872328789034,0.05792514577484099,0.20483621366552965,0.04976381367692452,0.35397991375820465,0.17331380909504057,0.3822884174986252,0.3785384281219174,0.06585934528441678,0.09987327769211976,0.08144205812880845,0.03939291600286336,0.0524719707041998,0.16089700880399935,0.0524719707041998,0.035213206850109674,0.04143537065061879,0.08424843130327078,0.08990669475883378,0.021366075771091463,0.034037920147687924,0.005618686868686862,0.10014790764790762,0.0197330447330447,0.13138888888888886,0.09959415584415582,0.1747826479076479,0.10176767676767674,0.05908639971139967,0.1184938672438672,76.625,1.8784324049059187,1812.5,112.90350805349857,496.4095228309463,298.9126319884772,742.2387455364765,784.2882197645104,1807.593621270119,782.4798544588144,311.9222308993956,874.7519647540223,C4 inner-middle ring mixed,4.351889540253643
1335,Barking Riverside,0,5.0,0.3874000000000001,0.1424,13.002,0.071,12.2546,5229.516978426486,0.28533640551082967,0.48453931133599076,0.1654483013714268,0.20860665209983967,0.34892359889854097,0.23482383475895116,0.36365855238951966,0.551737612236179,0.15762349055871808,0.20251934176109937,0.3545874819707813,0.25128560693226226,0.36842393186386424,0.0257029792330921,0.11930587440788074,0.13512817320138693,0.05179068486068268,0.05456290740831589,0.28930307897373425,0.05456290740831589,0.08162611512102239,0.08071081216980852,0.1269661516829032,0.18103565415419365,0.026108476013750836,0.050281084179278145,0.07527777777777778,0.2427083333333333,0.2767708333333333,0.014652777777777749,0.00434027777777775,0.016805555555555525,0.04791666666666665,0.014131944444444426,0.10534722222222218,120.6,1.648044751607396,1810.0,353.4633007020143,1194.366571525375,1710.5477914843389,58.18764512097907,16.87959059468277,58.47816044678996,252.11672882281937,81.2215008359843,252.84763111661564,C0 outer arrival-oriented,4.800736969532067
1398,Hatch End,2,8.0,0.16175,0.080125,6.367749999999999,-1.07925,20.640749999999997,3414.797593705962,0.1516625063890702,0.459183737052921,0.13510593109864955,0.1820857635944082,0.09554448581278567,0.43951075810986606,0.0671685640420384,0.3408116261074186,0.04180927677853165,0.20168293026573572,0.22923128245072502,0.15239047392301286,0.3997844942816322,0.21859374934462975,0.13837479904287883,0.10747118521109919,0.02898406359276029,0.033847054685842703,0.2253639736330531,0.033847054685842703,0.046027555884355184,0.04591119904859354,0.13342521870010426,0.1406121171727046,0.03544070021967252,0.044986815047509884,0.0,0.12730654761904758,0.008606150793650775,0.07641369047619045,0.06016865079365076,0.09960317460317458,0.16879960317460313,0.15287698412698408,0.0200644841269841,56.125,1.6070912164284776,350.0,0.0,94.22799581551219,10.07607040949057,97.431778682628,31.52568438790841,65.56403956684201,135.80525747720284,91.40912065770897,15.374992098553491,"C2 central interchange, direction-balanced",4.045241849214369
1404,Acton Central,2,18.0,0.29355555555555557,0.1435,9.377888888888888,-0.18544444444444444,34.01744444444444,14320.999522841017,0.47841993696602825,0.5105817269331178,0.1905220805777193,0.3575040729782455,0.2411086354326945,0.1203132799881702,0.12879063065134966,0.29148059051584585,0.07202669764527174,0.32410402069264116,0.22726744795005654,0.2630146185059806,0.4082326490747687,0.10148528446919391,0.13549981579988138,0.10114213528990884,0.044955015309183596,0.06709859152140395,0.2293931255960594,0.06709859152140395,0.04173389417304317,0.058809726015500545,0.12884950540751558,0.1136772039493913,0.03676079605912255,0.03358678572010455,0.012407407407407405,0.17359788359788358,0.022548500881834202,0.052742504409171054,0.06342592592592591,0.10661375661375659,0.07974867724867724,0.15157407407407403,0.07288800705467369,57.5,1.6384936091248183,466.6666666666667,157.22231354258395,780.5364189880727,65.04506039583497,195.2552918251359,173.65643848625717,194.57730199707254,129.9871922249455,310.91586169338365,220.05296070991545,"C2 central interchange, direction-balanced",4.069026754237811
