MSOA11CD,rail_entry_total,rail_exit_total,bus_alighting_total,bus_boarding_total,origin_total,destination_total
E02000072,0.0,0.0,814.12415,670.60205,670.60205,814.12415
E02000073,0.0,0.0,822.26816,584.82967,584.82967,822.26816
E02000074,0.0,0.0,155.76892,67.73653,67.73653,155.76892
E02000075,0.0,0.0,272.59026,99.21931,99.21931,272.59026
E02000077,0.0,0.0,223.90354,135.87444,135.87444,223.90354
E02000078,0.0,0.0,435.41853,337.37015,337.37015,435.41853
E02000079,0.0,0.0,3714.23142,3470.85409,3470.85409,3714.23142
E02000080,0.0,0.0,1672.29621,1476.33839,1476.33839,1672.29621
E02000081,0.0,0.0,283.60104,191.15132,191.15132,283.60104
E02000082,0.0,0.0,234.97211,149.40217,149.40217,234.97211
E02000083,0.0,0.0,507.42548,535.08794,535.08794,507.42548
E02000084,0.0,0.0,256.57471,202.98614,202.98614,256.57471
E02000085,0.0,0.0,483.27869,333.02676,333.02676,483.27869
E02000086,0.0,0.0,108.69673,58.931869999999996,58.931869999999996,108.69673
E02000087,0.0,0.0,405.94536,394.14292,394.14292,405.94536
E02000088,0.0,0.0,176.68475999999998,105.39952,105.39952,176.68475999999998
E02000089,0.0,0.0,164.50668,91.88332,91.88332,164.50668
E02000090,0.0,0.0,1500.02258,1638.76537,1638.76537,1500.02258
E02000091,0.0,0.0,886.34783,701.55573,701.55573,886.34783
E02000092,0.0,0.0,565.44487,423.1743,423.1743,565.44487
E02000093,765.4443808000001,2420.2229665580003,1278.38025,1540.53241,2305.9767908000003,3698.603216558
E02000094,0.0,0.0,1945.78101,1459.63023,1459.63023,1945.78101
E02000095,884.0226905313001,2621.9550098586,2563.7188699999997,2667.06736,3551.0900505313,5185.673879858599
E02000096,0.0,0.0,903.15623,355.16809,355.16809,903.15623
E02000097,0.0,0.0,1811.76315,1111.11357,1111.11357,1811.76315
E02000098,0.0,0.0,804.39207,599.53752,599.53752,804.39207
E02000099,470.48650770917743,1863.9663210610001,265.76071,301.34276,771.8292677091774,2129.727031061
E02000100,1860.4053580317538,3179.277227773566,1137.3269599999999,1374.63774,3235.0430980317537,4316.604187773566
E02000101,0.0,0.0,2976.61688,3363.0527899999997,3363.0527899999997,2976.61688
E02000102,0.0,0.0,862.38459,503.68584999999996,503.68584999999996,862.38459
E02000103,0.0,0.0,1849.11794,1072.43991,1072.43991,1849.11794
E02000104,4391.38305973,9827.04273692,826.28646,679.04852,5070.4315797300005,10653.32919692
E02000105,324.0880332081747,913.4516684685884,2607.90968,1807.50157,2131.5896032081746,3521.3613484685884
E02000106,597.6279243752559,1606.9300155600001,1983.67428,1436.6444099999999,2034.272334375256,3590.60429556
E02000107,0.0,0.0,1366.44611,929.92758,929.92758,1366.44611
E02000108,351.63181709305,1145.059091653275,243.25928000000002,119.87227999999999,471.50409709305,1388.3183716532749
E02000109,0.0,0.0,986.9083,1158.27425,1158.27425,986.9083
E02000110,763.64245186,2002.7351907220002,150.06503,110.77989,874.4223418600001,2152.800220722
E02000111,1479.3027827140513,2997.4480772124,6233.4638,5830.58129,7309.884072714051,9230.9118772124
E02000112,700.622278059,1716.6600907600002,3311.03288,2823.45689,3524.079168059,5027.69297076
E02000113,0.0,0.0,1452.71782,1139.96598,1139.96598,1452.71782
E02000114,1266.47252062,4329.695841112,1715.09961,1636.6948,2903.1673206200003,6044.795451112001
E02000115,1605.5860267284834,3584.5866170336417,274.47131,153.95625,1759.5422767284833,3859.0579270336416
E02000116,0.0,0.0,3750.46642,2501.69078,2501.69078,3750.46642
E02000117,0.0,0.0,1499.03655,860.81922,860.81922,1499.03655
