stoparea_unit_code,lsoa,unit_easting,unit_northing,activity,dist_m,nearest_rail_nlc,nearest_rail_cluster,dist_centre_m
AREA::490G00000343,E01000524,521750.0,183366.0,1101.99965,420.4184469284845,766,4,8805.389315640734
AREA::490G00000346,E01034221,538435.0,183920.0,19.54132,355.42158066161375,749,3,9115.992650282249
AREA::490G00000347,E01003039,529241.0,175487.0,125.55953,302.85760292433656,547,3,4957.830674801228
AREA::490G00000348,E01000441,550209.0,176912.0,148.5459,3574.735079539269,5131,4,20471.067045955373
AREA::490G00000349,E01002248,550854.0,187409.0,569.27512,1189.5928925476985,6886,4,21974.19359157464
AREA::490G00000350,E01000914,530560.0,181433.0,5072.16713,103.80342195347207,607,1,1176.1717561648893
AREA::490G00000351,E01004661,527590.0,181892.0,2483.79779,146.5561062050506,641,4,2873.3703207209473
AREA::490G00000352,E01001953,525225.0,177242.0,4854.88196,237.25164769581073,581,4,5742.804367205973
AREA::490G00000353,E01034153,528383.0,166081.0,288.70425,3703.8948325448446,647,4,14394.992219518565
AREA::490G00000354,E01000099,547741.0,187001.0,162.06159,615.3015520864546,6874,0,18904.027322240094
AREA::490G00000355,E01032574,533400.0,192110.0,15.84438,607.6322901228999,6972,0,12202.43406046515
AREA::490G00000356,E01000855,529853.0,181481.0,639.70448,105.44281756116229,728,1,1114.7919088332135
AREA::490G00000372,E01004735,530760.0,181040.0,984.90984,309.3800115661603,724,1,980.4881437324982
AREA::490G00000374,E01000261,522358.0,192881.0,56.39147,2212.4382092560395,643,0,14668.707373180501
AREA::490G00000375,E01000301,525570.0,192020.0,15.82484,393.77462351765354,756,0,12465.697613852182
AREA::490G00000378,E01001543,533365.0,197301.0,12.12909,829.6723750975442,6959,0,17244.766191514456
AREA::490G00000390,E01001777,533456.0,183305.0,951.4975000000001,233.448602480289,1023,2,4501.095422227793
AREA::490G00000399,E01035718,527944.0,180878.0,10499.55429,140.40444278414373,640,2,2148.2804751707818
AREA::490G000004,E01003442,523182.0,170217.0,19.54715,1684.3194178443719,767,0,12257.928046778541
