,direction_balance,weekend_common_ratio,night_tube_extension_share,common_window_persistence,total_activity
C2b night-origin core (n=16),0.40177691529299453,0.918712608399008,0.03470532679045667,0.046710671249041616,107529.99899033038
C2a remainder (n=66),0.10807694542835954,0.7989308808553004,0.013105527182585498,0.03944937684024006,51745.823775392826
all 404 stations,-0.24854741973697,0.7935425025255408,0.028279794059959472,0.058139147333463,29603.264857762944
