K,reference_cluster,runs,jaccard_mean,jaccard_sd,jaccard_median,jaccard_q025,jaccard_q975,jaccard_min,jaccard_max,share_exact_jaccard_1
5,0,20,0.8896372736809628,0.08817598061762294,0.8987628865979381,0.7010677083333333,0.9888888888888889,0.671875,0.9888888888888889,0.0
5,1,20,0.7259753183001236,0.1974532148630528,0.698005698005698,0.2823414905450501,0.9629629629629629,0.22580645161290322,0.9629629629629629,0.0
5,2,20,0.85810729773195,0.13118475611823835,0.8556701030927835,0.5421701528559936,0.9837271062271062,0.5309734513274337,0.9888888888888889,0.0
5,3,20,0.8897650904203322,0.05468908485052812,0.8910068426197458,0.7967008797653958,0.967741935483871,0.7878787878787878,0.967741935483871,0.0
5,4,20,0.919702027582162,0.05952467224498462,0.9211012311901505,0.784375,0.9880952380952381,0.7663043478260869,0.9880952380952381,0.0
6,0,20,0.6102852029565523,0.24771353843560884,0.625879917184265,0.2576675404604513,0.9780769230769231,0.21495327102803738,1.0,0.05
6,1,20,0.6758142852579875,0.23814720301926645,0.6579768270944741,0.19835164835164837,1.0,0.0,1.0,0.1
6,2,20,0.554214234462681,0.28075630790442435,0.5222222222222221,0.1363861386138614,0.9934027777777777,0.0,1.0,0.05
6,3,20,0.6685300086853962,0.17694090503546855,0.5789473684210527,0.47058823529411764,1.0,0.47058823529411764,1.0,0.15
6,4,20,0.7540837332216643,0.2390379730980608,0.8928571428571429,0.39177350427350427,1.0,0.35185185185185186,1.0,0.2
6,5,20,0.8099353420610234,0.1384602051470483,0.8057142857142857,0.5434026402640264,1.0,0.5244444444444445,1.0,0.1
