K,cluster,n,silhouette_mean,silhouette_sd,silhouette_median,silhouette_q025,silhouette_q975,silhouette_min,silhouette_max,negative_share
5,0,89,0.024843042785254458,0.0862352357379405,0.019627883863421236,-0.11350462857291195,0.18209640326501825,-0.16039288964966397,0.2318118838356778,0.42696629213483145
5,1,26,-0.06259998244759986,0.10799429716923459,-0.08469450129790443,-0.2335331647778669,0.11931914598059308,-0.2777371439508537,0.13928934802274495,0.6923076923076923
5,2,90,0.026428906025129907,0.09981712193187513,0.03315830887538557,-0.14852958232745492,0.19317289810788513,-0.16376857263211766,0.21175450833723836,0.4222222222222222
5,3,31,0.01639335505444656,0.07764018854750589,0.02631654630531932,-0.11184100738685135,0.13306218714876233,-0.1867956493496359,0.1705828473210342,0.45161290322580644
5,4,167,0.2303223556703338,0.0896132210873702,0.2230560881535976,0.057522470290853424,0.40119978280276003,0.016941923764885854,0.41907682883721015,0.0
7,0,27,0.1016931613238753,0.08638553832940862,0.11841542398433498,-0.08383806075214106,0.2260544546505698,-0.09029594708040695,0.2327425359884388,0.14814814814814814
7,1,53,0.03735774214413745,0.0777495147918007,0.03560955894709514,-0.09083836075521541,0.17325544642374507,-0.13026751589351274,0.1808996417763176,0.3584905660377358
7,2,20,0.030426541140353036,0.1385524058723159,0.04461527998476522,-0.15164451227827105,0.23511458571278007,-0.16365772999111497,0.26576852807742246,0.45
7,3,37,0.0861482349786351,0.08680642612360462,0.07755623166924605,-0.06597776521508439,0.23775849544134542,-0.06941279893964412,0.24378405555162533,0.1891891891891892
7,4,83,0.044525874393891766,0.08660569403113388,0.037040410515768785,-0.08133919780053292,0.19422991516646013,-0.13441783560852918,0.2483033708093751,0.3373493975903614
7,5,155,0.2035282647257431,0.09214740711589693,0.20227861909965722,0.03612234611050754,0.37550306483049367,-0.01964471716175702,0.4020646402280147,0.0064516129032258064
7,6,28,0.18803114159493473,0.16839787750074273,0.21248223093839608,-0.15561150444382402,0.39809925499727655,-0.16708560436539077,0.39822512948641636,0.14285714285714285
