mode_group,0,1,2,3,4
LU only,0.2324561403508772,0.07456140350877193,0.16666666666666666,0.04824561403508772,0.4780701754385965
LU + other mode (interchange),0.11904761904761904,0.14285714285714285,0.2857142857142857,0.023809523809523808,0.42857142857142855
DLR-only,0.05263157894736842,0.02631578947368421,0.15789473684210525,0.4473684210526316,0.3157894736842105
Overground-only,0.3108108108108108,0.02702702702702703,0.4594594594594595,0.02702702702702703,0.17567567567567569
Elizabeth line-only,0.29411764705882354,0.0,0.0,0.0,0.7058823529411765
"other non-LU mix (DLR,EZL)",0.0,0.0,0.0,0.0,1.0
"other non-LU mix (DLR,LO)",0.0,0.0,0.0,0.0,1.0
"other non-LU mix (EZL,LO)",0.0,0.0,0.0,0.0,1.0
"other non-LU mix (LO,TRM)",1.0,0.0,0.0,0.0,0.0
