K,reference_cluster,replicates,jaccard_mean,jaccard_sd,jaccard_median,jaccard_q025,jaccard_q975,jaccard_min,jaccard_max,recall_mean,recall_sd,recall_median,recall_q025,recall_q975,recall_min,recall_max,precision_mean,precision_sd,precision_median,precision_q025,precision_q975,precision_min,precision_max,share_jaccard_below_0_50,share_jaccard_at_least_0_75
5,0,200,0.5039429986252008,0.22308629499837013,0.5204849498327759,0.0,0.8372809729952588,0.0,0.967391304347826,0.6538202247191011,0.30579429398462676,0.7078651685393258,0.0,1.0,0.0,1.0,0.7247414746877814,0.24773334973491057,0.7744565217391304,0.0,1.0,0.0,1.0,0.48,0.13
5,1,200,0.3991648679647751,0.15450681407713204,0.39767441860465114,0.038461538461538464,0.6666666666666666,0.0,0.7307692307692307,0.5705769230769231,0.2046709547154701,0.6153846153846154,0.038461538461538464,0.9230769230769231,0.0,1.0,0.6297891506505641,0.23908771356282313,0.5882352941176471,0.21544117647058825,1.0,0.0,1.0,0.725,0.0
5,2,200,0.4975514279894185,0.18957825968716574,0.5154503105590063,0.12999815905743745,0.8200882352941177,0.0,0.8350515463917526,0.5941666666666667,0.21957573428414112,0.6277777777777778,0.1866666666666667,0.9333333333333333,0.0,0.9555555555555556,0.7352131947015647,0.14408537637066196,0.7613871635610766,0.33971428571428575,0.8977524453394706,0.0,0.9204545454545454,0.48,0.105
5,3,200,0.4599491277281861,0.2354358692695221,0.4264069264069264,0.0,0.8752678571428572,0.0,0.9117647058823529,0.7009677419354838,0.24600258875316133,0.7741935483870968,0.0,1.0,0.0,1.0,0.5519344846624924,0.27677225431610597,0.5108747044917257,0.0,0.9663793103448278,0.0,1.0,0.58,0.15
5,4,200,0.6381982464445136,0.15845400671187726,0.6477574174590865,0.3121330824495382,0.9022452635414137,0.2222222222222222,0.9371428571428572,0.7896107784431138,0.16099398736559276,0.8263473053892215,0.3947604790419162,0.9880239520958084,0.25149700598802394,0.9940119760479041,0.762384158810203,0.11578679006529109,0.7559403669724771,0.5696388888888888,0.9716601534230713,0.49122807017543857,0.9935064935064936,0.215,0.28
7,0,200,0.41440696482523465,0.19100110994417543,0.4095860566448801,0.0,0.8215825123152709,0.0,0.8620689655172413,0.6438888888888888,0.22812161642265885,0.6666666666666666,0.0,0.9259259259259259,0.0,1.0,0.5328783526123833,0.24188831752441883,0.5326241134751772,0.0,1.0,0.0,1.0,0.695,0.07
7,1,200,0.4075869043537068,0.19484712464228407,0.4134763476347635,0.0,0.7540133779264215,0.0,0.819672131147541,0.6158490566037735,0.24696116788014716,0.6792452830188679,0.0,0.9433962264150944,0.0,0.9811320754716981,0.5155881913805935,0.2154523804167934,0.5310570987654322,0.0,0.8629130747126438,0.0,1.0,0.69,0.035
7,2,200,0.5011393417765135,0.22454598874430104,0.5,0.049642857142857155,0.8636363636363636,0.0,0.9090909090909091,0.6465000000000001,0.27347349048856634,0.7,0.05,1.0,0.0,1.0,0.7492846173109787,0.24443551431914073,0.8110119047619048,0.23129340277777785,1.0,0.0,1.0,0.47,0.175
7,3,200,0.2441101934667805,0.1917060225337772,0.26600404312668463,0.0,0.5883937198067637,0.0,0.7045454545454546,0.39432432432432435,0.29424961203973893,0.43243243243243246,0.0,0.8918918918918919,0.0,1.0,0.3592975436110231,0.27925631180048777,0.3761792452830189,0.0,0.8828747628083492,0.0,1.0,0.88,0.0
7,4,200,0.5125452523721186,0.16677244708301728,0.4981481481481481,0.23545390704800817,0.825477878006873,0.0,0.8953488372093024,0.615722891566265,0.21696583278016474,0.6024096385542169,0.24066265060240966,0.9879518072289156,0.0,1.0,0.8097466865270546,0.18713489093241442,0.8734506197520991,0.43360321345634845,1.0,0.0,1.0,0.5,0.095
7,5,200,0.6303789583229108,0.14227327552429433,0.6427977071005917,0.37222988319273204,0.8625838414634147,0.0,0.9141104294478528,0.747967741935484,0.1460133808530484,0.7741935483870968,0.4509677419354839,0.9550000000000001,0.0,0.9870967741935484,0.7909632317621303,0.11681439678718619,0.8109172164290275,0.5731657877389584,0.9492393346469322,0.0,0.9714285714285714,0.195,0.23
7,6,200,0.6197589839753594,0.21623854340000018,0.6666666666666666,0.0,0.9286330049261085,0.0,0.9655172413793104,0.7778571428571428,0.2072093489341499,0.8571428571428571,0.0,1.0,0.0,1.0,0.7412025006705312,0.23673447536360898,0.8198051948051948,0.0,1.0,0.0,1.0,0.265,0.35
