reference_cluster,matched_candidate_cluster,intersection,reference_size,candidate_size,jaccard,recall,precision
0,1,62,89,69,0.6458333333333334,0.6966292134831461,0.8985507246376812
1,3,13,26,14,0.48148148148148145,0.5,0.9285714285714286
2,0,48,90,63,0.45714285714285713,0.5333333333333333,0.7619047619047619
3,4,28,31,28,0.9032258064516129,0.9032258064516129,1.0
4,5,145,167,158,0.8055555555555556,0.8682634730538922,0.9177215189873418
