run,seed,K,adjusted_rand_index,BIC,converged,n_iter,convergence_warnings
1,10043,5,0.9791656799671387,-1899562.567374716,True,22,0
1,10043,7,0.7204342965336715,-1898081.5605530282,True,41,0
2,10044,5,0.7487813001921519,-1899633.7749893425,True,23,0
2,10044,7,0.7135870453534106,-1898205.1385647983,True,19,0
3,10045,5,0.8887392444464683,-1899544.8930019434,True,31,0
3,10045,7,0.34178642383930197,-1897887.7376961093,True,22,0
4,10046,5,0.9748531483261543,-1899677.6719028396,True,28,0
4,10046,7,0.7714320944214298,-1898259.021772804,True,11,0
5,10047,5,0.9697165385069174,-1899707.1054873096,True,23,0
5,10047,7,0.6195633694372248,-1897837.3177279562,True,77,0
6,10048,5,0.5821719347905637,-1899739.1025980036,True,65,0
6,10048,7,0.37818382877896894,-1898360.3133526011,True,34,0
7,10049,5,0.9053501467462998,-1899839.8215954348,True,36,0
7,10049,7,0.43774871480752553,-1898652.3484139082,True,22,0
8,10050,5,0.6389381673095723,-1899896.6787537513,True,38,0
8,10050,7,0.44378560112501597,-1898434.3450019748,True,54,0
9,10051,5,0.8629914693291569,-1899628.931618161,True,51,0
9,10051,7,0.5842880790427769,-1897936.7801435802,True,7,0
10,10052,5,0.9748220638062332,-1899650.6437314635,True,25,0
10,10052,7,0.547336427370281,-1898604.5164736817,True,33,0
11,10053,5,0.8322844676813973,-1899577.316660066,True,29,0
11,10053,7,0.3918415294491427,-1898014.3465531091,True,31,0
12,10054,5,0.9124937359216039,-1899538.924241628,True,19,0
12,10054,7,0.6877977669763919,-1898125.022571926,True,11,0
13,10055,5,0.9152658339302565,-1899734.6604349494,True,34,0
13,10055,7,0.6590824237661475,-1898036.8304129508,True,25,0
14,10056,5,0.7969823472524183,-1899621.2816213102,True,26,0
14,10056,7,0.7064289089206609,-1898272.97138802,True,21,0
15,10057,5,0.8202410316592662,-1899462.6640144673,True,15,0
15,10057,7,0.741754878133167,-1898346.8561706978,True,34,0
16,10058,5,0.8236267701227866,-1899511.1324697535,True,15,0
16,10058,7,0.38909760523557413,-1898355.290028788,True,42,0
17,10059,5,0.9508697642214653,-1899744.6163199474,True,16,0
17,10059,7,0.44378560112501597,-1898434.3792572152,True,49,0
18,10060,5,0.843507203950471,-1899581.7432020064,True,30,0
18,10060,7,0.38633888701742053,-1898259.3000901942,True,37,0
19,10061,5,0.7921275896183783,-1899568.1828338883,True,27,0
19,10061,7,0.8066735187137022,-1898157.2179865083,True,10,0
20,10062,5,0.9741434939583633,-1899606.0111649537,True,28,0
20,10062,7,0.415908576780258,-1898643.9479077552,True,32,0
