unit,k5,k6,Station,mode_label,lon,lat,best_matched_k6_for_k5,follows_best_match
1022,4,5,Haggerston,LO,-0.07559,51.53847,5,True
1023,2,0,Hoxton,LO,-0.07578,51.531025,0,True
1024,1,0,Shoreditch High Street,LO,-0.07543,51.52348,3,False
1039,4,5,Rotherhithe,LO,-0.05209,51.50075,5,True
1082,4,5,Shadwell LO,"DLR,LO",-0.056155,51.511425,5,True
1083,4,5,Surrey Quays,LO,-0.048065,51.493495,5,True
1085,4,5,Wapping,LO,-0.05599,51.50438,5,True
1335,0,2,Barking Riverside,LO,0.116295,51.51944,1,False
1398,2,0,Hatch End,LO,-0.36885,51.6093,0,True
1404,2,2,Acton Central,LO,-0.263055,51.50877,0,False
1409,2,2,Gospel Oak,LO,-0.151,51.55511,0,False
1413,2,2,Hampstead Heath,LO,-0.16573,51.55541,0,False
1415,2,5,Kilburn High Road,LO,-0.19262,51.53739,0,False
1429,2,0,Dalston Kingsland,LO,-0.0757,51.54822,0,True
1434,4,5,Headstone Lane,LO,-0.356925,51.60255,5,True
1437,2,2,Brondesbury,LO,-0.20193,51.54525,0,False
1438,2,2,Brondesbury Park,LO,-0.2099,51.54093,0,False
1439,2,0,Caledonian Road & Barnsbury,LO,-0.11563,51.54317,0,True
1440,2,0,Camden Road,LO,-0.1386,51.54169,0,True
1441,4,5,Canonbury,LO,-0.09195,51.54872,5,True
1443,3,4,Dalston Junction,LO,-0.075265,51.545795,4,True
1445,2,2,Finchley Road & Frognal,LO,-0.1828,51.5502,0,False
1448,2,2,Kensal Rise,LO,-0.2198,51.534575,0,False
1449,2,0,Kentish Town West,LO,-0.14652,51.54643,0,True
1451,1,3,South Hampstead,LO,-0.17937,51.54147,3,True
1452,0,2,South Acton,LO,-0.2704649999999999,51.499345,1,False
1524,2,2,Upper Holloway,LO,-0.12948,51.56386,0,False
3000,4,5,Acton Main Line,EZL,-0.2670249999999999,51.51706,5,True
3174,4,2,West Drayton,EZL,-0.472285,51.509845,5,False
3186,4,5,Hayes & Harlington,EZL,-0.42038,51.503215,5,True
3187,0,2,Southall,EZL,-0.37874,51.50586,1,False
3188,4,1,West Ealing,EZL,-0.31994,51.51358,5,False
3191,4,1,Hanwell,EZL,-0.338395,51.51179,5,False
500,4,5,Acton Town,LU,-0.2800217640856027,51.50264555083834,5,True
501,2,0,Barbican,LU,-0.0987999629121527,51.520208600153815,0,True
502,2,0,Aldgate,LU,-0.0758489668880275,51.51449244157986,0,True
503,2,0,Aldgate East,LU,-0.07115364166807,51.51542691621208,0,True
