K,reference_cluster,replicates,jaccard_mean,jaccard_sd,jaccard_median,jaccard_q025,jaccard_q975,jaccard_min,jaccard_max,recall_mean,recall_sd,recall_median,recall_q025,recall_q975,recall_min,recall_max,precision_mean,precision_sd,precision_median,precision_q025,precision_q975,precision_min,precision_max,share_jaccard_below_0_50,share_jaccard_at_least_0_75
6,0,200,0.3800350014789018,0.15822003074133303,0.3842493355054446,0.0,0.6604544629898403,0.0,0.7777777777777778,0.5183720930232557,0.19472616709480317,0.5348837209302325,0.0,0.8372093023255814,0.0,0.9186046511627907,0.5657088603006536,0.18221135653264398,0.6167298163800641,0.0,0.7900775862068966,0.0,1.0,0.775,0.005
6,1,200,0.46183382369011766,0.16926616595804028,0.47320574162679424,0.0,0.7340789473684212,0.0,0.8529411764705882,0.6281818181818182,0.2205825412038093,0.6363636363636364,0.0,0.9696969696969697,0.0,1.0,0.6559082541113004,0.21833072177806323,0.6966632962588473,0.0,0.9565217391304348,0.0,1.0,0.54,0.025
6,2,200,0.4773967009854263,0.159410477982912,0.49803149606299213,0.14356957649092486,0.7412037598544573,0.0,0.8674698795180723,0.6567948717948718,0.23303626482418657,0.6538461538461539,0.16442307692307695,1.0,0.0,1.0,0.6630702698856246,0.19408937327393858,0.6682847896440129,0.358673163418291,0.9512195121951219,0.0,0.9636363636363636,0.5,0.015
6,3,200,0.6414480015308337,0.15012341691548534,0.6595980595980596,0.33827728685976105,0.8526716051547295,0.0,0.9534883720930233,0.7760882352941176,0.1635242037892663,0.8029411764705883,0.42323529411764704,0.9941176470588236,0.0,1.0,0.7757403580331205,0.10520454626460642,0.7895712282107794,0.5769,0.9456530612244899,0.0,0.9879518072289156,0.195,0.27
6,4,200,0.21383493806248105,0.1562816086751134,0.20256410256410257,0.0,0.5512500000000004,0.0,0.8125,0.3907692307692308,0.2550507548978526,0.38461538461538464,0.0,0.8461538461538461,0.0,1.0,0.42085697333337313,0.31221026630832055,0.3568181818181818,0.0,1.0,0.0,1.0,0.95,0.01
6,5,200,0.399144510685677,0.14225408311514262,0.4043040293040293,0.14625435540069687,0.706159822419534,0.0,0.7647058823529411,0.536,0.21189089173440184,0.5,0.174375,0.975,0.0,1.0,0.6296468926898998,0.1711144347443273,0.6426783479349187,0.34961884961884965,0.9134316770186336,0.0,1.0,0.79,0.01
7,0,200,0.5469144568038848,0.19611437505027765,0.5882352941176471,0.0,0.8623922413793104,0.0,0.9655172413793104,0.7365517241379311,0.21683157844881368,0.7586206896551724,0.0,1.0,0.0,1.0,0.6745448631749621,0.24120192242041885,0.7333333333333333,0.0,1.0,0.0,1.0,0.34,0.12
7,1,200,0.6017082970531744,0.15769018468394927,0.5848471675665783,0.32836092383686005,0.8639366462552992,0.17647058823529413,0.8963730569948186,0.6911111111111111,0.16494013130096705,0.6944444444444444,0.37763888888888886,0.9611111111111111,0.2,0.9888888888888889,0.8104344788564881,0.09413099778064511,0.8073549257759784,0.6607024629237288,0.9680555555555556,0.48717948717948717,0.987012987012987,0.28,0.25
7,2,200,0.3227536787896549,0.18257067529503515,0.3430461711711712,0.0,0.6530612244897959,0.0,0.725,0.4419594594594595,0.24143773423098486,0.49324324324324326,0.0,0.8385135135135137,0.0,0.8918918918918919,0.5078793384930762,0.2323542495975295,0.5644809659567331,0.0,0.8214938239835308,0.0,0.90625,0.82,0.0
7,3,200,0.4630488119617041,0.1967226896664085,0.4444444444444444,0.0,0.8446099290780142,0.0,0.9285714285714286,0.7585714285714286,0.24681692426636465,0.8333333333333334,0.0,1.0,0.0,1.0,0.5675357365150634,0.24217405146390517,0.5104872881355932,0.0,0.9474937343358396,0.0,1.0,0.61,0.105
7,4,200,0.41198204816761885,0.16720850445258667,0.3870967741935484,0.058823529411764705,0.737468671679198,0.0,0.8421052631578947,0.6002941176470589,0.20345608165554982,0.6470588235294118,0.058823529411764705,0.9411764705882353,0.0,1.0,0.6243637389744907,0.2357241740619078,0.5904139433551199,0.2763888888888889,1.0,0.0,1.0,0.72,0.025
7,5,200,0.4170689442532263,0.18906418385886498,0.40540540540540543,0.0,0.7939655172413795,0.0,0.8928571428571429,0.5774074074074074,0.22611376526485436,0.5925925925925926,0.0,0.9259259259259259,0.0,1.0,0.5991082728348975,0.22955367932122667,0.6220238095238095,0.0,0.9335294117647059,0.0,1.0,0.695,0.04
7,6,200,0.3040818278660691,0.19754597467703572,0.3389169971284015,0.0,0.6430555555555556,0.0,0.7377049180327869,0.5212745098039215,0.3221675287339644,0.6470588235294118,0.0,0.9220588235294118,0.0,0.9803921568627451,0.3984167224349325,0.23652283566174953,0.43209876543209874,0.0,0.8573359073359074,0.0,1.0,0.84,0.0
