unit,k6,k7,Station,mode_label,lon,lat,best_matched_k7_for_k6,follows_best_match
538,3,1,Pontoon Dock,DLR,0.03338,51.50248,1,True
539,2,3,Chalfont & Latimer,LU,-0.5607234520464773,51.66803142622906,3,True
5397,2,1,Anerley,LO,-0.065865,51.412155,3,False
540,4,4,Chalk Farm,LU,-0.1526421476691667,51.54385835909765,4,True
5404,3,1,Brockley,LO,-0.03788,51.4644,1,True
541,5,0,Chancery Lane,LU,-0.1115693026029435,51.51824890350831,0,True
5411,2,6,West Croydon NR,"LO,TRM",-0.102305,51.378595,3,False
5418,3,1,Honor Oak Park,LO,-0.04587,51.44993,1,True
542,5,4,Embankment,LU,-0.1221695343079573,51.50745185655674,0,False
5421,2,6,Denmark Hill,LO,-0.08985,51.46817,3,False
5423,0,2,Peckham Rye,LO,-0.0694,51.47011,2,True
5424,3,1,Queens Road Peckham,LO,-0.05739,51.47382,1,True
543,2,3,Chesham,LU,-0.6109804023947352,51.70522161796168,3,True
5437,3,1,Sydenham,LO,-0.0543299999999999,51.42733333333333,1,True
544,2,3,Chigwell,LU,0.0755949749891976,51.61765286220907,3,True
545,3,6,Chiswick Park,LU,-0.2685715255005448,51.49466748590177,1,False
546,2,3,Chorleywood,LU,-0.5185530310182181,51.65429398451199,3,True
547,1,5,Clapham Common,LU,-0.1371925356673191,51.46221051259463,5,True
548,1,5,Clapham North,LU,-0.1293589507032176,51.46572960060881,5,True
549,3,1,Clapham South,LU,-0.1472124126324337,51.45323695245536,1,True
550,3,1,Cockfosters,LU,-0.1491631467827761,51.65152862765704,1,True
551,3,1,Colindale,LU,-0.2499380568695295,51.59544539419721,1,True
552,3,1,Colliers Wood,LU,-0.1780579960869715,51.41815971696416,1,True
553,5,4,Covent Garden,LU,-0.1243670278686055,51.513144508444505,0,False
554,2,3,Croxley,LU,-0.4417680549234005,51.6470771785801,3,True
555,2,6,Dagenham East,LU,0.1659760468145935,51.54416043622838,3,False
556,2,6,Dagenham Heathway,LU,0.1475191734684776,51.54161732780605,3,False
557,2,3,Debden,LU,0.0837668965623632,51.6453918793904,3,True
558,3,1,Dollis Hill,LU,-0.2390407657243789,51.55196194099086,1,True
559,1,5,West Silvertown,DLR,0.02275,51.50285,5,True
5595,0,2,Clapham Junction,LO,-0.1699499999999999,51.46443333333334,2,True
560,3,1,Ealing Broadway,"EZL,LU",-0.301005548648285,51.51500454109758,1,True
561,3,1,Ealing Common,LU,-0.2881437733169945,51.50954325566993,1,True
562,3,2,Earl's Court,LU,-0.1931754026297784,51.49198454803539,1,False
563,3,1,East Acton,LU,-0.2471625219934364,51.51659745054098,1,True
564,2,1,Eastcote,LU,-0.3973680168635398,51.576511969832765,3,False
565,3,1,East Finchley,LU,-0.1650441219039346,51.58715402026014,1,True
566,3,1,East Ham,LU,0.052826568311649,51.53940709913807,1,True
567,3,1,East Putney,LU,-0.2110636822805433,51.459149587092405,1,True
568,3,1,Edgware,LU,-0.2747777712374005,51.61360827412279,1,True
569,0,2,Edgware Road (DIS),LU,-0.1677731663889066,51.51987245129845,2,True
570,0,2,Elephant & Castle LU,LU,-0.1011862761028003,51.49583746787788,2,True
571,2,3,Elm Park,LU,0.1986662037147443,51.54971988694184,3,True
572,2,3,Epping,LU,0.1139996191841897,51.69356092525262,3,True
573,1,5,Woolwich Arsenal,DLR,0.0687233333333333,51.49034666666666,5,True
574,0,2,Euston LU,"LO,LU",-0.1345986091511734,51.52808458451346,2,True
575,0,0,Euston Square,LU,-0.1358768735158491,51.525633154752434,2,False
576,2,3,Fairlop,LU,0.091053095971659,51.595558107334746,3,True
577,5,0,Farringdon,"EZL,LU",-0.1051919886781835,51.52047027577585,0,True
578,3,1,Finchley Central,LU,-0.1925548488048729,51.60093175153773,1,True
579,3,1,Finchley Road,LU,-0.1810915387963695,51.54723083836693,1,True
580,3,2,Finsbury Park LU,LU,-0.106679347654079,51.56457021452156,1,False
581,3,1,Fulham Broadway,LU,-0.1947664399933353,51.48076777565934,1,True
582,3,1,Gants Hill,LU,0.0661941322556114,51.57653500920319,1,True
583,0,2,Gloucester Road,LU,-0.183734689874311,51.49448863919927,2,True
584,3,1,Golders Green,LU,-0.1940222522452373,51.57228620318889,1,True
585,3,1,Goldhawk Road,LU,-0.2266448641540456,51.50199179519617,1,True
586,5,0,Goodge Street,LU,-0.1343429023656584,51.520601842773736,0,True
587,2,3,Grange Hill,LU,0.0923218422133414,51.61319815416051,3,True
588,5,0,Great Portland Street,LU,-0.1442909711973862,51.52384645620309,0,True
589,3,1,Greenford,LU,-0.3465040750206399,51.54259127112355,1,True
590,5,0,Green Park,LU,-0.1425418901108901,51.50686769929983,0,True
591,0,6,Gunnersbury,"LO,LU",-0.2751361823945699,51.49174191093943,2,False
592,2,1,Hainault,LU,0.0935081961587912,51.6036401975141,3,False
593,5,2,Hammersmith (DIS),LU,-0.2230418838988803,51.49199951963806,0,False
594,3,2,Hampstead,LU,-0.1785230935437581,51.5565898798849,1,False
595,3,1,Hanger Lane,LU,-0.2926845249496959,51.53018552933825,1,True
