cluster,DUN,LOU,DRN,CRN,ACS,WAL,REU,OPS,DIS,URB,MEU,OTHER_RARE
0,14,2,20,10,11,7,0,5,2,1,0,1
1,2,2,0,0,0,3,2,0,0,0,0,17
2,7,36,3,0,0,2,25,0,0,0,13,4
3,9,17,1,0,0,1,3,0,0,0,0,0
4,48,49,25,13,4,6,17,4,1,0,0,0
